,Bscat ,Time ,Denuder 
0,9.85E+00,0.46,With denuder
1,3.44E+00,0.46,With denuder
2,3.69E+01,0.46,With denuder
3,1.09E+01,0.46,With denuder
4,9.68E+00,0.46,With denuder
5,1.55E+00,0.46,With denuder
6,1.01E+01,0.46,With denuder
7,1.45E+01,0.46,With denuder
8,1.97E+01,0.46,With denuder
9,6.46E+00,0.46,With denuder
10,5.51E+00,0.46,With denuder
11,3.95E+01,0.46,With denuder
12,1.09E+01,0.46,With denuder
13,1.13E+01,0.46,With denuder
14,2.83E+00,0.46,With denuder
15,5.12E+01,0.46,With denuder
16,1.55E+01,0.46,With denuder
17,1.84E+01,0.46,With denuder
18,3.98E+00,0.46,With denuder
19,1.31E+01,0.46,With denuder
20,2.25E+01,0.46,With denuder
21,1.53E+01,0.46,With denuder
22,5.10E+00,0.46,With denuder
23,2.29E+01,0.46,With denuder
24,1.46E+01,0.46,With denuder
25,6.09E+01,0.46,With denuder
26,4.19E+00,0.46,With denuder
27,1.84E+01,0.46,With denuder
28,1.42E+01,0.46,With denuder
29,2.17E+01,0.46,With denuder
30,3.25E+01,0.46,With denuder
31,2.22E+01,0.46,With denuder
32,1.76E+01,0.46,With denuder
33,2.86E+01,0.46,With denuder
34,3.33E+01,0.46,With denuder
35,5.44E+01,0.46,With denuder
36,1.80E+01,0.46,With denuder
37,3.68E+00,0.46,With denuder
38,1.20E+01,0.46,With denuder
39,3.17E+01,0.46,With denuder
40,1.45E+01,0.46,With denuder
41,1.99E+01,0.46,With denuder
42,1.73E+01,0.46,With denuder
43,8.78E+01,0.46,With denuder
44,1.37E+01,0.46,With denuder
45,7.73E+00,0.46,With denuder
46,7.26E+00,0.46,With denuder
47,2.05E+01,0.46,With denuder
48,6.51E+01,0.46,With denuder
49,1.42E+01,0.46,With denuder
50,2.40E+01,0.46,With denuder
51,1.30E+01,0.46,With denuder
52,2.19E+01,0.46,With denuder
53,4.89E+00,0.46,With denuder
54,1.35E+01,0.46,With denuder
55,2.23E+01,0.46,With denuder
56,3.27E+01,0.46,With denuder
57,3.68E+01,0.46,With denuder
58,2.20E+01,0.46,With denuder
59,1.21E+01,0.46,With denuder
60,3.91E+01,0.46,With denuder
61,2.81E+01,0.46,With denuder
62,7.27E+00,0.46,With denuder
63,7.59E+00,0.46,With denuder
64,3.22E+01,0.46,With denuder
65,2.84E+01,0.46,With denuder
66,2.76E+01,0.46,With denuder
67,2.99E+01,0.46,With denuder
68,4.06E+01,0.46,With denuder
