Bscat 	Time 	Denuder 
9.85E+00	11:00	With denuder
3.44E+00	11:00	With denuder
3.69E+01	11:00	With denuder
1.09E+01	11:00	With denuder
9.68E+00	11:00	With denuder
1.55E+00	11:00	With denuder
1.01E+01	11:00	With denuder
1.45E+01	11:00	With denuder
1.97E+01	11:00	With denuder
6.46E+00	11:00	With denuder
5.51E+00	11:00	With denuder
3.95E+01	11:00	With denuder
1.09E+01	11:00	With denuder
1.13E+01	11:00	With denuder
2.83E+00	11:00	With denuder
5.12E+01	11:00	With denuder
1.55E+01	11:00	With denuder
1.84E+01	11:00	With denuder
3.98E+00	11:00	With denuder
1.31E+01	11:00	With denuder
2.25E+01	11:00	With denuder
1.53E+01	11:00	With denuder
5.10E+00	11:00	With denuder
2.29E+01	11:00	With denuder
1.46E+01	11:00	With denuder
6.09E+01	11:00	With denuder
4.19E+00	11:00	With denuder
1.84E+01	11:00	With denuder
1.42E+01	11:00	With denuder
2.17E+01	11:00	With denuder
3.25E+01	11:00	With denuder
2.22E+01	11:00	With denuder
1.76E+01	11:00	With denuder
2.86E+01	11:00	With denuder
3.33E+01	11:00	With denuder
5.44E+01	11:00	With denuder
1.80E+01	11:00	With denuder
3.68E+00	11:00	With denuder
1.20E+01	11:00	With denuder
3.17E+01	11:00	With denuder
1.45E+01	11:00	With denuder
1.99E+01	11:00	With denuder
1.73E+01	11:00	With denuder
8.78E+01	11:00	With denuder
1.37E+01	11:00	With denuder
7.73E+00	11:00	With denuder
7.26E+00	11:00	With denuder
2.05E+01	11:00	With denuder
6.51E+01	11:00	With denuder
1.42E+01	11:00	With denuder
2.40E+01	11:00	With denuder
1.30E+01	11:00	With denuder
2.19E+01	11:00	With denuder
4.89E+00	11:00	With denuder
1.35E+01	11:00	With denuder
2.23E+01	11:00	With denuder
3.27E+01	11:00	With denuder
3.68E+01	11:00	With denuder
2.20E+01	11:00	With denuder
1.21E+01	11:00	With denuder
3.91E+01	11:00	With denuder
2.81E+01	11:00	With denuder
7.27E+00	11:00	With denuder
7.59E+00	11:00	With denuder
3.22E+01	11:00	With denuder
2.84E+01	11:00	With denuder
2.76E+01	11:00	With denuder
2.99E+01	11:00	With denuder
4.06E+01	11:00	With denuder
1.06E+01	11:00	With denuder
1.81E+01	11:00	With denuder
1.46E+01	11:00	With denuder
8.85E+00	11:00	With denuder
9.56E+00	11:00	With denuder
1.12E+01	11:00	With denuder
2.02E+01	11:00	With denuder
5.78E+01	11:00	With denuder
9.45E+00	11:00	With denuder
5.06E+00	11:00	With denuder
1.78E+01	11:00	With denuder
8.68E+00	11:00	With denuder
1.00E+01	11:00	With denuder
2.79E+01	11:00	With denuder
1.23E+01	11:00	With denuder
9.58E+00	11:00	With denuder
8.45E+00	11:00	With denuder
3.45E+01	11:00	With denuder
1.90E+01	11:00	With denuder
1.70E+01	11:00	With denuder
2.53E+01	11:00	With denuder
3.46E+01	11:00	With denuder
2.20E+01	11:00	With denuder
2.98E+01	11:00	With denuder
1.09E+01	11:00	With denuder
2.33E+01	11:00	With denuder
2.02E+01	11:00	With denuder
4.24E+01	11:00	With denuder
5.79E+01	11:00	With denuder
6.81E+00	11:00	With denuder
7.02E+00	11:00	With denuder
5.28E+00	11:00	With denuder
