J,F,M,A,M,J,J,A,S,O,N,D
5.77,59.23,38.27,11.89,46.43,22.18,17.02,34.24,12.99,19.65,33.47,40.35
19.33,19.53,42.06,10.60,16.10,18.74,12.20,31.11,19.26,23.40,22.84,24.56
14.63,16.49,31.90,22.92,20.80,25.28,11.81,15.75,16.81,23.45,24.03,7.68
9.17,34.07,65.05,38.53,19.86,16.09,20.23,20.09,17.88,17.09,20.63,23.53
11.75,19.23,56.37,41.73,25.62,22.08,35.67,26.87,20.61,30.23,11.41,17.50
9.43,26.70,46.67,49.36,103.01,18.52,45.43,21.80,17.74,23.85,28.15,28.70
16.50,19.64,58.35,48.41,35.34,27.08,51.69,17.63,12.26,41.24,16.93,42.29
11.00,26.92,58.29,24.18,39.37,25.40,23.99,30.96,15.03,10.37,14.61,12.78
14.03,38.60,17.96,18.86,25.08,24.44,38.83,15.15,22.94,9.05,13.58,14.41
16.16,45.57,19.44,76.24,28.03,37.69,21.77,15.65,37.23,21.57,9.54,30.93
25.72,38.73,45.78,10.17,28.45,21.88,23.50,12.60,25.88,31.15,11.89,23.50
39.38,51.81,112.88,15.59,33.49,19.29,21.23,19.69,26.26,33.15,13.79,28.39
27.66,43.76,15.92,19.44,23.70,26.04,26.37,13.32,26.59,34.22,25.58,24.42
26.00,28.59,23.03,33.81,26.39,27.35,23.13,15.19,29.20,45.19,44.73,30.95
22.90,30.88,25.57,94.36,35.83,29.25,124.04,19.46,22.63,40.23,56.46,48.58
29.87,38.55,33.43,34.79,112.68,26.09,51.29,23.40,23.13,30.08,57.78,83.54
26.67,43.58,30.49,15.11,42.49,24.53,38.03,22.87,30.70,26.54,57.91,121.41
39.34,58.35,46.67,24.12,15.93,24.36,43.45,36.57,30.26,34.85,19.39,21.80
28.95,46.91,38.82,21.90,18.37,26.37,31.92,18.99,32.25,26.65,16.47,28.70
27.77,38.40,14.05,25.90,21.61,25.33,24.49,19.83,29.75,34.95,25.33,70.25
25.79,33.65,31.69,23.43,18.60,28.02,19.67,12.69,26.57,35.75,27.81,51.73
44.44,72.57,134.04,55.80,41.12,42.92,20.71,16.38,28.15,42.32,17.08,10.02
53.08,29.26,119.03,16.96,52.68,43.91,24.35,18.52,23.31,50.24,28.75,20.50
67.52,25.98,30.90,33.14,54.72,47.09,51.85,18.79,22.66,54.36,17.10,19.68
22.60,23.06,22.21,94.83,68.62,35.90,71.62,28.49,32.56,37.08,18.90,10.03
15.62,32.53,29.12,66.65,60.12,26.60,23.99,17.91,14.00,23.22,19.87,21.93
15.84,42.94,26.99,33.79,29.12,15.18,19.36,21.55,28.93,27.53,30.85,22.66
33.09,36.10,29.79,50.09,36.83,12.50,19.34,10.59,21.92,40.60,46.76,23.73
41.35,30.30,132.44,30.40,33.74,11.50,34.07,12.94,16.43,38.11,14.22,11.54
35.76,,31.08,22.23,25.42,38.08,15.71,9.99,17.63,44.78,24.14,11.07
23.42,,19.67,,17.35,,19.14,10.67,,43.32,,15.47
,,,,,,,,,,,
,,,,,,,,,,,
