J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D
12.3,30.8,22.9,18,44.1,22.4,16.9,33.5,17.8,15.6,29.7,55.7,1.37,5.52,2.85,31.78,11.18,11.16,70.74,-3.73,32.66,13.79,16.1,27.56,-1.74,46.12,6.34,25.3,12.95,15.16,7.41,27.28,63.23,27.63,3.3,3.41,28.2,30.1,22.7,26.7,27.1,28.4,42.8,24.5,22.8,9.3,33,18.8,12.8,17.4,16.5,23,27.1,17,21.3,25.5,23.5,41.4,13.9,24.3,35.4,8.98,14.19,34.58,14.66,37.84,7.87,8.08,3.7,2.91,69.97,32.39
14.7,19,33.7,14.8,19.8,23.8,16.5,24.8,22.2,24.8,31.5,32.7,-1.2,100.6,7.58,5.52,32.03,13.66,18.66,5.78,29.66,21.27,14.89,29.73,7.93,42.9,17.15,20.54,11.21,24.51,18.12,28.08,13.82,14.17,35.3,7.9,17.4,17.6,35.3,39.8,26.4,27.3,28.3,32.3,20.3,21,29,25,15.2,29.7,27.3,19.1,24.2,19.8,17.7,19.7,24.6,35.1,17.8,17.1,35.36,30.09,24.37,21.4,75.03,66.85,9.27,10.89,11.06,0.85,47.6,62.81
17.9,15.7,26.8,20.5,23.4,37,16.5,19.6,22.5,20.6,26.1,15.8,9.42,79.47,12.93,18.27,23,4.81,31.91,16.41,35.53,18.4,60.6,34.6,14.08,17.19,25.07,19.79,44.1,57.02,27.99,50.28,3.72,14.62,3.94,22.63,16.8,24.3,24.6,46,29.2,32.2,25.4,28.1,25.6,20.8,30,19.2,10.3,42.2,13.9,23.6,19.5,28.2,21.7,20.6,40.5,30.8,32.5,19.9,5.98,39.36,58.4,33.42,18.49,21.7,18.18,30.85,26.6,7.31,26.1,58.27
13.7,21,39.4,30.4,21.7,22.1,18.8,19.3,24.7,22.3,22.6,30.2,-1.72,60.22,25.47,100.46,51.11,20.52,75.83,22.07,33.16,7.99,6.27,42.86,71.05,38.83,36.48,53.1,134.4,21.67,41.78,20.07,13.76,25.46,10.01,8.8,24.5,19.6,28.3,30,27.6,18.9,30.9,21.6,25,20,32,24.4,14.2,12.6,14.1,25.2,18.7,46.6,30.3,34.4,27.2,42.8,42.4,30.2,29.86,5.98,34.48,34.17,17.01,20.62,32.6,24.77,14.33,23.52,29.53,60.77
14.6,23.1,38.5,26.7,26.7,27,32.9,29.2,25.4,23,28,16.2,15.62,69.85,21.56,12.02,19.08,17.39,25.83,14.87,32.75,7.6,16.68,45.56,48.05,36.92,32.93,40.3,26.2,107.3,41.28,20.32,37.23,19.54,26.23,33.8,35.4,22.4,25.7,40.6,24.2,32.5,60,28,26.8,18.1,41.1,15.2,25.2,10.2,21.9,20.4,41.5,39.3,24.3,21.8,21.1,46.5,22.4,34.2,46.15,8.98,14.23,18.48,24.45,28.62,15.7,22.35,35.31,21.02,71.02,23.73
14.5,21.4,32.2,27.1,79,26.1,37.4,27.2,19.2,25.6,24.9,21.2,6.22,12.46,24.52,22.27,30.96,21.56,13.46,1.07,48.78,11.1,8.35,-0.75,64.09,30.11,-2.41,9.16,21.8,21.5,25.95,27.34,4.76,16.06,13.72,56.25,29,49.7,32.1,23.6,27.7,28.4,29,27.8,25.5,15.9,22.6,24.7,26.5,19.6,20.6,19.3,32,25.3,22.4,30.5,26,47.7,30.1,30.9,26.36,24.57,10.28,16.41,57.91,50.44,10.83,41.68,34.52,33.35,90.22,117.35
15.8,16.7,43.2,42.3,35.4,33.2,41.8,26.4,17,33.6,21.4,30.5,5.33,36.73,5.6,47.19,27.79,26.18,14.28,17.7,59.03,8.99,8.23,4.04,3.91,38.99,8.21,31.4,22.3,12.55,12.41,39.12,9.98,28.72,1.43,12.95,16.8,20.4,47.1,21.6,37.5,33,19.8,28.2,28,24.4,16.4,25.3,17.8,15.9,24.7,17.6,27.4,20.5,83.4,23.9,39.7,49.6,33.2,44.9,73.55,17.98,23.15,13.7,29.37,18.14,7.56,40.85,44.27,22.6,58.02,82.97
12,31.6,47.3,25.8,32.7,31.9,22.9,33.9,16.2,15.7,23.7,20.1,24.89,33.17,32.47,13.23,15.87,11.56,8.24,11.28,39.97,23.06,34.12,4.15,45.83,58.02,53.5,91.92,20.2,35.56,5.62,70.53,12.42,-1.82,12.69,23.38,25.6,28.9,123.5,24.8,27.2,32.1,22.4,28.6,34.4,25.8,29.2,19.3,17.1,17.9,9.1,20.1,64.9,35.5,22.7,27.2,43.3,50.9,50.4,45.6,70.65,3.86,65.03,41.99,34.37,7.7,16.81,14.77,50.64,60.52,75.77,34.89
13.5,35.5,22.4,21.9,25.9,26.1,33.2,19,22.1,16.2,21,19.6,43.52,37.01,52.52,8.6,13.72,12.43,8.7,11.66,24.62,21.1,49.46,68.6,84.7,51.52,8.18,14.85,31.2,34.18,11.28,14.62,21.36,-0.74,12.34,12.38,24.6,30.1,24.4,55.4,35.5,42.8,27.7,27.7,22.9,21.1,31.5,11.8,22.8,19.6,20,17.7,38.6,22.4,25.9,18.8,16.6,38.3,33.1,72.3,53.86,13.86,82.65,13.49,13.53,24.48,27.52,14.97,46.77,19.39,52.35,37.68
14.9,34.2,23.6,56,23.8,33.8,20.3,20,34.4,29.2,17.9,22.5,29.15,46.6,41.56,9.71,12.06,34.18,7.12,20.95,13.99,2.39,33.85,36.39,19.99,111.69,0.4,25.2,29.6,4.55,17.03,4.08,16.33,36.22,20.76,14.84,24.7,27,27.5,199.7,27.5,27,34.1,19.9,21.5,20.6,25.2,17.8,21,16.2,24.2,18.7,28.1,35.2,34,27.3,12.4,33.1,18.1,41.9,2.32,11.69,39.61,19.53,16.7,119.9,16.52,16.35,34.68,22.06,24.14,6.52
20,25.2,38,13,25.2,24,22,16.4,31.1,30.9,19.7,23.2,19.27,52.18,48.39,28.4,21.77,56.56,49.07,11.84,27.03,12.55,47.1,56.93,15.7,13.66,1.83,41.5,38.8,23.2,35.74,12.62,34.34,28.67,30.09,13.8,17.3,34.9,29.4,39.3,17.8,16.6,38.5,19.2,19.6,24.8,37,28.7,15.9,12.2,25.1,20.4,25.7,50.7,36.6,26.1,19.8,31.2,28.1,14.7,22.68,16.82,25.07,49.2,12.74,57.82,32.56,6.43,52.56,27.23,17.93,10.97
21.1,38,80.2,20,32.5,21.4,22.4,22.3,25.1,32.5,20.9,23.1,73.35,89.52,28.77,20.42,20.1,26.14,21.45,16.32,81.33,28.08,34.73,33.98,11.95,17.48,-1.01,29.4,37.9,56.03,18.7,9.49,44.91,-2.26,8.25,15.47,16.6,28.8,43.6,32.4,18.7,29.9,35.9,19.1,20.8,37.2,18.7,15.8,27.3,17.7,11.6,35.3,20.5,23.4,24.7,26.8,18.5,73.4,35.2,16.4,16.94,22.69,40.4,44.78,15.16,41.27,21.43,6.29,63.23,81.47,22.27,38.48
17.2,36.8,20.3,20.2,30.3,30.4,22.9,18.1,24.5,38.6,24.4,20.8,33.48,2.05,35.31,13.2,30.18,10.72,25.53,36.45,29.31,30.4,8.28,54.93,13.08,41.7,4.49,39.2,85.6,76.6,8.87,31.62,36.81,-4,18.97,26.27,17.2,34,89.8,23.6,20.6,38.5,22.8,22.8,26.3,40.8,19.1,12.3,25,48.5,13.6,27.5,19.3,20.7,30.8,28.3,19.1,71.1,31.8,17.9,16.57,16.48,101.28,44.87,36.62,18.57,23.33,6.39,33.18,47.6,65.6,45.43
19.2,22.6,24.3,28.8,31.9,25.5,22.2,20.2,30.9,42.1,32.9,28.1,15.01,0.73,40.93,18,188.18,27.27,5.12,28.63,17.94,1.4,84.18,28.48,17.11,71.62,13.54,37.8,31,22.73,15.41,32.85,21.98,3.55,56.3,7.8,20.4,25.5,44.1,23.8,27.9,40.4,24.4,37.7,18,20.8,27.2,15.7,32.5,33.5,25.5,16.4,18.9,37.7,30.6,27.2,19.7,48.2,34.1,43.1,41.15,16.82,60.65,14.91,39.28,25.48,39.14,2.78,32.14,22.31,52.48,89.97
18.5,22,22.5,77.7,34.5,26.8,120,26.8,28.9,28.5,33.5,35.4,-4.19,25.06,38.23,20.17,26.27,42.35,1.66,18.35,21.49,26.25,24.43,70.93,38.19,39.26,157.99,41.8,20,21.19,5.12,35.41,19.93,2.12,50.15,-4.52,41.6,24.7,41.8,33.4,25.4,34.7,31,26.5,13.2,13.9,29,25.3,55.5,16.7,27.2,23.1,18.4,24.1,30.1,28.7,29.9,47.6,27.6,17.9,42.65,18.65,14.15,62.24,32.28,28.38,29.18,4.31,36.23,12.18,48.73,13.89
