7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
 1.738559e+01,-1.76E+00,-1.10E+01,2.44E+01,-4.13E+00,-1.49E+00
 1.510944e+01,5.23E+00,-1.41E+01,1.89E+01,-1.82E+00,-6.59E-01
 1.932733e+01,7.97E+00,-1.43E+01,4.68E+00,1.67E+00,5.17E+00
 7.729797e+00,3.48E+00,-1.02E+01,1.36E+01,3.22E+00,-1.42E+00
 2.373947e+01,3.80E+00,-1.19E+01,1.27E+01,2.48E+00,8.70E-01
 2.124216e+01,2.54E+00,-1.11E+01,8.48E+00,-7.71E-02,3.33E+00
 1.714069e+01,-2.74E-01,-1.60E+01,9.36E+00,2.01E+00,8.13E+00
 1.209381e+01,8.64E+00,-1.68E+01,1.66E+01,1.06E+00,-1.70E+00
 1.419305e+01,9.25E+00,-9.54E+00,1.28E+01,-3.01E+00,5.70E+00
 4.766266e+00,1.00E+01,-1.11E+01,2.09E+01,-1.57E+00,-1.85E+00
 1.216318e+01,6.40E+00,-1.09E+01,1.52E+01,-5.39E+00,2.16E+00
 1.157498e+01,4.29E+00,-1.55E+01,2.04E+01,3.30E+00,2.13E+00
 1.114484e+01,9.45E+00,-1.42E+01,1.28E+01,-9.00E-01,6.36E+00
-6.407074,8.67E+00,-1.06E+01,1.26E+01,6.36E+00,3.21E+00
 7.886536e+00,4.47E-01,-2.12E+01,2.28E+01,5.77E+00,4.88E-01
 5.988708e+00,2.85E+00,-1.59E+01,2.09E+01,1.51E+00,3.03E+00
 6.361572e+00,6.23E+00,-1.40E+01,1.42E+01,-3.09E+00,-4.32E+00
 2.555359e+00,3.48E+00,-1.29E+01,1.13E+01,6.98E+00,3.05E-02
 8.409119e+00,-2.43E+00,-1.93E+01,1.49E+01,1.82E-01,-4.49E+00
 3.590118e+00,1.14E+01,-1.31E+01,1.55E+01,3.03E+00,1.17E+00
 2.832794e+00,4.45E+00,-1.65E+01,1.52E+01,-2.57E+00,-1.47E+00
 6.026947e+00,6.70E+00,-1.37E+01,1.18E+01,8.07E+00,-6.41E-01
 6.684418e+00,-3.07E+00,-1.60E+01,1.78E+01,5.01E-01,-3.57E+00
 9.275970e+00,3.45E+00,-1.57E+01,1.66E+01,5.14E+00,4.32E+00
 3.149719e+00,6.09E+00,-1.17E+01,1.83E+01,-2.65E+00,4.69E+00
 1.017340e+01,6.18E+00,-1.98E+01,1.41E+01,4.64E+00,3.27E+00
 3.334686e+00,1.47E+00,-2.45E+01,1.98E+01,-4.07E+00,4.21E+00
