7/1/2027,7/2/2027,7/3/2027,7/4/2027,7/5/2027,7/6/2027
-1.72E+00,1.52E+01,1.69E+01,1.55E+01,1.64E+01,4.57E+00
-1.08E+00,1.83E+00,1.95E+01,8.16E+00,2.01E+01,1.55E+01
 5.620117e-01,1.17E+01,2.03E+01,1.11E+01,2.14E+01,-6.92E-01
 6.250702e+00,1.13E+01,2.14E+01,-2.76E+00,2.26E+01,6.34E+00
 7.427704e+00,1.09E+01,2.70E+01,-3.58E+00,2.30E+01,9.51E-01
 4.531677e+00,9.70E+00,2.74E+01,-1.36E+00,3.08E+01,2.63E+00
 1.386963e+00,1.12E+01,2.65E+01,-2.97E-01,2.22E+01,2.20E+00
 4.544556e+00,7.63E+00,2.24E+01,-5.82E+00,2.39E+01,-1.43E+00
 1.122223e+00,4.23E+00,1.79E+01,-6.25E+00,2.52E+01,3.08E+00
-2.70E+00,7.80E+00,2.55E+01,-2.39E+00,2.68E+01,-2.17E+00
-4.10E+00,1.25E+01,1.91E+01,-3.12E+00,2.92E+01,-1.81E+00
 2.342590e+00,1.95E+00,2.45E+01,9.37E-02,2.09E+01,5.80E+00
 9.442139e-02,1.08E+01,2.46E+01,-3.52E+00,2.52E+01,-4.45E+00
-4.20E+00,4.55E+00,2.04E+01,-1.34E+01,2.98E+01,-7.72E+00
 6.848053e+00,2.25E+00,1.54E+01,2.05E+00,2.23E+01,2.54E+00
 5.562286e+00,1.36E+01,2.12E+01,-2.93E+00,2.13E+01,-3.62E+00
 2.035004e+00,1.06E+01,2.62E+01,1.60E+00,2.61E+01,1.92E+00
 1.210934e+01,8.30E+00,2.39E+01,-2.06E+00,2.26E+01,2.20E+00
 1.870819e+00,1.10E+01,2.43E+01,2.90E+00,2.60E+01,-5.35E+00
 6.607819e+00,2.00E+01,2.11E+01,2.03E+00,2.33E+01,-9.04E+00
-2.72E+00,2.71E+00,2.48E+01,-3.34E+00,2.84E+01,-7.93E+00
 3.256271e+01,1.26E+01,1.87E+01,4.18E+00,2.56E+01,6.72E-01
-6.17E-01,9.50E+00,2.83E+01,-2.01E+00,1.99E+01,-5.41E+00
-8.62E+00,1.18E+01,2.26E+01,-4.71E+00,2.53E+01,-2.31E+00
 3.309393e+01,1.71E+01,2.65E+01,-2.66E+00,2.83E+01,-1.26E+01
-1.75E+00,1.37E+01,2.87E+01,-2.14E+00,2.53E+01,-1.08E+01
 8.361481e+00,6.18E+00,2.93E+01,2.17E-01,2.86E+01,-7.77E+00
 1.226682e+01,5.76E+00,2.60E+01,-1.35E+01,2.75E+01,-9.91E+00
-6.22E+01,2.21E+01,2.26E+01,-8.65E+00,2.44E+01,-1.23E+01
-3.14E+01,1.26E+01,2.20E+01,-1.96E+00,2.81E+01,-8.98E+00
 1.566904e+01,1.31E+01,2.00E+01,-3.90E+00,2.45E+01,-8.38E+00
-3.15E+00,8.48E+00,2.17E+01,2.28E+00,4.81E+01,-3.03E+00
 3.503113e-01,1.29E+01,2.53E+01,-3.15E+00,6.16E+01,-6.91E+00
 1.645569e+00,1.08E+01,2.28E+01,-6.37E+00,5.71E+01,-1.13E+01
 5.936401e+00,1.08E+01,2.76E+01,-5.26E+00,6.33E+01,-7.15E+00
 1.459521e+01,1.32E+01,2.42E+01,-2.64E+00,6.54E+01,-7.92E+00
 2.882355e+00,1.57E+01,2.08E+01,-3.46E+00,6.05E+01,-1.08E+01
 1.271985e+01,1.89E+01,2.32E+01,1.99E+00,7.14E+01,-5.41E-01
 9.342896e+00,1.18E+01,2.82E+01,1.65E+00,6.63E+01,2.46E+00
 8.089600e+00,1.15E+01,2.73E+01,3.46E+00,6.41E+01,-8.47E+00
 5.865784e-01,1.66E+01,2.07E+01,-2.37E+00,6.32E+01,-1.56E+00
 5.714355e+00,1.05E+01,3.12E+01,1.03E+00,5.99E+01,-1.44E+01
 1.095825e+00,8.28E+00,2.73E+01,7.13E+00,6.03E+01,-1.28E+00
 4.307373e+00,5.00E+00,3.19E+01,1.32E+00,5.92E+01,-1.32E+01
 1.960754e-01,9.79E+00,2.98E+01,-1.58E+00,7.01E+01,-2.35E+00
 5.642334e+00,1.61E+01,2.84E+01,-1.72E+00,6.27E+01,-4.05E+00
 1.008350e+01,7.57E+00,2.37E+01,-4.71E+00,6.70E+01,-4.85E+00
 3.510376e+00,1.07E+01,1.58E+01,-4.29E+00,6.61E+01,-2.90E+00
 6.705627e-01,8.78E+00,2.57E+01,-4.27E+00,6.32E+01,-3.24E+00
 5.813599e-02,1.46E+01,2.47E+01,2.68E+00,6.32E+01,-8.47E+00
 4.119537e+00,1.17E+01,1.96E+01,-1.01E+00,6.41E+01,2.55E-01
 3.719177e-01,2.10E+01,2.02E+01,-1.54E-01,6.21E+01,-8.43E+00
 1.855530e+00,1.68E+01,2.44E+01,-4.80E+00,6.72E+01,-6.66E-01
-8.46E-02,2.01E+01,2.27E+01,-1.04E+00,6.65E+01,-6.70E-02
 5.082214e+00,1.94E+01,2.87E+01,-4.14E+00,5.96E+01,3.35E+00
 7.316467e+00,1.05E+01,2.49E+01,-3.53E+00,6.03E+01,-7.94E+00
 5.261292e+00,1.57E+01,2.24E+01,-5.13E+00,6.47E+01,2.39E-01
 4.046997e+00,1.39E+01,1.88E+01,-5.84E+00,6.26E+01,-1.81E+00
 1.059692e+00,2.28E+01,2.74E+01,-2.21E+00,6.13E+01,-1.82E+00
 1.416901e+00,1.55E+01,2.58E+01,-3.89E-01,6.17E+01,-5.80E+00
 8.263153e+00,1.62E+01,1.96E+01,4.13E+00,6.78E+01,-3.72E+00
-5.29E+00,1.61E+01,2.05E+01,-3.64E-01,6.21E+01,-1.23E+01
-8.40E-01,5.73E+00,2.54E+01,6.63E+00,6.39E+01,-3.60E+00
-1.60E-01,8.72E+00,3.05E+01,-6.31E+00,5.86E+01,-5.60E+00
 3.422668e+00,1.45E+01,2.23E+01,7.25E-01,6.13E+01,-5.11E+00
 3.519867e+00,1.38E+01,2.62E+01,-1.95E+00,6.50E+01,-1.96E+00
 8.141785e-01,1.09E+01,2.61E+01,6.37E+00,6.18E+01,-1.16E+00
 1.160095e+00,1.57E+01,2.25E+01,7.38E+00,5.95E+01,2.08E+00
 6.159454e+00,1.15E+01,2.11E+01,-1.33E+00,6.32E+01,-1.10E+01
 5.078278e+00,9.40E+00,2.27E+01,-4.28E+00,8.66E+01,-7.35E+00
 4.642609e+00,7.39E+00,2.25E+01,-1.05E+00,7.83E+01,-4.80E+00
 7.327209e+00,7.91E+00,3.14E+01,2.60E+00,8.86E+01,-5.05E+00
 1.131805e+00,1.14E+01,2.49E+01,-1.29E+00,6.97E+01,-5.51E+00
 4.048218e+00,1.69E+01,2.35E+01,7.24E-02,7.25E+01,-5.76E+00
 9.288696e+00,1.13E+01,2.49E+01,-2.61E+00,8.21E+01,-5.69E+00
-3.59E+00,1.21E+01,2.54E+01,-4.37E+00,4.50E+01,-4.00E+00
 3.697113e+00,1.40E+01,2.29E+01,-5.18E+00,7.32E+01,-3.42E+00
-1.20E+00,1.29E+01,1.99E+01,-4.29E+00,8.06E+01,-2.55E+00
 7.301636e+00,1.98E+01,2.59E+01,-7.41E+00,5.86E+01,-2.44E+00
 5.281586e+00,1.14E+01,2.57E+01,-4.44E+00,4.22E+01,-9.23E+00
 6.804932e+00,1.42E+01,1.87E+01,-8.54E+00,7.19E+01,-9.54E+00
 1.317148e+01,1.06E+01,1.87E+01,6.57E+00,8.36E+01,-5.18E+00
 1.273566e+01,2.03E+01,1.96E+01,1.53E+01,4.24E+01,2.25E+00
 1.066837e+01,8.48E+00,2.71E+01,1.68E+01,2.54E+01,-1.08E+01
 6.678925e+00,1.29E+01,2.23E+01,8.55E+00,2.59E+01,-1.43E-01
 1.478241e+00,1.42E+01,2.64E+01,1.77E+01,2.56E+01,-3.99E+00
 6.672974e+00,8.91E+00,1.34E+01,1.24E+01,1.74E+01,-5.23E+00
-3.13E+00,9.21E+00,1.53E+01,1.74E+01,2.49E+01,-1.10E+01
-2.96E+00,1.05E+01,1.86E+01,9.61E+00,1.44E+01,-8.50E+00
-1.30E+00,5.57E+00,1.52E+01,1.04E+01,9.73E+00,-9.08E+00
 3.729279e+00,1.00E+01,1.69E+01,9.88E+00,1.86E+01,-2.12E+00
-6.65E-01,1.14E+01,2.23E+01,8.95E+00,1.84E+01,-4.91E+00
 2.248291e+00,4.09E+00,2.35E+01,1.91E+01,1.52E+01,-6.33E+00
 8.526367e+00,1.26E+01,2.04E+01,1.45E+01,1.74E+01,-1.25E+01
 1.727661e+00,3.09E+00,2.65E+01,1.29E+01,2.14E+01,-2.50E+00
 4.523468e+00,1.50E+01,2.80E+01,1.15E+01,1.65E+01,1.47E+00
 9.262787e+00,1.20E+01,2.15E+01,1.85E+01,1.20E+01,2.14E+00
 7.543427e+00,1.33E+01,6.70E+01,1.62E+01,1.38E+01,-5.46E+00
 6.139893e+00,1.71E+01,4.64E+01,5.70E+00,1.26E+01,4.17E+00
-8.21E-01,5.09E+00,-7.18E-01,8.37E+00,1.89E+01,-4.56E+00
-5.88E+00,8.70E+00,2.85E+01,6.07E+00,1.04E+01,-6.49E+00
-1.01E+00,6.54E-01,2.54E+01,7.88E+00,1.76E+01,-1.40E+00
 4.521515e+00,2.56E+00,3.90E+01,7.08E+00,1.27E+01,-1.66E+00
 2.013000e+00,1.48E+01,1.43E+02,1.47E+01,1.34E+01,-6.38E+00
 5.042786e+00,9.57E+00,-1.04E+01,1.01E+01,1.96E+01,-5.57E+00
 2.855255e+00,6.44E+00,2.48E+01,2.03E+01,1.07E+01,-2.63E+00
 3.916016e-01,1.26E+01,9.94E+00,1.95E+01,1.90E+01,-1.99E+00
-2.66E+00,1.57E+01,8.42E+00,9.25E+00,2.14E+01,-8.04E+00
 1.709106e+00,9.80E+00,1.40E+01,1.11E+01,2.38E+01,-1.18E+00
 2.243317e+00,8.84E+00,2.28E+01,5.40E-01,1.48E+01,-3.37E+00
 2.305786e+00,1.55E+01,4.49E+01,9.28E+00,2.11E+01,-7.56E+00
-6.24E-01,1.09E+01,5.41E+01,1.16E+01,2.39E+01,-8.80E+00
 6.505707e+00,8.94E+00,4.06E+01,1.42E+01,1.80E+01,-3.94E+00
 3.057770e+00,1.12E+01,4.66E+01,1.07E+01,1.95E+01,-5.53E+00
 5.372864e+00,1.40E+01,4.37E+01,1.20E+01,2.05E+01,-6.14E+00
 4.101807e+00,7.08E+00,4.05E+01,2.91E+00,2.33E+01,-1.24E+01
 8.883270e+00,1.73E+01,4.51E+01,7.82E+00,1.58E+01,4.42E+00
 4.031464e+00,9.65E+00,5.32E+01,2.07E+00,2.00E+01,-1.52E+00
 4.891968e+00,1.02E+01,4.78E+01,2.10E+00,2.38E+01,-7.56E+00
 5.014862e+00,2.40E+00,4.44E+01,1.15E+01,1.82E+01,1.37E+00
 1.617096e+00,1.24E+01,4.67E+01,1.34E+01,1.16E+01,-1.14E+01
 4.924011e+00,1.25E+01,4.51E+01,1.57E+01,1.82E+01,-6.16E+00
 1.004669e+00,1.58E+01,5.00E+01,7.32E+00,1.77E+01,-3.44E+00
 2.025024e+00,1.55E+01,3.64E+01,6.77E-01,1.53E+01,-1.08E+00
-7.39E+00,1.77E+01,3.32E+01,7.95E+00,2.58E+01,-4.51E+00
-6.02E-01,9.27E+00,2.53E+01,9.79E+00,2.67E+01,-3.48E+00
 6.574463e+00,4.99E+00,3.08E+01,6.47E+00,1.99E+01,-9.35E+00
 7.843658e+00,9.44E+00,2.00E+01,7.93E+00,2.24E+01,-9.13E+00
 4.327850e+00,1.39E+01,1.90E+01,1.03E+01,1.88E+01,-4.77E+00
 8.276062e-01,9.79E+00,1.44E+01,1.47E+01,1.81E+01,-4.02E+00
 2.958008e+00,1.23E+01,2.30E+01,1.41E+01,2.03E+01,-9.80E+00
 4.267242e+00,1.31E+01,2.27E+01,1.37E+01,2.00E+01,-9.90E+00
 6.662750e+00,7.76E+00,1.95E+01,3.31E+00,1.73E+01,-5.57E+00
 4.959869e+00,1.32E+01,1.59E+01,3.93E+00,1.33E+01,-3.83E+00
 1.979370e-01,1.13E+01,2.31E+01,1.10E+01,2.82E+01,-8.18E+00
 3.550964e+00,1.20E+01,1.65E+01,8.41E+00,2.15E+01,-7.88E+00
 6.577148e-01,1.25E+01,2.44E+01,1.36E+01,2.71E+01,3.82E+00
 3.201752e+00,1.16E+01,3.03E+01,6.48E+00,3.62E+01,-7.59E-01
-1.42E+00,1.15E+01,2.12E+01,1.64E+01,2.33E+01,-8.57E+00
 1.756592e+00,1.69E+01,2.69E+01,1.53E+01,2.14E+01,-1.21E+01
-3.98E+00,7.92E+00,2.12E+01,7.95E+00,2.42E+01,-5.61E+00
-6.06E+00,2.03E+01,2.20E+01,1.80E+01,2.47E+01,-8.55E+00
 2.671143e+00,1.03E+01,2.48E+01,9.84E+00,1.96E+01,-7.60E+00
 3.741241e+00,1.46E+01,1.57E+01,1.04E+01,2.00E+01,-5.78E+00
-1.00E+00,1.96E+01,2.26E+01,4.17E+00,1.66E+01,9.08E-01
 1.031265e+01,1.85E+01,2.29E+01,3.95E+00,1.62E+01,-5.24E+00
 4.232025e+00,1.69E+01,2.29E+01,9.23E+00,1.74E+01,-3.75E+00
-1.83E+00,5.74E+00,1.87E+01,1.08E+01,1.63E+01,1.54E+00
-1.03E+00,9.02E+00,2.57E+01,9.71E+00,1.88E+01,-1.18E+01
