7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
 1.895047e+02,1.17E+01,-1.53E+01,4.10E+01,2.37E+00,3.84E+00
 1.388535e+02,1.60E+01,-2.40E+01,2.87E+01,5.79E-01,1.78E+01
 5.840735e+01,6.17E+01,-2.86E+01,1.03E+02,4.14E+00,1.75E+01
 8.239911e+01,1.56E+01,1.23E+01,4.86E+01,8.20E+00,2.37E+00
 1.099939e+02,1.31E+01,-1.39E+01,2.34E+01,4.42E+00,5.74E+00
 7.884091e+01,1.14E+01,-1.46E+01,2.72E+01,1.32E+01,7.30E+00
 7.931195e+01,1.35E+01,-2.88E+01,3.79E+01,8.32E+00,6.84E+01
 7.133148e+01,1.58E+01,-2.75E+01,2.49E+01,5.72E+01,8.65E+00
 4.473029e+01,1.83E+01,-1.93E+01,2.42E+01,3.61E+00,8.74E+00
 2.076639e+01,2.18E+01,-2.28E+01,4.63E+01,7.44E+00,8.94E+00
 3.783231e+01,2.24E+01,-2.40E+01,2.36E+01,-5.28E-01,1.09E+01
 2.597330e+01,1.33E+01,8.05E+00,3.46E+01,9.75E+00,2.04E+01
 2.123798e+01,4.60E+01,-2.74E+01,3.91E+01,1.63E+01,3.21E+01
 7.558563e+00,2.87E+01,-2.28E+01,2.12E+01,1.43E+01,1.28E+01
 2.919067e+01,1.13E+01,-3.59E+01,3.13E+01,1.00E+01,1.18E+01
 1.120471e+01,2.62E+01,-3.05E+01,3.03E+01,5.02E+00,2.05E+01
 2.256311e+01,2.12E+01,-2.46E+01,2.71E+01,2.26E+01,3.31E+01
 1.142023e+01,1.42E+01,-2.44E+01,2.36E+01,2.57E+01,6.56E+00
 2.941846e+01,1.17E+01,-3.41E+01,4.29E+01,8.65E+00,8.21E-02
 1.342868e+01,3.70E+01,-2.74E+01,3.01E+01,1.12E+01,9.02E+00
 1.705270e+01,4.72E+01,-1.81E+01,2.39E+01,1.50E+01,6.82E+00
