7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
 1.962958e+01,4.36E+01,5.09E+01,1.69E+01,3.38E+01,1.84E+01
 1.795013e+00,5.35E+01,3.27E+01,1.84E+01,3.68E+01,1.09E+01
 4.447449e+00,2.53E+01,5.20E+01,5.20E+00,5.91E+01,7.24E+00
 1.353549e+01,2.66E+01,3.78E+01,3.27E+00,3.94E+01,-1.16E+00
 4.564023e+01,1.32E+01,3.82E+01,4.27E+00,4.69E+01,2.14E+00
 1.041675e+01,2.09E+01,3.79E+01,5.40E+00,3.48E+01,1.95E+01
 2.296832e+01,1.64E+01,3.40E+01,-5.20E+00,5.05E+01,-6.41E+00
 9.311768e+00,1.06E+01,5.11E+01,-4.27E-01,1.19E+02,1.57E+01
 4.923553e+00,9.06E+00,3.57E+01,2.74E-01,4.40E+01,-6.59E+00
 6.337646e+00,4.00E+01,2.71E+01,-6.02E-01,5.52E+01,-1.08E+00
 5.422974e+00,7.93E+00,3.42E+01,2.23E+00,4.15E+01,5.13E+00
 5.290344e+00,3.65E+01,4.74E+01,9.58E-01,4.69E+01,-1.45E+01
 4.952740e+01,1.16E+01,4.22E+01,-1.12E+01,4.55E+01,-1.57E+01
 2.315912e+01,8.46E+00,3.10E+01,1.06E+01,3.50E+01,-5.16E+00
 8.056183e+00,1.92E+01,3.18E+01,5.90E+00,3.29E+01,1.24E+01
 1.140610e+01,2.72E+01,3.71E+01,6.72E+00,4.12E+01,-1.13E+01
 1.537894e+01,1.78E+01,3.38E+01,-3.38E-01,3.83E+01,-1.25E+01
 1.409470e+01,2.04E+01,4.19E+01,6.39E+00,4.13E+01,-1.32E+01
 4.079437e+00,2.99E+01,4.36E+01,9.58E+00,3.61E+01,-1.73E+01
 2.368002e+01,2.01E+01,4.25E+01,5.75E+00,4.21E+01,-2.31E+01
 6.895752e-01,1.92E+01,2.93E+01,1.17E+01,3.83E+01,-1.32E+01
 5.474954e+01,1.53E+01,3.82E+01,2.17E-01,3.48E+01,-2.02E+01
 3.482391e+00,1.46E+01,3.50E+01,-1.84E+00,4.05E+01,-1.51E+01
 3.458862e-01,2.65E+01,4.53E+01,7.34E+00,5.43E+01,-2.11E+01
 3.906006e+01,2.27E+01,4.50E+01,2.12E+00,7.76E+01,-2.23E+01
 1.289517e+02,4.36E+01,4.32E+01,1.13E+01,5.96E+01,-1.82E+01
 3.133835e+02,1.68E+01,3.78E+01,-1.12E+01,4.40E+01,-1.88E+01
 1.508691e+02,2.86E+01,3.44E+01,2.58E+00,4.14E+01,-7.55E+00
 5.120471e+01,2.65E+01,3.64E+01,2.36E+00,4.51E+01,3.30E+00
-1.48E+01,2.88E+01,4.19E+01,4.76E+00,6.88E+01,-1.56E+01
 2.728091e+01,2.35E+01,4.29E+01,9.01E+00,8.45E+01,-1.20E+01
 3.308414e+01,1.83E+01,3.86E+01,-1.34E-01,1.03E+02,-1.28E+01
 1.279086e+01,1.91E+01,3.12E+01,-9.99E-01,9.86E+01,7.06E+00
 3.918591e+01,4.30E+01,5.11E+01,7.16E-01,1.26E+02,-1.52E+01
 3.340778e+01,2.37E+01,3.59E+01,2.14E+01,1.11E+02,-1.98E+01
 3.210760e+01,3.39E+01,3.32E+01,-3.07E-01,1.09E+02,-1.39E+01
 4.699554e+00,6.42E+01,3.63E+01,2.28E+00,1.17E+02,-1.16E+01
 5.325482e+01,2.20E+01,5.67E+01,7.11E+00,1.10E+02,-4.40E+00
 3.093713e+01,1.88E+01,4.00E+01,8.33E+00,1.07E+02,-1.10E+01
 2.230310e+01,2.28E+01,3.13E+01,8.39E-01,1.10E+02,-8.79E-01
 2.915009e+00,2.35E+01,4.21E+01,4.12E+00,1.03E+02,-1.55E+01
 1.236768e+01,1.65E+01,4.08E+01,1.31E+01,1.02E+02,-4.80E+00
 1.924225e+01,1.69E+01,4.43E+01,1.02E+01,1.16E+02,-1.68E+01
 1.092938e+01,3.30E+01,4.04E+01,4.53E+00,1.18E+02,-2.63E-01
 9.154999e+00,4.66E+01,4.79E+01,5.19E+00,1.09E+02,-7.01E+00
 2.141431e+01,1.24E+01,3.35E+01,-1.36E+00,1.11E+02,-3.60E+00
 2.544391e+01,5.73E+01,2.76E+01,1.74E-01,1.20E+02,1.47E+01
 3.484052e+01,5.87E+01,5.15E+01,4.96E+00,1.08E+02,-8.84E+00
 1.195676e+01,2.06E+01,5.03E+01,6.78E+00,1.07E+02,-1.23E+01
 1.075742e+01,5.44E+01,3.80E+01,1.65E+00,1.07E+02,-5.31E+00
 2.446091e+01,3.82E+01,2.52E+01,5.10E+00,1.07E+02,-1.18E+01
 7.334686e+00,1.95E+01,4.08E+01,-3.20E+00,1.12E+02,-2.29E+00
 2.368066e+01,2.48E+01,3.26E+01,2.39E+00,1.10E+02,2.06E+00
 2.054507e+01,3.38E+01,3.91E+01,1.80E+00,1.27E+02,1.02E+01
 6.290363e+01,2.25E+01,3.45E+01,4.74E+00,1.02E+02,-1.77E-01
 1.919812e+01,3.02E+01,3.57E+01,3.67E+00,1.27E+02,-4.35E+00
 1.203278e+01,2.39E+01,2.72E+01,-3.48E+00,1.05E+02,1.17E+01
 2.902478e+01,4.84E+01,3.73E+01,1.95E+00,1.17E+02,-2.96E+00
 4.088226e+01,2.24E+01,3.38E+01,5.06E+00,1.20E+02,-8.21E+00
