7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
1.721191e+02,1.34E+01,-4.35E+00,1.66E+01,6.49E+00,5.34E+00
1.237440e+02,1.07E+01,-9.87E+00,9.85E+00,2.40E+00,1.85E+01
3.908002e+01,5.37E+01,-1.44E+01,9.82E+01,2.48E+00,1.24E+01
7.466931e+01,1.21E+01,2.25E+01,3.50E+01,4.98E+00,3.79E+00
8.625446e+01,9.34E+00,-1.97E+00,1.07E+01,1.93E+00,4.87E+00
5.759875e+01,8.83E+00,-3.53E+00,1.88E+01,1.33E+01,3.97E+00
6.217126e+01,1.38E+01,-1.29E+01,2.86E+01,6.31E+00,6.02E+01
5.923767e+01,7.15E+00,-1.07E+01,8.29E+00,5.61E+01,1.03E+01
3.053723e+01,9.04E+00,-9.77E+00,1.15E+01,6.62E+00,3.05E+00
1.600012e+01,1.17E+01,-1.17E+01,2.54E+01,9.01E+00,1.08E+01
2.566913e+01,1.61E+01,-1.31E+01,8.32E+00,4.86E+00,8.78E+00
1.439832e+01,9.04E+00,2.35E+01,1.42E+01,6.45E+00,1.83E+01
1.009314e+01,3.65E+01,-1.32E+01,2.63E+01,1.72E+01,2.58E+01
1.396564e+01,2.01E+01,-1.22E+01,8.57E+00,7.93E+00,9.55E+00
2.130414e+01,1.09E+01,-1.47E+01,8.47E+00,4.27E+00,1.14E+01
5.216003e+00,2.33E+01,-1.46E+01,9.36E+00,3.51E+00,1.74E+01
1.620154e+01,1.49E+01,-1.06E+01,1.29E+01,2.57E+01,3.75E+01
8.864868e+00,1.07E+01,-1.15E+01,1.23E+01,1.87E+01,6.53E+00
2.100934e+01,1.41E+01,-1.49E+01,2.81E+01,8.47E+00,4.57E+00
9.838562e+00,2.57E+01,-1.43E+01,1.46E+01,8.13E+00,7.85E+00
1.421991e+01,4.28E+01,-1.67E+00,8.74E+00,1.76E+01,8.28E+00
1.371692e+01,1.96E+01,-7.63E-01,1.01E+01,9.69E+00,6.78E+00
1.006165e+01,8.14E+00,2.07E+01,6.05E+00,4.43E+00,1.47E+01
1.124323e+01,6.58E+00,2.22E+01,1.28E+01,4.53E+00,3.79E+00
1.299707e+01,1.50E+01,-5.54E+00,2.14E+01,6.88E+00,9.83E+01
1.716327e+01,1.93E+01,-1.63E+01,9.69E+00,4.18E+00,8.05E+00
3.384143e+01,2.36E+01,-1.46E+01,1.16E+01,5.93E+00,3.22E+00
2.587952e+01,1.42E+01,-1.46E+01,2.86E+01,2.34E+00,6.03E+00
2.670911e+01,2.34E+01,8.53E+00,1.38E+01,3.13E+00,5.20E+00
9.941284e+00,1.99E+01,-1.22E+01,1.62E+01,3.15E+00,4.35E+00
1.052283e+01,1.26E+01,1.52E-01,1.08E+01,2.59E+00,4.13E+00
2.633752e+01,1.94E+01,-1.74E+00,3.60E+01,1.09E+01,4.57E+00
9.018066e+00,2.97E+01,-6.75E+00,1.03E+01,1.16E+02,7.57E+00
1.232739e+01,1.55E+01,-1.10E+01,9.01E+00,4.94E+00,9.23E+00
2.097778e+01,1.33E+01,-1.39E+01,7.78E+00,4.70E+00,7.25E+00
8.948059e+00,9.48E+01,-1.48E+01,1.03E+01,1.67E+00,1.32E+01
2.251306e+01,6.10E+00,-1.54E+01,6.15E+00,1.21E+01,3.93E+01
2.734021e+01,2.64E+01,1.29E+01,8.59E+00,1.50E+01,3.11E+01
8.783081e+00,1.62E+01,1.08E+01,1.12E+01,3.66E+00,1.34E+01
1.085229e+01,2.46E+01,-8.87E+00,1.07E+01,3.44E+00,5.44E+00
5.933533e+00,1.78E+01,-1.37E+01,1.93E+01,3.65E+00,5.62E+01
9.108032e+00,3.01E+01,-1.19E+01,1.04E+01,3.72E+00,1.37E+01
2.927112e+01,1.20E+01,-1.19E+01,2.47E+01,5.25E+00,9.77E+00
1.597687e+01,2.75E+01,-1.17E+01,1.99E+01,8.82E+00,9.03E+00
1.275995e+01,1.57E+01,-1.31E+01,1.24E+01,8.06E-01,5.93E+00
1.247626e+01,3.95E+01,-8.87E+00,1.52E+01,3.25E+00,2.08E+01
3.254578e+01,1.32E+01,-9.86E+00,9.37E+00,2.37E+00,1.23E+01
1.050067e+01,1.59E+01,-1.44E+01,1.02E+01,2.84E+01,5.77E+00
1.692383e+01,1.50E+01,-8.26E+00,2.00E+01,1.68E+01,7.36E+00
1.522467e+01,4.21E+01,-2.14E+00,7.13E+00,3.70E+01,1.93E+01
4.526062e+00,2.09E+01,-1.36E+01,1.42E+01,4.78E+00,3.75E+00
1.011823e+01,8.42E+00,-1.34E+01,1.21E+01,9.25E+00,5.48E+00
6.960632e+00,8.65E+00,-1.39E+01,6.80E+00,3.55E+01,7.81E+00
4.596167e+01,5.88E+00,-1.41E+01,1.35E+01,6.06E+00,2.01E+01
6.360596e+00,5.22E+01,-1.09E+01,1.27E+01,1.00E+01,6.41E+00
1.912610e+01,4.12E+01,-1.05E+01,9.36E+00,1.30E+01,1.15E+01
5.760559e+00,1.97E+01,2.91E+01,9.27E+00,8.21E+00,1.00E+01
4.706238e+00,1.13E+01,-3.88E+00,1.32E+01,3.35E+00,2.47E+01
2.069891e+01,4.13E+01,-1.33E+01,2.46E+01,4.83E+00,5.87E+00
6.402771e+00,1.19E+01,-7.41E+00,1.13E+01,4.96E+00,7.30E+00
5.400818e+00,1.96E+01,-1.15E+01,1.24E+01,6.02E+00,8.37E+00
1.023767e+01,1.52E+01,-4.32E+00,9.35E+00,7.69E+00,6.70E+00
7.852417e+00,9.27E+00,2.48E+01,1.19E+01,3.45E+00,6.86E+00
6.248962e+00,8.10E+00,-1.14E+01,1.14E+01,2.71E+00,1.03E+01
1.081274e+01,2.07E+01,-9.43E+00,1.20E+01,3.67E+00,3.59E+00
1.181390e+01,3.21E+01,-8.74E+00,1.16E+01,3.48E+00,9.91E+00
3.972424e+01,2.19E+01,-1.34E+01,1.27E+01,1.97E+01,4.44E+00
3.911194e+00,5.13E+01,-1.02E+01,1.08E+01,8.22E+00,5.93E+00
2.160559e+01,2.19E+01,-1.30E+01,9.13E+00,2.69E+01,3.36E+00
2.298083e+01,1.43E+01,-1.26E+01,2.77E+01,7.14E+00,6.49E+00
1.398877e+01,1.25E+01,-1.03E+01,1.93E+01,1.13E+01,3.45E+00
1.670068e+01,1.99E+01,-1.37E+01,1.95E+01,9.44E+00,4.72E+00
1.553979e+01,2.49E+01,-1.35E+01,1.05E+01,5.41E+00,7.24E+00
7.643555e+00,1.49E+01,-1.23E+01,1.15E+01,3.25E+00,1.12E+01
6.453308e+00,3.21E+01,1.01E+01,1.27E+01,7.29E-01,1.56E+01
5.198425e+00,1.61E+01,-9.06E+00,1.08E+01,2.16E+01,5.31E+00
9.134827e+00,1.94E+01,-1.19E+01,9.80E+00,8.90E+00,1.13E+01
1.059131e+01,1.75E+01,7.77E-01,1.17E+01,4.12E+00,3.40E+00
7.641541e+00,1.50E+01,-1.41E+01,1.19E+01,2.14E+01,6.20E+00
4.690979e+00,3.17E+01,-7.88E+00,5.49E+01,1.44E+00,1.53E+00
3.251440e+01,2.13E+01,-1.06E+01,1.18E+01,1.01E+01,7.34E+00
1.606799e+01,8.75E+00,-1.13E+01,1.01E+01,1.87E+01,1.44E+01
1.735254e+01,1.62E+01,-4.74E+00,1.41E+01,1.11E+01,5.29E+00
8.395081e+00,5.37E+01,-1.20E+01,1.09E+01,4.56E+00,4.48E+00
7.314880e+00,1.08E+01,-1.37E+01,1.18E+01,8.41E+00,1.08E+01
3.270386e+01,1.35E+01,1.90E+01,7.58E+00,7.11E+00,2.73E+01
1.858313e+01,1.02E+01,-1.20E+01,1.41E+01,1.64E+01,5.59E+00
2.035132e+01,1.76E+01,-1.01E+01,1.25E+01,4.49E+00,7.16E+00
1.122546e+01,1.36E+01,-1.40E+01,1.39E+01,3.93E+00,6.97E+00
7.735107e+00,1.26E+01,-9.43E+00,9.61E+00,1.65E+01,3.28E+00
4.765320e+00,1.70E+01,-1.19E+01,1.39E+01,3.26E+00,6.90E+00
6.320361e+01,6.66E+01,-1.45E+01,9.89E+00,2.94E+00,5.93E+00
2.480298e+01,2.29E+01,-1.52E+00,2.19E+01,4.19E+00,1.46E+01
2.138123e+01,3.09E+01,-1.47E+01,1.10E+01,1.37E+01,9.22E+00
8.634460e+00,9.48E+00,-1.36E+01,1.10E+01,1.73E+01,2.23E+01
9.732971e+00,2.22E+01,-1.60E+01,1.51E+01,5.99E+00,7.19E+00
2.331787e+00,4.34E+01,-1.59E+01,8.44E+00,3.62E+00,1.13E+01
2.687006e+01,5.94E+01,-1.44E+01,1.55E+01,2.96E+00,1.35E+01
