7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
2.134790e+01,1.05E+01,9.27E+00,9.04E+00,9.66E+00,3.68E+00
2.878723e+00,4.18E+01,3.14E+01,8.72E+00,1.38E+01,2.89E+00
3.885437e+00,4.18E+01,1.24E+01,7.36E+00,1.54E+01,1.16E+01
7.284790e+00,1.40E+01,3.06E+01,7.96E+00,3.65E+01,9.02E-01
3.821252e+01,1.57E+01,1.09E+01,6.86E+00,1.65E+01,-2.12E+00
5.885071e+00,3.53E+00,1.08E+01,5.63E+00,1.60E+01,-4.82E-01
2.158136e+01,9.72E+00,1.15E+01,5.70E+00,1.26E+01,1.73E+01
4.767212e+00,8.79E+00,1.16E+01,6.17E-01,2.66E+01,-4.99E+00
3.801331e+00,6.33E+00,3.32E+01,5.83E+00,9.39E+01,1.26E+01
9.039734e+00,1.26E+00,1.02E+01,2.66E+00,1.72E+01,-4.42E+00
9.525085e+00,2.75E+01,8.01E+00,2.52E+00,2.60E+01,7.29E-01
2.947754e+00,5.98E+00,9.69E+00,2.14E+00,2.06E+01,-6.63E-01
4.943298e+01,2.57E+01,2.28E+01,4.48E+00,2.16E+01,-1.00E+01
2.736407e+01,7.03E+00,2.18E+01,2.22E+00,1.57E+01,-8.00E+00
1.208130e+00,6.21E+00,1.56E+01,8.60E+00,1.27E+01,-7.70E+00
5.843811e+00,5.59E+00,1.05E+01,8.83E+00,1.15E+01,1.61E+01
1.334393e+01,1.66E+01,1.09E+01,5.12E+00,1.51E+01,-1.32E+01
1.985352e+00,9.48E+00,9.89E+00,1.72E+00,1.56E+01,-1.47E+01
2.208618e+00,9.41E+00,1.76E+01,3.49E+00,1.53E+01,-7.86E+00
1.707220e+01,9.91E+00,2.25E+01,7.55E+00,1.28E+01,-8.26E+00
3.405090e+00,1.74E+01,1.77E+01,9.09E+00,1.37E+01,-1.52E+01
2.218683e+01,6.58E+00,1.06E+01,7.48E+00,1.27E+01,-1.39E+01
4.099060e+00,5.79E+00,9.89E+00,2.22E+00,1.49E+01,-1.48E+01
8.962585e+00,2.84E+00,1.24E+01,2.87E+00,1.52E+01,-1.28E+01
5.966125e+00,9.39E+00,1.88E+01,1.00E+01,2.60E+01,-8.47E+00
1.307043e+02,9.02E+00,1.63E+01,4.26E+00,5.22E+01,-1.15E+01
3.050220e+02,3.74E+01,1.39E+01,1.11E+01,3.10E+01,-1.04E+01
1.386023e+02,1.11E+01,1.18E+01,2.30E+00,1.65E+01,-8.92E+00
1.134255e+02,6.48E+00,1.17E+01,1.12E+01,1.69E+01,4.72E+00
1.661603e+01,1.40E+01,1.44E+01,4.32E+00,1.70E+01,1.23E+01
1.161188e+01,1.57E+01,2.19E+01,8.66E+00,4.43E+01,-7.26E+00
3.623651e+01,1.51E+01,2.11E+01,6.73E+00,3.64E+01,-8.97E+00
1.244055e+01,5.40E+00,1.34E+01,3.01E+00,4.17E+01,-5.87E+00
3.754034e+01,8.25E+00,8.40E+00,5.37E+00,4.15E+01,1.84E+01
2.747137e+01,3.22E+01,2.35E+01,5.97E+00,6.23E+01,-8.07E+00
1.751239e+01,1.04E+01,1.16E+01,2.40E+01,4.54E+01,-1.19E+01
1.817200e+00,1.81E+01,1.24E+01,3.15E+00,4.83E+01,-3.09E+00
4.053497e+01,4.53E+01,1.31E+01,2.86E-01,4.55E+01,-1.11E+01
2.159424e+01,1.03E+01,2.85E+01,5.46E+00,4.39E+01,-6.86E+00
1.421350e+01,7.31E+00,1.27E+01,4.87E+00,4.24E+01,-2.48E+00
2.328430e+00,6.15E+00,1.06E+01,3.21E+00,4.67E+01,6.76E-01
6.653320e+00,1.31E+01,1.09E+01,3.09E+00,4.26E+01,-1.02E+00
1.814642e+01,8.17E+00,1.35E+01,5.93E+00,4.14E+01,-3.52E+00
6.622009e+00,1.19E+01,1.23E+01,8.90E+00,5.65E+01,-3.60E+00
8.958923e+00,2.32E+01,1.06E+01,6.11E+00,4.81E+01,2.09E+00
1.577197e+01,3.05E+01,1.94E+01,6.91E+00,4.64E+01,-2.96E+00
1.536041e+01,4.83E+00,9.87E+00,3.36E+00,4.38E+01,1.25E+00
3.133014e+01,4.66E+01,1.19E+01,4.46E+00,5.39E+01,1.76E+01
1.128619e+01,4.99E+01,2.57E+01,9.22E+00,4.50E+01,-5.60E+00
1.069928e+01,6.07E+00,2.55E+01,4.10E+00,4.33E+01,-3.84E+00
2.034137e+01,4.27E+01,1.84E+01,2.66E+00,4.25E+01,-5.56E+00
6.962769e+00,1.72E+01,4.95E+00,5.26E+00,4.46E+01,-3.40E+00
2.182513e+01,2.70E+00,1.65E+01,1.60E+00,4.48E+01,-1.63E+00
2.062970e+01,4.69E+00,9.83E+00,3.43E+00,4.31E+01,2.13E+00
5.782141e+01,1.43E+01,1.03E+01,5.94E+00,6.75E+01,6.88E+00
1.188165e+01,1.21E+01,9.66E+00,8.27E+00,4.14E+01,7.76E+00
6.771484e+00,1.44E+01,1.33E+01,8.80E+00,6.24E+01,-4.59E+00
2.497778e+01,9.98E+00,8.36E+00,2.36E+00,4.20E+01,1.35E+01
3.982257e+01,2.57E+01,9.87E+00,4.16E+00,5.59E+01,-1.15E+00
1.604572e+01,6.89E+00,8.05E+00,5.45E+00,5.87E+01,-2.41E+00
3.299347e+01,5.89E+01,8.37E+00,6.43E+00,4.51E+01,-2.89E-02
5.014343e+00,1.09E+01,9.19E+00,3.44E+00,4.74E+01,2.04E+00
1.043121e+01,1.16E+01,2.60E+02,8.04E+00,4.26E+01,-1.05E+01
2.647253e+01,4.66E+00,5.45E+01,3.86E+00,4.04E+01,4.62E+00
1.463580e+01,7.19E+00,1.26E+01,5.38E+00,6.05E+01,-5.61E+00
1.767267e+01,1.62E+01,1.19E+01,4.15E+00,5.01E+01,3.86E+00
1.198981e+01,6.10E+00,1.19E+01,1.86E+00,5.15E+01,-1.06E+01
8.662842e+00,4.04E+01,1.31E+01,6.38E+00,4.27E+01,-4.80E+00
1.104218e+01,1.44E+01,1.02E+01,2.55E+01,6.63E+01,-6.31E+00
8.036682e+00,3.41E+00,1.32E+01,3.20E+00,5.86E+01,4.48E-01
1.449414e+01,5.12E+00,2.07E+01,6.53E+00,5.46E+01,8.35E-01
6.919678e+00,2.24E+01,9.60E+00,5.13E+00,4.95E+01,1.89E+00
2.428223e+00,8.15E+00,1.03E+01,2.92E+00,4.40E+01,-2.65E+00
3.180481e+00,1.19E+01,1.10E+01,3.90E+00,4.83E+01,-3.83E+00
6.537476e+00,5.51E+01,1.53E+01,2.91E+00,1.66E+02,1.46E+01
8.810364e+00,8.54E+00,1.21E+01,5.56E+00,2.29E+02,-5.42E+00
4.282349e+00,3.41E+00,1.01E+01,5.75E+00,1.57E+02,-6.58E+00
1.029926e+01,6.70E+00,7.92E+00,1.29E+00,2.60E+02,-2.79E+00
