,Babs,Time,Denuder
1,4.24E+00,11:00,Yes
2,6.49E+00,11:00,Yes
3,3.41E-01,11:00,Yes
4,9.28E-01,11:00,Yes
5,1.01E+01,11:00,Yes
6,3.07E-01,11:00,Yes
7,4.50E+00,11:00,Yes
8,3.64E+00,11:00,Yes
9,1.40E+00,11:00,Yes
10,9.09E-01,11:00,Yes
11,-6.12E-01,11:00,Yes
12,3.43E+00,11:00,Yes
13,-3.56E-01,11:00,Yes
14,5.37E-01,11:00,Yes
15,7.54E-01,11:00,Yes
16,4.15E+00,11:00,Yes
17,-2.96E-02,11:00,Yes
18,2.67E+00,11:00,Yes
19,1.54E+02,11:00,Yes
20,2.97E+01,11:00,Yes
21,4.01E+00,11:00,Yes
22,-9.01E-01,11:00,Yes
23,2.01E+00,11:00,Yes
24,1.55E+00,11:00,Yes
25,2.81E+00,11:00,Yes
26,2.33E+00,11:00,Yes
27,-3.03E+00,11:00,Yes
28,1.42E+00,11:00,Yes
29,3.07E+00,11:00,Yes
30,3.66E+00,11:00,Yes
31,2.82E+00,11:00,Yes
32,3.27E+00,11:00,Yes
33,3.19E+00,11:00,Yes
34,4.27E+00,11:00,Yes
35,4.00E+00,11:00,Yes
36,4.04E+00,11:00,Yes
37,2.28E+00,11:00,Yes
38,3.60E+00,11:00,Yes
39,4.12E+00,11:00,Yes
40,2.60E+00,11:00,Yes
41,3.45E+00,11:00,Yes
42,4.60E+00,11:00,Yes
43,1.70E+00,11:00,Yes
44,2.30E+00,11:00,Yes
45,-2.83E+00,11:00,Yes
46,1.96E+00,11:00,Yes
47,4.40E+00,11:00,Yes
48,6.02E-01,11:00,Yes
49,-6.67E-01,11:00,Yes
50,1.99E+00,11:00,Yes
51,4.83E+00,11:00,Yes
52,3.45E+00,11:00,Yes
53,-1.75E+00,11:00,Yes
54,9.53E+00,11:00,Yes
55,3.11E+00,11:00,Yes
56,1.34E+00,11:00,Yes
57,1.56E+00,11:00,Yes
58,2.64E+00,11:00,Yes
59,2.89E+00,11:00,Yes
60,-6.23E-02,11:00,Yes
61,-7.14E-01,11:00,Yes
62,-2.87E+00,11:00,Yes
63,6.89E+00,11:00,Yes
64,1.78E+00,11:00,Yes
65,4.77E+00,11:00,Yes
66,-8.70E-03,11:00,Yes
67,-1.95E+00,11:00,Yes
68,-1.84E+00,11:00,Yes
69,2.07E+00,11:00,Yes
70,6.54E-02,11:00,Yes
71,2.59E+00,11:00,Yes
72,3.08E+00,11:00,Yes
73,-5.30E+00,11:00,Yes
74,-2.28E+00,11:00,Yes
75,-1.16E+00,11:00,Yes
76,5.53E+00,11:00,Yes
77,-1.86E+00,11:00,Yes
78,7.65E-02,11:00,Yes
79,1.99E+00,11:00,Yes
80,2.67E+00,11:00,Yes
81,-1.05E+00,11:00,Yes
82,-1.08E+00,11:00,Yes
83,7.30E+00,11:00,Yes
84,7.42E+00,11:00,Yes
85,-1.26E+00,11:00,Yes
86,-2.61E+00,11:00,Yes
87,-1.76E+00,11:00,Yes
88,-3.85E+00,11:00,Yes
89,-1.60E+00,11:00,Yes
90,5.88E-01,11:00,Yes
91,4.88E+00,11:00,Yes
92,7.99E+00,11:00,Yes
93,1.52E+00,11:00,Yes
94,1.56E+00,11:00,Yes
95,4.60E+00,11:00,Yes
96,7.22E-01,11:00,Yes
97,4.33E+00,11:00,Yes
98,4.20E+00,11:00,Yes
99,5.87E+00,11:00,Yes
100,2.97E+00,11:00,Yes
101,2.71E+00,11:00,Yes
102,2.57E+00,11:00,Yes
103,-4.21E+00,11:00,Yes
104,1.89E+00,11:00,Yes
105,4.52E+00,11:00,Yes
106,2.23E+00,11:00,Yes
107,8.47E-01,11:00,Yes
108,3.28E+00,11:00,Yes
109,5.75E+00,11:00,Yes
110,1.45E+00,11:00,Yes
111,-8.12E-02,11:00,Yes
112,2.95E+00,11:00,Yes
113,-3.71E-01,11:00,Yes
114,7.23E-01,11:00,Yes
115,1.66E+00,11:00,Yes
116,4.63E+00,11:00,Yes
117,-7.92E-01,11:00,Yes
118,4.53E+00,11:00,Yes
119,1.55E+00,11:00,Yes
120,1.99E+00,11:00,Yes
121,-9.89E-01,11:00,Yes
122,6.12E+00,11:00,Yes
123,5.07E+00,11:00,Yes
124,-5.95E+00,11:00,Yes
125,1.55E+00,11:00,Yes
126,4.14E+00,11:00,Yes
