7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
0.01738559,-0.00176,-0.011,0.0244,-0.00413,-0.00149
0.01510944,0.00523,-0.0141,0.0189,-0.00182,-0.000659
0.01932733,0.00797,-0.0143,0.00468,0.00167,0.00517
0.007729797,0.00348,-0.0102,0.0136,0.00322,-0.00142
0.02373947,0.0038,-0.0119,0.0127,0.00248,0.00087
0.02124216,0.00254,-0.0111,0.00848,-0.0000771,0.00333
0.01714069,-0.000274,-0.016,0.00936,0.00201,0.00813
0.01209381,0.00864,-0.0168,0.0166,0.00106,-0.0017
0.01419305,0.00925,-0.00954,0.0128,-0.00301,0.0057
0.004766266,0.01,-0.0111,0.0209,-0.00157,-0.00185
0.01216318,0.0064,-0.0109,0.0152,-0.00539,0.00216
0.01157498,0.00429,-0.0155,0.0204,0.0033,0.00213
0.01114484,0.00945,-0.0142,0.0128,-0.0009,0.00636
-0.006407074,0.00867,-0.0106,0.0126,0.00636,0.00321
0.007886536,0.000447,-0.0212,0.0228,0.00577,0.000488
0.005988708,0.00285,-0.0159,0.0209,0.00151,0.00303
0.006361572,0.00623,-0.014,0.0142,-0.00309,-0.00432
0.002555359,0.00348,-0.0129,0.0113,0.00698,0.0000305
0.008409119,-0.00243,-0.0193,0.0149,0.000182,-0.00449
0.003590118,0.0114,-0.0131,0.0155,0.00303,0.00117
0.002832794,0.00445,-0.0165,0.0152,-0.00257,-0.00147
0.006026947,0.0067,-0.0137,0.0118,0.00807,-0.000641
0.006684418,-0.00307,-0.016,0.0178,0.000501,-0.00357
0.00927597,0.00345,-0.0157,0.0166,0.00514,0.00432
0.003149719,0.00609,-0.0117,0.0183,-0.00265,0.00469
0.0101734,0.00618,-0.0198,0.0141,0.00464,0.00327
0.003334686,0.00147,-0.0245,0.0198,-0.00407,0.00421
0.005003937,0.00479,-0.0184,0.0141,-0.000165,-0.000578
0.004629395,0.00486,-0.022,0.027,0.00493,-0.00247
0.009293121,0.000165,-0.00799,0.0235,-0.00474,-0.00463
0.01152954,0.00511,-0.0127,0.0197,0.00155,-0.00125
0.01028986,0.00467,-0.0174,0.0191,0.00661,-0.000255
0.008280334,0.00587,-0.0153,0.0128,0.00091,0.00492
0.01212451,0.00486,-0.0109,0.0252,-0.00983,0.00271
0.01076892,0.0073,-0.0129,0.0196,0.00343,0.00545
0.004695801,0.00739,-0.0154,0.0263,-0.00646,-0.00491
0.007176208,0.00352,-0.0111,0.0196,-0.000484,0.00012
0.0109621,0.00473,-0.0188,0.0168,0.0045,-0.0004
0.006590363,0.0107,-0.0116,0.0172,0.000434,0.000213
0.008656128,0.0107,-0.0184,0.0145,0.00372,0.00541
0.004543335,0.00511,-0.0102,0.023,-0.000554,0.00781
0.005303711,0.00131,-0.0123,0.0224,0.00509,0.000873
0.002558777,0.00172,-0.0145,0.0175,-0.000288,0.00232
0.0010383,0.00234,-0.0125,0.0144,0.00192,0.00625
0.004379852,0.00917,-0.0221,0.0183,0.00205,-0.00139
0.006200134,0.00735,-0.0148,0.0196,-0.00347,0.00665
0.01149194,0.00185,-0.0192,0.0257,0.00113,0.00673
0.01015463,0.0122,-0.0103,0.0202,-0.000107,-0.00398
0.004836761,-0.00164,-0.0153,0.0175,-0.000927,-0.000514
0.005182526,0.0021,-0.00833,0.0207,0.00489,-0.01
0.004052429,0.00575,-0.0153,0.0187,-0.00494,-0.00756
2.22473E-05,0.0123,-0.0152,0.0247,-0.0000688,0.00105
