7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
0.0213479,0.0105,0.00927,0.00904,0.00966,0.00368
0.002878723,0.0418,0.0314,0.00872,0.0138,0.00289
0.003885437,0.0418,0.0124,0.00736,0.0154,0.0116
0.00728479,0.014,0.0306,0.00796,0.0365,0.000902
0.03821252,0.0157,0.0109,0.00686,0.0165,-0.00212
0.005885071,0.00353,0.0108,0.00563,0.016,-0.000482
0.02158136,0.00972,0.0115,0.0057,0.0126,0.0173
0.004767212,0.00879,0.0116,0.000617,0.0266,-0.00499
0.003801331,0.00633,0.0332,0.00583,0.0939,0.0126
0.009039734,0.00126,0.0102,0.00266,0.0172,-0.00442
0.009525085,0.0275,0.00801,0.00252,0.026,0.000729
0.002947754,0.00598,0.00969,0.00214,0.0206,-0.000663
0.04943298,0.0257,0.0228,0.00448,0.0216,-0.01
0.02736407,0.00703,0.0218,0.00222,0.0157,-0.008
0.00120813,0.00621,0.0156,0.0086,0.0127,-0.0077
0.005843811,0.00559,0.0105,0.00883,0.0115,0.0161
0.01334393,0.0166,0.0109,0.00512,0.0151,-0.0132
0.001985352,0.00948,0.00989,0.00172,0.0156,-0.0147
0.002208618,0.00941,0.0176,0.00349,0.0153,-0.00786
0.0170722,0.00991,0.0225,0.00755,0.0128,-0.00826
0.00340509,0.0174,0.0177,0.00909,0.0137,-0.0152
0.02218683,0.00658,0.0106,0.00748,0.0127,-0.0139
0.00409906,0.00579,0.00989,0.00222,0.0149,-0.0148
0.008962585,0.00284,0.0124,0.00287,0.0152,-0.0128
0.005966125,0.00939,0.0188,0.01,0.026,-0.00847
0.1307043,0.00902,0.0163,0.00426,0.0522,-0.0115
0.305022,0.0374,0.0139,0.0111,0.031,-0.0104
0.1386023,0.0111,0.0118,0.0023,0.0165,-0.00892
0.1134255,0.00648,0.0117,0.0112,0.0169,0.00472
0.01661603,0.014,0.0144,0.00432,0.017,0.0123
0.01161188,0.0157,0.0219,0.00866,0.0443,-0.00726
0.03623651,0.0151,0.0211,0.00673,0.0364,-0.00897
0.01244055,0.0054,0.0134,0.00301,0.0417,-0.00587
0.03754034,0.00825,0.0084,0.00537,0.0415,0.0184
0.02747137,0.0322,0.0235,0.00597,0.0623,-0.00807
0.01751239,0.0104,0.0116,0.024,0.0454,-0.0119
0.0018172,0.0181,0.0124,0.00315,0.0483,-0.00309
0.04053497,0.0453,0.0131,0.000286,0.0455,-0.0111
0.02159424,0.0103,0.0285,0.00546,0.0439,-0.00686
0.0142135,0.00731,0.0127,0.00487,0.0424,-0.00248
0.00232843,0.00615,0.0106,0.00321,0.0467,0.000676
0.00665332,0.0131,0.0109,0.00309,0.0426,-0.00102
0.01814642,0.00817,0.0135,0.00593,0.0414,-0.00352
0.006622009,0.0119,0.0123,0.0089,0.0565,-0.0036
0.008958923,0.0232,0.0106,0.00611,0.0481,0.00209
0.01577197,0.0305,0.0194,0.00691,0.0464,-0.00296
0.01536041,0.00483,0.00987,0.00336,0.0438,0.00125
0.03133014,0.0466,0.0119,0.00446,0.0539,0.0176
0.01128619,0.0499,0.0257,0.00922,0.045,-0.0056
0.01069928,0.00607,0.0255,0.0041,0.0433,-0.00384
0.02034137,0.0427,0.0184,0.00266,0.0425,-0.00556
0.006962769,0.0172,0.00495,0.00526,0.0446,-0.0034
0.02182513,0.0027,0.0165,0.0016,0.0448,-0.00163
0.0206297,0.00469,0.00983,0.00343,0.0431,0.00213
0.05782141,0.0143,0.0103,0.00594,0.0675,0.00688
0.01188165,0.0121,0.00966,0.00827,0.0414,0.00776
0.006771484,0.0144,0.0133,0.0088,0.0624,-0.00459
0.02497778,0.00998,0.00836,0.00236,0.042,0.0135
0.03982257,0.0257,0.00987,0.00416,0.0559,-0.00115
0.01604572,0.00689,0.00805,0.00545,0.0587,-0.00241
0.03299347,0.0589,0.00837,0.00643,0.0451,-0.0000289
0.005014343,0.0109,0.00919,0.00344,0.0474,0.00204
0.01043121,0.0116,0.26,0.00804,0.0426,-0.0105
0.02647253,0.00466,0.0545,0.00386,0.0404,0.00462
0.0146358,0.00719,0.0126,0.00538,0.0605,-0.00561
0.01767267,0.0162,0.0119,0.00415,0.0501,0.00386
0.01198981,0.0061,0.0119,0.00186,0.0515,-0.0106
0.008662842,0.0404,0.0131,0.00638,0.0427,-0.0048
0.01104218,0.0144,0.0102,0.0255,0.0663,-0.00631
0.008036682,0.00341,0.0132,0.0032,0.0586,0.000448
0.01449414,0.00512,0.0207,0.00653,0.0546,0.000835
0.006919678,0.0224,0.0096,0.00513,0.0495,0.00189
0.002428223,0.00815,0.0103,0.00292,0.044,-0.00265
0.003180481,0.0119,0.011,0.0039,0.0483,-0.00383
0.006537476,0.0551,0.0153,0.00291,0.166,0.0146
0.008810364,0.00854,0.0121,0.00556,0.229,-0.00542
0.004282349,0.00341,0.0101,0.00575,0.157,-0.00658
0.01029926,0.0067,0.00792,0.00129,0.26,-0.00279
0.01272211,0.00387,0.0115,0.00433,0.228,0.00168
0.02077979,0.0276,0.0172,0.0096,0.191,-0.00513
0.01608582,0.00601,0.00583,0.00789,0.0793,-0.00702
0.02765717,0.00518,0.0102,0.00848,0.0993,-0.00886
0.008694946,0.00429,0.01,0.0146,0.0609,-0.00778
0.006472412,0.0293,0.00901,0.0111,0.0607,-0.00544
0.008156677,0.0408,0.00801,0.0126,0.0348,-0.0063
0.003180603,0.0054,0.00668,0.0139,0.0571,0.0034
0.01693091,0.00307,0.0406,0.0122,0.0521,-0.00658
0.01283984,0.00997,0.0557,0.0134,0.0425,-0.00152
0.01589252,0.0122,0.0101,0.013,0.0598,-0.00305
0.001427429,0.0119,0.0521,0.023,0.0364,0.00649
0.04343372,0.0155,0.0122,0.0106,0.0427,-0.00415
0.02582916,0.101,0.0116,0.00987,0.0374,-0.00405
0.005353088,0.0181,0.00639,0.0142,0.0406,-0.00831
0.03117645,0.0108,0.0106,0.0114,0.0479,0.0297
0.007585083,0.015,0.0182,0.00989,0.0402,0.0449
0.004353455,0.00722,0.0117,0.00782,0.0392,-0.00622
0.01852014,0.0102,0.00914,0.0137,0.0901,0.0314
0.0257016,0.0321,0.00732,0.00989,0.0378,0.0276
0.0177641,0.0199,0.0133,0.00775,0.0392,-0.000783
0.006247864,0.0241,0.0106,0.0114,0.0406,0.00381
0.01972394,0.0101,0.158,0.0108,0.0434,0.0104
0.005689148,0.00149,0.0271,0.00876,0.0385,-0.00493
0.01425128,0.0017,0.0132,0.0126,0.036,0.00799
0.01238245,0.0141,0.0134,0.0174,0.0398,0.00585
0.01029407,0.00392,0.0528,0.0154,0.0426,-0.0011
0.01770453,0.00921,0.0156,0.0143,0.0393,-0.000544
0.01663269,0.014,0.0175,0.018,0.0381,0.00109
0.01143903,0.00674,0.0127,0.0121,0.0438,0.00021
0.02715735,0.00905,0.0166,0.0117,0.0617,-0.000664
0.008563721,0.00529,0.0215,0.0112,0.0417,0.00482
0.009715576,0.0252,0.0355,0.0155,0.042,0.00324
0.004480042,0.015,0.0228,0.0223,0.0432,-0.00313
0.02593494,0.087,0.0246,0.0159,0.0469,0.0219
0.004100037,0.0512,0.0208,0.0127,0.0445,-0.00205
0.004476746,0.056,0.0248,0.015,0.0546,0.00539
0.009416504,0.0174,0.0304,0.00874,0.0419,-0.00182
0.00239624,0.0125,0.0426,0.008,0.0403,-0.00146
0.02768976,0.0146,0.0298,0.116,0.0473,-0.00306
0.02838751,0.00409,0.0166,0.0162,0.0411,-0.0049
0.006987122,0.00358,0.024,0.00735,0.0494,-0.00322
0.002121521,0.0347,0.0362,0.00914,0.0457,0.00555
0.005714844,0.0116,0.0219,0.00814,0.0416,-0.00321
0.004146973,0.0489,0.0189,0.00828,0.0696,0.0034
0.02232727,0.0065,0.0146,0.00616,0.0597,0.00922
5.85938E-05,0.0153,0.0173,0.00727,0.0433,-0.00522
0.009647156,0.00801,0.014,0.0113,0.0417,-0.00307
0.004009705,0.00401,0.0472,0.00798,0.0409,0.0293
0.005743286,0.0089,0.0176,0.0128,0.043,-0.00738
0.007989746,0.0299,0.0129,0.00999,0.0422,-0.00664
0.02909875,0.0102,0.0121,0.00873,0.0408,-0.0106
0.003174622,0.0137,0.0158,0.0126,0.04,-0.00524
0.01067261,0.0242,0.039,0.0101,0.0462,0.0851
0.0225202,0.00536,0.0109,0.012,0.0938,0.0428
0.007124146,0.0228,0.0175,0.0128,0.0604,0.0892
0.05121527,0.00783,0.0143,0.0106,0.0788,-0.0049
0.005428833,0.027,0.0653,0.00988,0.0542,-0.0042
0.004145752,0.00408,0.0188,0.0122,0.0434,-0.00511
0.002315552,0.0148,0.0837,0.0124,0.0424,0.0116
0.01265155,0.0168,0.0162,0.0213,0.0416,-0.00512
0.003590698,0.0724,0.0163,0.0111,0.0453,-0.00817
0.003755981,0.0246,0.0208,0.013,0.0417,0.0114
0.002971619,0.00365,0.0351,0.011,0.0412,0.0128
0.01647845,0.00333,0.0115,0.00972,0.0594,-0.000425
0.007709473,0.0078,0.0132,0.0527,0.0412,-0.00449
0.01024841,0.0589,0.0319,0.00983,0.0396,0.00832
0.01662067,0.00969,0.0538,0.00979,0.0425,-0.00227
0.006884155,0.0276,0.0167,0.0106,0.0415,0.0057
0.003039429,0.00597,0.0302,0.0175,0.0452,-0.00353
0.03580585,0.0055,0.0115,0.0529,0.0478,0.0269
0.007323975,0.00593,0.0145,0.0111,0.0417,0.0173
0.007648315,0.00529,0.0105,0.0134,0.0458,0.0174
0.005251282,0.0159,0.0128,0.0278,0.0408,-0.00196
0.003854858,0.0032,0.00998,0.0177,0.0376,-0.00576
-0.000114,0.0061,0.0126,0.00811,0.0415,-0.00161
0.003952148,0.0278,0.0136,0.00957,0.0432,-0.00521
0.003213074,0.00257,0.0138,0.00875,0.0407,-0.00335
0.006680847,0.00519,0.0241,0.0066,0.0394,0.000244
0.004949402,0.00884,0.00903,0.0485,0.0536,-0.00117
0.01871973,0.0311,0.0135,0.0115,0.0716,-0.00192
0.005874817,0.0107,0.0124,0.00621,0.0434,0.00204
0.01452802,0.00716,0.0141,0.00821,0.0472,0.000714
0.005441772,0.00581,0.0113,0.00746,0.0414,-0.00358
0.008458557,0.0238,0.00995,0.00614,0.0406,-0.00329
0.02544348,0.0235,0.0517,0.0285,0.0634,-0.00201
0.03251025,0.0163,0.0146,0.0081,0.052,-0.00398
0.00353717,0.00373,0.0101,0.00742,0.0455,0.00517
0.005997864,0.0335,0.0149,0.012,0.0411,-0.00207
0.008811279,0.143,0.0128,0.00794,0.0643,0.00909
0.009150635,0.00396,0.00988,0.00697,0.0411,-0.0073
0.105943,0.00677,0.012,0.00486,0.0421,0.00271
0.03285132,0.0168,0.0208,0.0427,0.0457,-0.00414
0.01049487,0.0133,0.00952,0.0118,0.0419,0.00243
0.04997052,0.0166,0.0145,0.0241,0.0532,-0.00524
0.01981665,0.00672,0.00768,0.0038,0.0475,0.00265
0.004974792,0.00707,0.0589,0.00371,0.0506,-0.00141
0.02399103,0.0124,0.0247,0.00448,0.0422,-0.00252
0.02047089,0.0175,0.0163,0.00661,0.0485,0.0125
0.004838989,0.0216,0.0157,0.00508,0.0472,0.00208
0.004080566,0.00798,0.0204,0.00736,0.0433,0.00466
0.008909668,0.00495,0.0109,0.00829,0.0408,-0.00414
0.008117126,0.0117,0.0165,0.00746,0.0697,-0.00454
0.01829913,0.00566,0.0169,0.0055,0.0412,-0.00188
0.01131525,0.00557,0.0146,0.00583,0.043,-0.00928
0.005292786,0.00551,0.011,0.00715,0.043,-0.00266
0.01925714,0.0196,0.0181,0.00953,0.0447,-0.00242
0.004652893,0.012,0.0112,0.00922,0.0548,0.00364
0.06716565,0.052,0.00613,0.00723,0.048,-0.00208
0.01279639,0.0166,0.0157,0.0102,0.0394,-0.00341
0.01033673,0.0427,0.0113,0.0122,0.0451,-0.000798
0.008630554,0.0287,0.0136,0.0186,0.0412,0.0215
0.01441986,0.00878,0.0315,0.0152,0.0454,0.0037
0.01334204,0.00942,0.0172,0.0121,0.0451,0.00202
0.003715942,0.00705,0.00991,0.0132,0.0499,-0.00272
0.001942261,0.0105,0.0171,0.0129,0.0529,-0.00108
0.001771667,0.0251,0.0136,0.0134,0.047,0.0077
0.006044067,0.00277,0.0171,0.014,0.0417,0.0105
