date,carbon,sulfur,nitrogen,pm10,pm25,wind,temperature,humidity,radiation,precipitation,ozone 
1/1/2016,,0.4,3.8,12.3,3.1,11.6,38.4,62.8,0.062,0,23
1/2/2016,,0.5,9.4,14.7,5.1,5.3,37.9,75.4,0.055,0,17
1/3/2016,,0.9,21.8,17.9,6.7,4.1,38.4,68.1,0.222,0,11
1/4/2016,,0.9,11.2,13.7,2.6,10,42.2,62.6,0.058,0,18
1/5/2016,,1,15.1,14.6,5,5.6,43.9,83.5,0.097,0.29,11
1/6/2016,,1,14.1,14.5,4,7.8,47.9,70.7,0.153,0.07,16
1/7/2016,,0.9,9.1,15.8,2.8,7.7,46.4,57.6,0.204,0,26
1/8/2016,,0.9,5.2,12,2.3,9.8,40.4,69.5,0.144,0.18,35
1/9/2016,,0.7,7.9,13.5,4,7.2,39.4,61.6,0.232,0,27
1/10/2016,,0.5,9.3,14.9,4.8,5.6,39.3,60.7,0.163,0,26
1/11/2016,,0.6,16,20,7,5.4,40.7,51.6,0.236,0,23
1/12/2016,,0.7,22.8,21.1,6.7,5,38.8,44.7,0.239,0,12
1/13/2016,,0.7,20.3,17.2,4.3,5.3,41.4,45.7,0.241,0,16
1/14/2016,,0.7,11.9,19.2,3.1,10.1,48.3,31.8,0.245,0,29
1/15/2016,,0.7,8.3,18.5,3.2,10.4,48.9,29,0.2,0,33
1/16/2016,,0.6,14.3,20.6,7.7,5.7,44.3,47.9,0.24,0,27
1/17/2016,,0.6,12.1,19.3,5.1,6.8,50.4,32.7,0.241,0,21
1/18/2016,,0.9,19,26.5,6.9,4.7,49.4,31.6,0.249,0,16
1/19/2016,,1.3,20.1,31.4,7.5,6.1,54.5,24.3,0.253,0,17
1/20/2016,,0.9,12.5,22.7,4.3,7.9,55.8,24.9,0.254,0,22
1/21/2016,,0.5,11.4,21.8,5,5.5,48.5,29.7,0.253,0,28
1/22/2016,,1,23.4,31.3,9.4,3.2,45.9,31.8,0.257,0,14
1/23/2016,,1.7,33,47.4,14.2,3,48.2,30.6,0.247,0,12
1/24/2016,,1,8.2,49.2,8.6,9.6,54.7,22.6,0.25,0,25
1/25/2016,,0.9,16,22.1,5.3,6.4,49.1,28,0.261,0,24
1/26/2016,,0.6,6.4,18.8,3.7,8.4,44.6,40,0.228,0,28
1/27/2016,,0.6,11.1,16,3.9,4.9,41.2,49.6,0.266,0,21
1/28/2016,,0.8,16.2,20.5,5.4,4.8,46.8,36,0.269,0,21
1/29/2016,,0.9,17.2,20,4.5,5.6,52,26.8,0.276,0,17
1/30/2016,,0.8,7.4,29.2,4.5,9.9,59.1,17.1,0.278,0,29
1/31/2016,,0.6,5.3,25.9,4.1,10.4,60.3,19.8,0.277,0,34
2/1/2016,,0.7,2.8,30.8,4.8,14.3,47.2,46.7,0.116,0.11,37
2/2/2016,,0.7,4.5,19,4,13.5,38.7,43.9,0.263,0,34
2/3/2016,,0.7,16.6,15.7,7.1,5.8,36.4,33.8,0.29,0,21
2/4/2016,,0.6,20.1,21,4.5,4.4,36.7,28.5,0.293,0,17
2/5/2016,,0.7,18.7,23.1,6.6,5.1,39.9,24,0.294,0,18
2/6/2016,,0.6,18.7,21.4,5.2,4.8,43,19,0.298,0,21
2/7/2016,,0.5,13.8,16.7,3.9,5,47.1,22.4,0.271,0,21
2/8/2016,,0.7,23.8,31.6,6.2,6.2,49.8,24.1,0.286,0,15
2/9/2016,,0.9,27.3,35.5,8.8,4.2,50.7,24.3,0.301,0,11
2/10/2016,,0.9,23.6,34.2,8.9,3.1,54.2,25.3,0.306,0,14
2/11/2016,,0.5,17.8,25.2,6.1,4.2,56.5,21.6,0.311,0,19
2/12/2016,,0.8,27.6,38,9.7,3.3,57.5,20.2,0.311,0,16
2/13/2016,,1,24.5,36.8,9.6,4.3,59.7,16.7,0.307,0,17
2/14/2016,,0.6,14.2,22.6,5,5.7,60.8,14.3,0.314,0,23
2/15/2016,,0.5,15.3,22,4.4,4.9,59,15.6,0.315,0,20
2/16/2016,,0.9,22.4,27.9,6.5,4,60.1,18.9,0.322,0,15
2/17/2016,,1.3,25.4,38.8,9.2,4.5,62.3,20.4,0.322,0,18
2/18/2016,,1.1,21.8,41.2,9.7,6,67.2,16.9,0.322,0,19
2/19/2016,,0.9,18.8,31,8.6,3.9,69.1,16.7,0.24,0,21
2/20/2016,,0.9,16.4,26.8,8.1,4.7,67.5,17.9,0.304,0,23
2/21/2016,,1,8.1,30.6,8,6.8,65.2,21.8,0.26,0,23
2/22/2016,,1,7.8,49,9.8,10.4,60.7,36.4,0.331,0,35
2/23/2016,,0.8,4.4,26.5,4.7,9.9,51.1,29.3,0.338,0,36
2/24/2016,,1,19.8,28.9,7.2,3.8,46.7,37.3,0.341,0,21
2/25/2016,,0.9,17.7,26.3,5.8,5.8,51.3,24.7,0.345,0,23
2/26/2016,,1.2,20,34.9,7.8,5.7,55.7,23.5,0.344,0,28
2/27/2016,,1.1,25,32.4,8.1,3.8,60.1,19.4,0.347,0,19
2/28/2016,,0.7,15.2,26.4,6.8,5.3,65.2,12.7,0.357,0,29
2/29/2016,,0.7,16.1,28.3,6.9,7.6,65.3,13.9,0.33,0,27
3/1/2016,,0.4,15.9,22.9,8.5,5,65.2,16.3,0.362,0,22
3/2/2016,,0.7,15.8,33.7,10.1,8.2,68.4,14.9,0.362,0,26
3/3/2016,,0.7,18.9,26.8,9.9,5.5,67,14.6,0.336,0,29
3/4/2016,,1.3,31.8,39.4,13.4,4.1,66.9,13.6,0.342,0,17
3/5/2016,,1.2,26.1,38.5,12.8,4,65.9,12,0.268,0,19
3/6/2016,,0.9,3.2,32.2,7.8,8.8,69,8.7,0.243,0,38
3/7/2016,,1,7.4,43.2,10,9.1,60.6,15.6,0.316,0,30
3/8/2016,,1,7.4,47.3,12,5.6,52.2,40.7,0.234,0.01,37
3/9/2016,,0.9,11.3,22.4,8.5,4.7,55.2,38.5,0.357,0,26
3/10/2016,,1,18.1,23.6,8.5,4.7,59.9,29.2,0.387,0,22
3/11/2016,,1.3,22.8,38,11.2,4.4,61.9,26.4,0.377,0,28
3/12/2016,,1,8,80.2,13.4,12,63.4,17.6,0.374,0,37
3/13/2016,,0.7,4.7,20.3,7.9,10.1,61,18.7,0.395,0,41
3/14/2016,,0.8,6.9,24.3,9.3,9.1,65.3,16.3,0.377,0,32
3/15/2016,,0.8,9.2,22.5,10.7,6.6,65.1,18.1,0.398,0,33
3/16/2016,,1,18.4,28.2,10.6,4.5,65.4,13.8,0.398,0,22
3/17/2016,,0.8,13,26.6,8.8,5.4,65.7,12.7,0.403,0,27
3/18/2016,,0.8,8.7,30.8,8.8,6.8,66.9,12.9,0.41,0,33
3/19/2016,,0.6,1.7,34.6,9.8,12.4,53.3,37.6,0.4,0,35
3/20/2016,,0.2,7.7,20.6,7,9.3,54.6,32.3,0.397,0,36
3/21/2016,,0.9,17.5,29.9,9.3,5.9,64.5,22.8,0.41,0,27
3/22/2016,,0.5,6.4,93.5,18.1,10.4,70.8,10.8,0.389,0,40
3/23/2016,,0.4,5.1,78,14.5,13.3,61.1,12.2,0.397,0,43
3/24/2016,,0.5,20.8,28.3,8.8,3.9,56.5,11.4,0.422,0,21
3/25/2016,,0.6,10.4,25,7.8,7.9,62.4,10.8,0.425,0,35
3/26/2016,,0.5,5.1,25.9,9.1,8.3,66.2,10.1,0.426,0,43
3/27/2016,,0.5,8.2,23.1,9.9,6.3,61.7,19,0.427,0,44
