Bext,Bscat,Babs
0.00800427,2.9164E-10,0.008004269
0.002001068,5.83281E-10,0.002001067
0.000889364,8.74921E-10,0.000889363
0.000500268,1.16656E-09,0.000500267
0.000320172,1.4582E-09,0.000320171
0.000222343,1.74984E-09,0.000222341
0.000163354,2.04148E-09,0.000163352
0.000125069,2.33312E-09,0.000125067
9.88208E-05,2.62476E-09,9.88181E-05
8.00456E-05,2.9164E-09,8.00427E-05
6.61542E-05,3.20804E-09,6.6151E-05
5.55887E-05,3.49968E-09,5.55852E-05
4.73663E-05,3.79132E-09,4.73625E-05
0.006302729,6.29141E-07,0.0063021
0.006305151,7.73925E-07,0.006304377
0.006307744,9.39399E-07,0.006306805
0.006310511,1.12695E-06,0.006309385
0.006313452,1.33798E-06,0.006312114
0.006316568,1.57387E-06,0.006314994
0.006319858,1.83602E-06,0.006318022
0.006323324,2.12583E-06,0.006321198
0.006326967,2.4447E-06,0.006324522
0.006330787,2.79403E-06,0.006327993
0.006334785,3.17523E-06,0.00633161
0.006338962,3.5897E-06,0.006335372
0.006343317,4.03886E-06,0.006339279
0.006347853,4.52411E-06,0.006343329
0.00635257,5.04688E-06,0.006347523
0.006357468,5.60857E-06,0.006351859
0.006362547,6.21062E-06,0.006356337
0.00636781,6.85443E-06,0.006360956
0.006373256,7.54145E-06,0.006365714
0.006378886,8.2731E-06,0.006370613
0.0063847,9.05081E-06,0.00637565
0.0063907,9.87602E-06,0.006380824
0.006396886,1.07502E-05,0.006386136
0.006403259,1.16747E-05,0.006391584
0.006409819,1.2651E-05,0.006397168
0.006416566,1.36806E-05,0.006402886
0.006423503,1.47649E-05,0.006408738
0.006430628,1.59054E-05,0.006414723
0.006437944,1.71035E-05,0.00642084
0.006445449,1.83607E-05,0.006427089
0.006453146,1.96784E-05,0.006433468
0.006461035,2.10581E-05,0.006439977
0.006469116,2.25013E-05,0.006446614
0.006477389,2.40094E-05,0.00645338
0.006485857,2.5584E-05,0.006460273
0.006494518,2.72264E-05,0.006467291
0.006503373,2.89382E-05,0.006474435
0.006512424,3.07209E-05,0.006481703
0.006521671,3.25759E-05,0.006489095
0.006531114,3.45047E-05,0.006496609
0.006540753,3.65088E-05,0.006504244
0.00655059,3.85897E-05,0.006512
0.006560625,4.07488E-05,0.006519876
0.006570858,4.29877E-05,0.00652787
0.006581289,4.5308E-05,0.006535981
0.00659192,4.77109E-05,0.006544209
0.006602751,5.01981E-05,0.006552553
0.006613782,5.27711E-05,0.006561011
0.006625013,5.54314E-05,0.006569582
0.006636446,5.81804E-05,0.006578265
0.00664808,6.10197E-05,0.00658706
0.006659916,6.39507E-05,0.006595965
0.006671954,6.6975E-05,0.006604979
0.006684194,7.00941E-05,0.0066141
0.006696638,7.33095E-05,0.006623328
0.006709285,7.66226E-05,0.006632662
0.006722135,8.00351E-05,0.0066421
0.006735189,8.35483E-05,0.006651641
0.006748448,8.71638E-05,0.006661284
0.00676191,9.08831E-05,0.006671027
0.006775578,9.47077E-05,0.00668087
0.00678945,9.86391E-05,0.006690811
0.006803528,0.000102679,0.006700849
0.00681781,0.000106828,0.006710982
0.006832298,0.000111089,0.006721209
0.006846992,0.000115462,0.006731529
0.006861891,0.00011995,0.006741941
0.006876996,0.000124553,0.006752442
0.006892306,0.000129274,0.006763032
0.006907823,0.000134113,0.006773709
0.006923545,0.000139073,0.006784472
0.006939473,0.000144154,0.006795319
0.006955607,0.000149358,0.006806249
0.006971946,0.000154686,0.00681726
0.006988491,0.000160141,0.006828351
0.007005242,0.000165722,0.006839519
0.007022197,0.000171433,0.006850764
0.007039358,0.000177274,0.006862084
0.007056724,0.000183246,0.006873478
0.007074295,0.000189352,0.006884943
0.007092069,0.000195592,0.006896477
0.007110048,0.000201968,0.00690808
0.00712823,0.000208481,0.00691975
0.007146616,0.000215132,0.006931484
0.007165205,0.000221924,0.006943281
0.007183996,0.000228856,0.006955139
0.007202988,0.000235932,0.006967057
0.007222182,0.000243151,0.006979032
0.007241577,0.000250515,0.006991062
0.007261172,0.000258026,0.007003146
0.007280967,0.000265684,0.007015282
0.00730096,0.000273492,0.007027468
0.007321151,0.00028145,0.007039702
0.00734154,0.000289559,0.007051981
0.007362125,0.00029782,0.007064304
0.007382905,0.000306236,0.007076669
0.007403881,0.000314807,0.007089074
0.00742505,0.000323533,0.007101516
0.007446411,0.000332417,0.007113994
0.007467964,0.000341459,0.007126505
0.007489708,0.000350661,0.007139047
0.007511641,0.000360023,0.007151618
0.007533762,0.000369546,0.007164215
0.00755607,0.000379232,0.007176837
0.007578563,0.000389082,0.007189481
0.007601241,0.000399095,0.007202145
0.007624101,0.000409275,0.007214826
0.007647143,0.00041962,0.007227523
0.007670364,0.000430132,0.007240232
0.007693764,0.000440813,0.007252951
0.00771734,0.000451661,0.007265679
0.007741091,0.00046268,0.007278411
0.007765016,0.000473868,0.007291147
0.007789111,0.000485228,0.007303883
0.007813376,0.000496759,0.007316617
0.007837809,0.000508462,0.007329346
0.007862407,0.000520338,0.007342069
0.007887168,0.000532387,0.007354781
0.007912091,0.00054461,0.007367481
0.007937173,0.000557008,0.007380165
0.007962412,0.00056958,0.007392832
0.007987806,0.000582327,0.007405478
0.008013352,0.00059525,0.007418102
0.008039048,0.000608349,0.007430699
0.008064891,0.000621623,0.007443268
0.008090879,0.000635074,0.007455805
0.00811701,0.000648701,0.007468308
0.008143279,0.000662505,0.007480774
0.008169686,0.000676486,0.0074932
0.008196227,0.000690643,0.007505584
0.008222899,0.000704977,0.007517922
0.008249699,0.000719487,0.007530212
0.008276624,0.000734173,0.00754245
0.008303671,0.000749036,0.007554634
0.008330837,0.000764075,0.007566762
0.008358118,0.00077929,0.007578829
0.008385512,0.000794679,0.007590833
0.008413015,0.000810244,0.007602771
0.008440624,0.000825983,0.007614641
0.008468335,0.000841896,0.007626439
0.008496144,0.000857983,0.007638162
