Cext,Cscat,Cabs
0.004191036,1.53E-10,0.004191035
0.008382073,2.44E-09,0.008382071
0.012573119,1.24E-08,0.012573106
0.016764181,3.91E-08,0.016764142
0.020955272,9.54E-08,0.020955177
0.02514641,1.98E-07,0.025146212
0.029337614,3.67E-07,0.029337248
0.033528909,6.25E-07,0.033528283
0.037720321,1.00E-06,0.037719319
0.041911881,1.53E-06,0.041910354
0.046103625,2.24E-06,0.046101389
0.050295591,3.17E-06,0.050292425
0.054487822,4.36E-06,0.05448346
9.055498832,0.000903923,9.054594908
11.14214679,0.001367641,11.14077915
13.52800261,0.002014696,13.52598791
16.23345511,0.002899025,16.23055608
19.27898013,0.004085695,19.27489443
22.68514632,0.005652346,22.67949397
26.47262098,0.007690718,26.46493027
30.662176,0.010308275,30.65186772
35.27469371,0.013629914,35.26106379
40.33117293,0.017799767,40.31337316
45.85273495,0.022983088,45.82975186
51.86062961,0.029368242,51.83126137
58.37624139,0.037168772,58.33907262
65.42109552,0.046625569,65.37446995
73.0168642,0.058009127,72.95885508
81.18537281,0.071621894,81.11375092
89.94860613,0.087800712,89.86080542
99.32871468,0.106919357,99.22179532
109.348021,0.129391163,109.2186298
120.0290261,0.155671747,119.8733543
131.3944157,0.186261826,131.2081538
143.4670668,0.221710128,143.2453567
156.2700542,0.262616395,156.0074378
169.8266567,0.309634488,169.5170222
184.1603642,0.36347558,183.7968886
199.2948834,0.42491145,198.869972
215.2541453,0.494777865,214.7593675
232.0623113,0.573978072,231.4883332
249.7437797,0.663486367,249.0802933
268.3231929,0.76435178,267.5588411
287.8254436,0.877701843,286.9477418
308.2756818,1.004746457,307.2709354
329.6993213,1.146781863,328.5525395
352.1220467,1.3051947,350.816852
375.5698199,1.481466166,374.0883538
400.0688871,1.677176275,398.3917108
425.6457852,1.894008208,423.751777
452.3273492,2.133752764,450.1935965
480.1407185,2.398312904,477.7424056
509.1133439,2.689708397,506.4236355
539.2729943,3.010080553,536.2629137
570.6477635,3.361697064,567.2860664
603.2660772,3.746956927,599.5191203
637.1566997,4.168395471,632.9883042
672.3487404,4.628689478,667.7200509
708.8716609,5.130662394,703.7409986
