11:00:00 AM,11:35:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 AM,2:00:00 AM
23.76,1.691101,0.42,6.22E+00,2.10E+01,1.04E+00
10.81,5.501526,25.12,7.77E+00,3.08E+01,1.31E+00
11.21,-5.208313,17.38,2.29E+01,3.92E+00,4.86E+00
8.22,-12.00439,3.76,6.28E+00,9.90E+00,4.07E+00
8.14,-12.50427,5.47,4.72E+01,3.67E+01,5.46E+00
3.87,-12.0816,14.18,6.16E+01,6.86E+00,1.62E+00
0.76,-0.1693115,12.54,2.57E+01,5.14E+00,9.84E-01
5.90,-3.17627,6.28,6.95E+00,1.38E+01,7.83E+00
8.67,2.865479,10.43,8.42E+00,3.14E+01,1.18E+01
1.26,-15.48932,1.03,4.98E+01,7.11E+00,4.69E+00
9.07,-8.788147,8.72,1.49E+01,3.17E+01,1.69E+01
1.93,0.7714844,-0.46,5.53E+00,1.09E+01,5.23E+00
7.30,-16.08978,4.99,1.42E+01,1.38E+01,-4.79E-02
2.46,31.13208,13.84,7.45E+00,8.39E+00,9.59E+00
15.42,2.617615,16.93,5.67E+00,1.07E+01,7.66E+00
13.15,48.22888,2.49,2.78E+00,5.05E+00,1.23E+01
3.14,52.46899,5.85,8.92E+00,1.10E+01,4.00E+00
57.18,71.4942,9.62,2.58E+01,1.12E+01,2.84E+00
100.90,-13.88397,77.54,3.71E+00,8.63E+01,9.18E-01
34.14,-11.30408,2.84,7.49E+00,6.38E+00,5.43E+00
5.59,-13.62061,11.22,1.16E+01,1.38E+01,2.13E+00
16.11,90.4635,1.30,1.42E+01,1.36E+00,1.99E+00
27.49,452.0447,1.11,1.12E+01,7.62E+00,2.00E+01
6.45,210.599,19.56,5.04E+00,2.30E+01,3.38E+00
8.50,65.88019,13.99,2.30E+00,2.95E+01,1.30E+00
12.59,12.76459,1.68,4.34E+00,9.15E+00,1.27E+00
1.80,48.14801,14.36,2.18E+00,1.46E+01,3.11E+00
