11:00,11:35,12:15,12:50,1:25,2:00
5.09,-3.69,-3.23,-1.55E+00,-3.73E+00,-4.95E-01
6.46,-2.88,2.34,5.02E+00,-1.38E+00,-4.90E+00
1.91,-1.67,4.28,2.16E+00,7.39E-01,2.34E+00
8.25,-3.70,-0.90,-2.26E+00,-9.81E-02,-3.22E+00
-0.05,9.67,1.42,1.74E+00,4.27E+00,6.77E-01
6.75,6.21,-1.86,3.92E+00,-4.14E+00,2.22E+00
2.14,-2.72,2.67,-2.02E+00,3.64E+00,1.52E+00
0.09,3.64,-1.66,-9.59E-01,2.98E+00,-9.78E-01
1.16,-1.25,1.42,4.99E+00,-2.22E+00,-5.42E+00
-2.17,5.92,-2.02,5.37E+00,-5.31E-01,-4.03E+00
0.93,-1.35,-2.29,2.38E+00,-2.03E+00,-3.59E+00
-6.93,-5.14,2.29,1.96E+00,-5.12E-01,1.82E+00
1.65,-27.78,-2.06,5.95E+00,-1.50E+00,2.72E+00
-2.75,11.25,-0.82,4.51E+00,1.22E+00,4.74E-01
3.16,-2.67,1.74,-3.92E+00,-2.22E+00,-2.21E+00
-5.10,17.76,-1.37,9.83E+00,6.16E-01,-6.21E+00
0.98,-6.60,-0.30,5.83E-01,-1.59E+00,-7.19E-01
-1.16,-37.22,0.13,3.00E-01,4.23E+00,4.80E-01
-0.29,45.04,1.55,4.96E+00,2.56E+00,6.45E-01
0.46,8.23,9.15,6.30E+00,2.83E+00,-2.13E+00
-2.82,0.57,1.63,4.74E+00,-1.57E+00,-3.41E+00
-0.42,8.23,2.70,1.85E+00,2.21E+00,1.89E+00
-0.61,17.16,0.42,3.63E+00,-4.23E+00,-1.60E+00
3.53,43.70,8.28,1.93E+00,-1.38E+00,-4.59E+00
9.25,106.92,-1.26,2.20E-02,-1.58E+00,-1.48E+00
1.39,16.24,0.90,-7.71E-01,5.04E+00,3.37E+00
-3.48,5.48,-1.82,-2.09E+00,-1.53E+00,3.97E+00
-5.07,7.08,1.96,-1.15E+00,-3.65E+00,-3.24E-01
1.55,7.49,6.35,-2.52E+00,-2.02E+00,5.81E-01
3.32,2.67,-1.93,8.95E-01,5.60E+00,1.17E+00
-1.51,0.37,0.94,5.99E+00,-4.12E-01,-2.30E+00
5.43,9.51,0.55,4.53E+00,-1.04E+00,3.65E+00
3.36,4.24,4.32,3.24E+00,-4.58E+00,1.34E+00
-0.84,-0.03,-6.17,-1.29E+00,-1.82E+00,-8.54E+00
4.93,1.60,3.44,4.90E+00,-1.50E+00,-4.02E+00
3.80,4.19,1.69,-6.20E-01,-4.17E+00,-3.24E+00
4.36,8.91,-5.17,1.27E+00,-3.16E+00,-5.47E+00
-0.85,-0.18,-1.14,-2.06E+00,5.89E+00,-5.75E+00
-1.43,0.07,2.56,-2.32E+00,2.18E+00,-1.37E+00
4.87,4.62,-3.66,5.14E+00,-2.64E-01,-1.16E-02
-4.47,5.98,-4.01,7.19E+00,-6.41E+00,-2.00E+00
-1.00,13.18,1.76,2.00E+00,-4.09E+01,-3.09E+00
3.46,5.74,6.51,-1.62E+00,4.61E-01,-1.69E+00
-1.41,3.91,-0.50,5.07E+00,7.81E+00,-4.28E+00
1.97,6.22,1.08,1.39E+00,-9.19E+00,-1.83E+00
0.63,2.66,-4.60,9.50E+00,1.27E+01,-6.64E-01
0.69,9.12,-4.81,2.42E+00,1.19E+01,1.30E+00
0.98,5.52,-4.07,1.01E+00,-6.05E-01,-8.60E+00
-3.35,-0.48,-3.71,1.07E+01,1.92E+00,-3.28E+00
-6.65,5.59,-1.28,5.95E+00,-1.65E+01,7.43E-01
-2.33,12.01,0.32,4.96E+00,-2.02E+00,3.16E-01
2.08,-2.16,2.06,4.05E-01,-3.71E+01,-4.12E+00
-5.86,3.16,5.16,7.82E+00,-1.60E+01,3.49E+00
-3.11,1.89,1.59,5.51E+00,1.07E+01,-5.13E+00
-2.53,6.89,6.70,6.40E+00,-1.18E+00,-5.52E+00
-9.69,4.64,4.69,2.08E+00,9.43E+00,-1.35E+00
-4.01,5.47,1.86,3.24E+00,2.42E+00,-2.95E+00
-6.79,-0.37,1.51,2.25E+00,-1.89E+00,-4.93E+00
-4.27,9.70,3.70,-9.90E-01,-5.01E+00,-6.07E+00
-2.83,6.60,-3.77,-4.61E+00,-1.70E-01,5.26E-01
2.68,9.84,-5.04,2.68E-01,-2.63E+00,-3.34E+00
0.54,4.00,1.30,1.43E-01,5.96E-01,-1.13E+00
-1.07,8.43,-9.12,-3.97E+00,1.18E+00,-7.13E-01
-3.61,6.02,1.80,3.22E+00,-3.05E-01,-5.44E+00
-2.33,9.39,-5.62,3.19E+00,-3.46E-01,-5.54E+00
5.49,6.47,0.15,2.28E-01,-7.06E-01,7.90E-01
-1.25,16.03,3.41,4.51E+00,1.85E+00,5.49E+00
-0.12,3.33,3.51,6.36E+00,6.83E-01,-3.52E+00
3.45,2.25,0.87,7.61E+00,-4.40E+00,-4.03E+00
-4.68,6.74,-1.54,-4.42E-01,4.74E+00,-6.19E+00
-2.35,8.97,0.58,9.83E+00,6.56E-01,-2.66E+00
-2.77,7.38,-4.66,-2.19E+00,5.86E+00,1.12E+00
-3.01,14.44,6.19,8.71E-01,1.11E+01,-3.65E+00
1.13,7.11,-2.39,2.36E+00,1.55E+01,2.66E+00
0.87,3.45,-4.22,2.79E+00,1.59E+01,-3.45E+00
0.48,8.42,5.51,3.96E+00,1.51E+01,-7.24E+00
4.57,5.81,2.34,7.12E-01,1.71E+01,-2.86E+00
-3.05,9.58,0.18,6.38E+00,1.81E+01,-8.25E+00
-1.16,3.65,-1.90,8.82E+00,2.01E+01,-8.97E+00
-0.53,9.24,-7.72,6.33E-01,2.58E+01,-6.45E+00
-2.20,8.29,5.71,9.47E-01,1.31E+01,-1.50E+00
1.08,11.11,1.46,3.47E+00,1.99E+01,-1.36E+00
3.63,7.58,-1.85,1.07E-01,2.31E+01,1.62E+00
-1.97,5.88,-0.91,3.54E+00,1.86E+01,-6.92E+00
-1.03,10.46,-1.08,6.47E+00,2.01E+01,-7.49E+00
-2.86,6.94,1.99,-3.75E+00,2.37E+01,-6.51E+00
1.44,14.93,5.80,3.80E+00,2.52E+01,-3.57E+00
-5.14,18.36,1.42,2.12E+00,2.30E+01,9.94E-01
-5.78,9.21,2.53,-1.23E+00,1.78E+01,5.14E-01
4.25,19.01,3.96,5.10E+00,2.50E+01,2.04E+00
1.15,11.58,2.14,1.24E+01,2.67E+01,-1.17E+00
0.80,10.41,-3.05,7.75E+00,2.39E+01,-1.09E+01
