11:00,11:35,12:15,12:50,1:25,2:00
28.85,-2.00,-2.80,4.67E+00,1.73E+01,5.47E-01
17.27,2.62,27.46,1.28E+01,2.94E+01,-3.59E+00
13.11,-6.88,21.65,2.51E+01,4.66E+00,7.21E+00
16.47,-15.71,2.86,4.03E+00,9.80E+00,8.46E-01
8.10,-2.83,6.89,4.89E+01,4.10E+01,6.14E+00
10.62,-5.87,12.32,6.56E+01,2.72E+00,3.84E+00
2.90,-2.89,15.21,2.36E+01,8.78E+00,2.51E+00
5.99,0.47,4.63,5.99E+00,1.68E+01,6.85E+00
9.83,1.62,11.85,1.34E+01,2.92E+01,6.41E+00
-0.92,-9.57,-0.99,5.52E+01,6.58E+00,6.58E-01
10.00,-10.14,6.43,1.73E+01,2.97E+01,1.33E+01
-5.00,-4.37,1.83,7.49E+00,1.04E+01,7.05E+00
8.94,-43.87,2.93,2.02E+01,1.23E+01,2.67E+00
-0.29,42.38,13.02,1.20E+01,9.61E+00,1.01E+01
18.58,-0.05,18.67,1.76E+00,8.50E+00,5.45E+00
8.05,65.99,1.12,1.26E+01,5.67E+00,6.06E+00
4.13,45.87,5.55,9.50E+00,9.40E+00,3.28E+00
56.02,34.28,9.74,2.61E+01,1.54E+01,3.32E+00
100.61,31.16,79.09,8.66E+00,8.89E+01,1.56E+00
34.61,-3.07,11.99,1.38E+01,9.20E+00,3.31E+00
2.78,-13.05,12.85,1.63E+01,1.22E+01,-1.28E+00
15.70,98.70,4.00,1.61E+01,3.57E+00,3.88E+00
26.88,469.21,1.53,1.48E+01,3.39E+00,1.84E+01
9.98,254.30,27.84,6.97E+00,2.16E+01,-1.21E+00
17.75,172.80,12.73,2.32E+00,2.79E+01,-1.77E-01
13.98,29.00,2.57,3.57E+00,1.42E+01,4.63E+00
-1.67,53.63,12.53,9.64E-02,1.31E+01,7.08E+00
28.33,7.14,33.06,1.12E+01,2.21E+01,3.26E+01
5.48,21.49,31.22,3.77E+00,1.35E+00,2.27E+01
2.61,12.98,0.25,3.37E+00,5.68E+01,5.58E+00
27.47,7.57,8.72,1.14E+01,8.38E+00,1.52E+00
13.59,3.46,7.73,6.72E+00,3.49E+01,1.37E+01
25.49,5.78,18.11,7.96E+00,2.06E+01,1.11E+01
4.81,2.70,-3.27,1.92E+01,6.07E+00,-6.58E+00
25.34,-2.84,29.80,1.01E+01,2.15E+01,1.66E+01
8.65,-4.00,12.44,2.86E+00,1.13E+00,-1.48E+00
34.43,3.22,11.05,2.85E+00,1.34E+01,1.82E+00
25.39,-6.85,38.16,4.28E+00,1.24E+01,9.48E+00
14.80,24.10,4.91,2.45E+00,7.60E+00,3.15E+00
14.09,-5.58,-0.64,1.82E+01,1.39E+01,1.34E+01
7.71,3.16,-2.57,1.58E+01,1.04E+00,8.63E+00
5.79,7.20,9.40,1.24E+01,-3.74E+01,-6.34E-01
77.24,8.60,80.21,1.55E+00,3.37E+01,-2.54E+00
24.21,7.20,7.50,8.40E+00,1.24E+01,1.42E+01
4.85,1.99,4.29,1.49E+01,-3.32E+00,3.30E+00
5.49,5.54,23.71,1.35E+01,2.30E+01,1.21E+01
11.58,58.60,4.98,1.05E+01,1.63E+01,1.20E+00
14.59,11.33,0.24,3.39E+01,4.58E+00,-2.64E+00
5.19,3.92,-1.76,2.27E+01,1.11E+01,1.39E+00
-5.81,10.17,7.74,1.15E+01,-1.37E+01,9.16E+00
-2.53,52.18,9.28,3.70E+01,-1.75E+00,9.61E+00
40.31,7.74,4.71,1.33E+01,-3.60E+01,1.00E+00
18.43,2.00,25.75,1.13E+01,-1.58E+01,1.96E+01
46.09,4.55,40.84,1.19E+01,1.27E+01,1.78E+01
6.53,20.10,22.07,9.69E+00,7.97E-01,-3.54E+00
2.53,-2.34,22.96,9.42E+00,9.13E+00,3.09E+00
-5.19,-2.41,3.38,1.23E+01,4.30E+00,2.99E+01
-4.16,-5.72,16.10,2.17E+01,-2.71E+00,-2.75E+00
-1.75,5.78,7.32,2.21E+01,-6.33E+00,-3.61E+00
17.57,29.08,1.93,1.40E+01,1.38E+00,3.02E+00
6.09,6.71,11.94,3.25E+01,-2.57E+00,8.18E+00
14.47,29.53,2.15,2.40E+01,2.25E+00,-9.23E-01
5.47,16.65,-7.25,7.22E+00,1.71E-01,-1.14E+00
24.45,55.54,33.03,4.91E+01,4.39E+00,-3.88E+00
36.74,17.33,-4.60,1.23E+01,-2.59E+00,-4.14E-01
11.47,19.34,5.82,1.01E+01,-4.45E+00,8.93E+00
0.12,21.61,10.47,1.07E+01,-2.05E+00,6.21E+00
7.25,9.11,6.56,1.75E+01,-2.45E+00,9.61E-02
7.40,3.31,2.95,1.35E+01,1.07E+01,5.91E+00
-4.20,12.11,-2.81,7.43E+00,6.26E+00,-4.68E+00
14.20,34.90,10.58,2.93E+01,9.64E+00,-6.50E-01
4.73,16.25,1.42,4.54E+01,4.90E+00,6.75E+00
-2.31,15.43,10.29,1.73E+01,3.47E+01,1.54E+01
4.62,6.02,-4.49,4.17E+01,1.39E+01,4.33E+00
13.66,8.79,11.91,1.76E+01,2.02E+01,-5.16E+00
-1.41,7.06,15.96,2.62E+01,4.05E+01,-2.49E+00
11.48,3.98,6.00,1.52E+01,7.68E+01,-3.27E+00
-1.14,4.94,-0.25,1.44E+01,2.85E+01,-7.57E+00
0.03,16.75,8.65,4.05E+01,2.30E+01,-5.54E+00
29.34,3.38,-5.49,4.45E+01,4.55E+01,5.63E+00
1.03,31.55,34.96,6.38E+00,1.10E+01,2.81E+00
41.51,17.71,14.31,9.36E+00,1.90E+01,2.54E+00
8.30,77.92,-0.65,5.23E+00,3.06E+01,1.72E+01
28.12,48.71,-0.56,5.63E+01,2.97E+01,-4.58E+00
34.41,8.94,0.73,1.73E+01,2.28E+01,-3.90E+00
36.07,3.16,2.76,2.61E+00,2.02E+01,-1.09E+00
12.81,27.87,14.42,9.45E+00,3.31E+01,5.48E+00
3.10,33.45,30.81,1.42E+01,1.72E+01,1.42E+01
35.04,42.04,7.48,8.15E-01,9.95E+00,8.66E+00
20.45,31.28,10.97,1.20E+01,1.85E+01,1.33E+01
10.02,47.82,5.55,1.80E+01,4.06E+01,5.98E+00
1.98,65.78,-0.98,1.82E+01,2.72E+01,-7.56E+00
9.89,20.77,6.39,2.51E+01,2.65E+01,2.51E+01
2.23,24.29,1.10,3.56E+00,5.73E+01,-1.10E+00
5.01,17.04,1.43,9.15E+00,2.31E+01,-1.44E+00
14.52,19.16,4.91,1.36E+01,2.51E+01,1.48E+01
7.18,37.53,2.02,1.18E+01,1.60E+01,1.46E+01
18.06,27.98,5.26,1.55E+01,4.87E+01,9.19E+00
16.93,14.60,21.71,1.13E+01,2.21E+01,1.58E+00
10.27,36.97,15.67,2.99E+01,2.36E+01,2.12E+01
6.83,38.36,3.37,3.19E+01,8.35E+01,4.18E+01
5.26,21.16,6.19,1.28E+01,2.79E+01,1.24E+01
2.87,13.61,26.00,1.16E+01,3.08E+01,5.68E+01
33.45,63.66,114.36,1.09E+01,3.66E+01,1.38E+01
14.15,10.92,-0.14,8.69E+00,2.12E+01,2.13E+00
23.72,16.51,26.55,1.00E+00,8.33E+01,2.60E+01
7.66,7.96,6.19,4.90E+01,2.95E+01,5.39E+01
10.24,13.02,1.52,5.12E+00,1.92E+01,3.54E+00
17.80,13.52,8.79,1.68E+01,3.08E+01,7.12E+00
