,Babs,Time,Denuder
1,4.99E+00,11:00,Yes
2,4.80E+00,11:00,Yes
3,6.75E+00,11:00,Yes
4,3.88E+00,11:00,Yes
5,3.29E+00,11:00,Yes
6,-1.55E+00,11:00,Yes
7,5.89E+00,11:00,Yes
8,3.16E+00,11:00,Yes
9,2.81E+00,11:00,Yes
10,4.42E+00,11:00,Yes
11,7.53E+00,11:00,Yes
12,3.58E+00,11:00,Yes
13,2.01E+00,11:00,Yes
14,4.12E+00,11:00,Yes
15,7.46E+00,11:00,Yes
16,9.85E+00,11:00,Yes
17,2.01E+00,11:00,Yes
18,5.97E+00,11:00,Yes
19,5.57E-01,11:00,Yes
20,5.66E+00,11:00,Yes
21,1.00E+01,11:00,Yes
22,3.80E+00,11:00,Yes
23,1.17E+01,11:00,Yes
24,4.27E+00,11:00,Yes
25,4.78E+00,11:00,Yes
26,3.41E+00,11:00,Yes
27,3.91E+00,11:00,Yes
28,9.19E+00,11:00,Yes
29,7.47E+00,11:00,Yes
30,4.04E+00,11:00,Yes
31,3.86E+00,11:00,Yes
32,6.47E+00,11:00,Yes
33,1.35E+01,11:00,Yes
34,3.54E+00,11:00,Yes
35,5.53E+00,11:00,Yes
36,6.78E+00,11:00,Yes
37,3.10E+00,11:00,Yes
38,2.88E+00,11:00,Yes
39,4.74E+00,11:00,Yes
40,5.84E+00,11:00,Yes
41,5.28E+00,11:00,Yes
42,5.51E+00,11:00,Yes
43,4.73E+00,11:00,Yes
44,3.52E+00,11:00,Yes
45,6.09E+00,11:00,Yes
46,9.64E+00,11:00,Yes
47,5.98E+00,11:00,Yes
48,5.71E+00,11:00,Yes
49,5.64E+00,11:00,Yes
50,6.97E+00,11:00,Yes
51,-2.12E-02,11:00,Yes
52,5.44E-01,11:00,Yes
53,4.57E-01,11:00,Yes
54,4.00E+00,11:00,Yes
55,5.50E+00,11:00,Yes
56,1.99E-01,11:00,Yes
57,-1.92E+00,11:00,Yes
58,3.28E+00,11:00,Yes
59,5.96E+00,11:00,Yes
60,1.70E+00,11:00,Yes
61,4.89E+00,11:00,Yes
62,1.27E+00,11:00,Yes
63,4.06E+00,11:00,Yes
64,5.40E+00,11:00,Yes
65,2.89E+00,11:00,Yes
66,3.59E+00,11:00,Yes
67,2.44E+00,11:00,Yes
68,4.14E+00,11:00,Yes
69,1.73E+00,11:00,Yes
70,2.45E-01,11:00,Yes
71,4.23E+00,11:00,Yes
72,1.42E+00,11:00,Yes
73,1.67E+00,11:00,Yes
74,4.20E+00,11:00,Yes
75,4.02E+00,11:00,Yes
76,1.99E+00,11:00,Yes
77,1.00E+01,11:00,Yes
78,3.06E+00,11:00,Yes
79,6.78E+00,11:00,Yes
80,2.51E+00,11:00,Yes
81,5.52E+00,11:00,Yes
82,2.01E+00,11:00,Yes
83,7.21E+00,11:00,Yes
84,2.87E+00,11:00,Yes
85,3.95E+00,11:00,Yes
86,4.92E-01,11:00,Yes
87,4.81E+00,11:00,Yes
88,5.95E-02,11:00,Yes
89,6.36E+00,11:00,Yes
90,6.53E+00,11:00,Yes
91,8.57E+00,11:00,Yes
92,6.34E+00,11:00,Yes
93,5.28E+00,11:00,Yes
94,6.96E+00,11:00,Yes
95,3.86E+00,11:00,Yes
96,4.48E+00,11:00,Yes
97,2.67E+00,11:00,Yes
98,8.28E+00,11:00,Yes
99,-7.36E-01,11:00,Yes
100,3.12E+00,11:00,Yes
101,-1.77E+00,11:00,Yes
102,7.24E+00,11:00,Yes
103,2.17E-01,11:00,Yes
104,2.80E+00,11:00,Yes
105,4.07E+00,11:00,Yes
106,3.84E+00,11:00,Yes
107,6.66E+00,11:00,Yes
108,2.21E+00,11:00,Yes
109,3.86E+00,11:00,Yes
110,2.39E+00,11:00,Yes
111,3.79E+00,11:00,Yes
112,1.20E+01,11:00,Yes
113,5.23E+00,11:00,Yes
114,5.07E+00,11:00,Yes
115,9.32E-01,11:00,Yes
116,2.20E+00,11:00,Yes
117,6.09E+00,11:00,Yes
118,5.66E-01,11:00,Yes
119,7.54E+00,11:00,Yes
120,9.98E+00,11:00,Yes
121,5.80E+00,11:00,Yes
122,8.90E+00,11:00,Yes
123,2.51E+00,11:00,Yes
124,6.40E+00,11:00,Yes
125,4.97E+00,11:00,Yes
126,4.36E+00,11:00,Yes
127,4.94E+00,11:00,Yes
128,4.49E+00,11:00,Yes
129,4.57E+00,11:00,Yes
130,3.79E+00,11:00,Yes
131,6.96E+00,11:00,Yes
132,7.12E-01,11:00,Yes
133,1.21E+01,11:00,Yes
134,-2.06E-01,11:00,Yes
135,6.36E+00,11:00,Yes
136,8.87E+00,11:00,Yes
137,7.53E-01,11:00,Yes
138,5.35E+00,11:00,Yes
139,-1.18E+00,11:00,Yes
140,2.79E+00,11:00,Yes
141,1.10E+01,11:00,Yes
142,6.18E+00,11:00,Yes
143,5.83E+00,11:00,Yes
144,1.02E+01,11:00,Yes
145,5.37E-01,11:00,Yes
146,5.93E+00,11:00,Yes
147,1.26E+01,11:00,Yes
148,4.09E+00,11:00,Yes
149,1.03E+01,11:00,Yes
150,4.78E+00,11:00,Yes
151,7.59E+00,11:00,Yes
152,6.06E+00,11:00,Yes
153,7.10E+00,11:00,Yes
154,5.23E+00,11:00,Yes
155,-3.25E-02,11:00,Yes
156,6.57E+00,11:00,Yes
157,6.70E+00,11:00,Yes
158,-1.16E+00,11:00,Yes
159,1.21E+01,11:00,Yes
160,1.03E+00,11:00,Yes
161,5.15E+00,11:00,Yes
162,-3.39E-01,11:00,Yes
