,Bext,Time,Denuder
1,1.48E+01,11:00,Yes
2,8.24E+00,11:00,Yes
3,4.37E+01,11:00,Yes
4,1.47E+01,11:00,Yes
5,1.30E+01,11:00,Yes
6,1.83E-03,11:00,Yes
7,1.60E+01,11:00,Yes
8,1.76E+01,11:00,Yes
9,2.25E+01,11:00,Yes
10,1.09E+01,11:00,Yes
11,1.30E+01,11:00,Yes
12,4.31E+01,11:00,Yes
13,1.29E+01,11:00,Yes
14,1.54E+01,11:00,Yes
15,1.03E+01,11:00,Yes
16,6.11E+01,11:00,Yes
17,1.75E+01,11:00,Yes
18,2.44E+01,11:00,Yes
19,4.54E+00,11:00,Yes
20,1.87E+01,11:00,Yes
21,3.26E+01,11:00,Yes
22,1.91E+01,11:00,Yes
23,1.68E+01,11:00,Yes
24,2.71E+01,11:00,Yes
25,1.94E+01,11:00,Yes
26,6.43E+01,11:00,Yes
27,8.11E+00,11:00,Yes
28,2.75E+01,11:00,Yes
29,2.17E+01,11:00,Yes
30,2.58E+01,11:00,Yes
31,3.64E+01,11:00,Yes
32,2.86E+01,11:00,Yes
33,3.11E+01,11:00,Yes
34,3.22E+01,11:00,Yes
35,3.88E+01,11:00,Yes
36,6.12E+01,11:00,Yes
37,2.11E+01,11:00,Yes
38,6.56E+00,11:00,Yes
39,1.67E+01,11:00,Yes
40,3.75E+01,11:00,Yes
41,1.97E+01,11:00,Yes
42,2.54E+01,11:00,Yes
43,2.20E+01,11:00,Yes
44,9.13E+01,11:00,Yes
45,1.98E+01,11:00,Yes
46,1.74E+01,11:00,Yes
47,1.32E+01,11:00,Yes
48,2.62E+01,11:00,Yes
49,7.08E+01,11:00,Yes
50,2.12E+01,11:00,Yes
51,2.40E+01,11:00,Yes
52,1.36E+01,11:00,Yes
53,2.23E+01,11:00,Yes
54,8.90E+00,11:00,Yes
55,1.90E+01,11:00,Yes
56,2.25E+01,11:00,Yes
57,3.08E+01,11:00,Yes
58,4.01E+01,11:00,Yes
59,2.80E+01,11:00,Yes
60,1.38E+01,11:00,Yes
61,4.40E+01,11:00,Yes
62,2.94E+01,11:00,Yes
63,1.13E+01,11:00,Yes
64,1.30E+01,11:00,Yes
65,3.51E+01,11:00,Yes
66,3.20E+01,11:00,Yes
67,3.00E+01,11:00,Yes
68,3.40E+01,11:00,Yes
69,4.24E+01,11:00,Yes
70,1.08E+01,11:00,Yes
71,2.23E+01,11:00,Yes
72,1.60E+01,11:00,Yes
73,1.05E+01,11:00,Yes
74,1.38E+01,11:00,Yes
75,1.52E+01,11:00,Yes
76,2.22E+01,11:00,Yes
77,6.78E+01,11:00,Yes
78,1.25E+01,11:00,Yes
79,1.18E+01,11:00,Yes
80,2.03E+01,11:00,Yes
81,1.42E+01,11:00,Yes
82,1.20E+01,11:00,Yes
83,3.51E+01,11:00,Yes
84,1.52E+01,11:00,Yes
85,1.35E+01,11:00,Yes
86,8.94E+00,11:00,Yes
87,3.93E+01,11:00,Yes
88,1.90E+01,11:00,Yes
89,2.34E+01,11:00,Yes
90,3.18E+01,11:00,Yes
91,4.32E+01,11:00,Yes
92,2.83E+01,11:00,Yes
93,3.51E+01,11:00,Yes
94,1.79E+01,11:00,Yes
95,2.72E+01,11:00,Yes
96,2.47E+01,11:00,Yes
97,4.51E+01,11:00,Yes
98,6.62E+01,11:00,Yes
99,6.07E+00,11:00,Yes
100,1.01E+01,11:00,Yes
101,3.51E+00,11:00,Yes
102,1.25E+01,11:00,Yes
103,6.94E+00,11:00,Yes
104,1.19E+01,11:00,Yes
105,1.49E+01,11:00,Yes
