,Bscat,Time,Denuder
1,6.06E+01,11:00,Yes
2,1.81E+01,11:00,Yes
3,3.04E+01,11:00,Yes
4,5.00E+00,11:00,Yes
5,7.82E+00,11:00,Yes
6,1.02E+01,11:00,Yes
7,3.08E+01,11:00,Yes
8,4.57E+00,11:00,Yes
9,9.12E+00,11:00,Yes
10,1.36E+01,11:00,Yes
11,4.51E+01,11:00,Yes
12,1.64E+01,11:00,Yes
13,5.16E+01,11:00,Yes
14,1.17E+01,11:00,Yes
15,5.52E+00,11:00,Yes
16,9.53E+00,11:00,Yes
17,3.20E+01,11:00,Yes
18,1.73E+01,11:00,Yes
19,1.60E+01,11:00,Yes
20,5.99E+01,11:00,Yes
21,6.01E+00,11:00,Yes
22,2.42E+01,11:00,Yes
23,3.79E+00,11:00,Yes
24,1.29E+01,11:00,Yes
25,2.73E+01,11:00,Yes
26,4.10E+01,11:00,Yes
27,5.41E+00,11:00,Yes
28,1.83E+01,11:00,Yes
29,1.07E+01,11:00,Yes
30,1.02E+01,11:00,Yes
31,4.12E+00,11:00,Yes
32,8.64E+00,11:00,Yes
33,8.51E+00,11:00,Yes
34,5.27E+00,11:00,Yes
35,4.11E+00,11:00,Yes
36,5.43E+00,11:00,Yes
37,7.08E+00,11:00,Yes
38,6.83E+01,11:00,Yes
39,1.47E+01,11:00,Yes
40,6.62E+01,11:00,Yes
41,3.33E+01,11:00,Yes
42,1.10E+01,11:00,Yes
43,5.77E+01,11:00,Yes
44,5.08E+00,11:00,Yes
45,3.77E+01,11:00,Yes
46,3.05E+01,11:00,Yes
47,6.86E+00,11:00,Yes
48,1.04E+01,11:00,Yes
49,9.32E+00,11:00,Yes
50,9.68E+00,11:00,Yes
51,9.68E+00,11:00,Yes
52,2.70E+01,11:00,Yes
53,9.23E+00,11:00,Yes
54,8.85E+00,11:00,Yes
55,1.89E+01,11:00,Yes
56,2.49E+01,11:00,Yes
57,1.50E+01,11:00,Yes
58,1.25E+00,11:00,Yes
59,4.02E+00,11:00,Yes
60,7.82E+00,11:00,Yes
61,6.09E+00,11:00,Yes
62,7.41E+00,11:00,Yes
63,1.23E+01,11:00,Yes
64,1.87E+01,11:00,Yes
65,2.02E+01,11:00,Yes
66,2.31E+01,11:00,Yes
67,5.64E+00,11:00,Yes
68,7.16E+00,11:00,Yes
69,1.36E+01,11:00,Yes
70,5.27E+00,11:00,Yes
71,5.42E-01,11:00,Yes
72,1.14E+01,11:00,Yes
73,1.68E+02,11:00,Yes
74,1.10E+01,11:00,Yes
75,4.78E+01,11:00,Yes
76,9.89E+00,11:00,Yes
77,1.04E+01,11:00,Yes
78,2.74E+01,11:00,Yes
79,9.78E+00,11:00,Yes
80,9.06E+00,11:00,Yes
81,7.33E+00,11:00,Yes
82,3.60E+00,11:00,Yes
83,1.78E+01,11:00,Yes
84,3.12E+01,11:00,Yes
85,1.43E+01,11:00,Yes
86,1.16E+01,11:00,Yes
87,1.15E+01,11:00,Yes
88,3.28E+00,11:00,Yes
89,1.06E+01,11:00,Yes
90,8.37E+00,11:00,Yes
91,7.32E+00,11:00,Yes
92,2.65E+01,11:00,Yes
93,4.81E+00,11:00,Yes
94,4.63E+00,11:00,Yes
95,1.50E+01,11:00,Yes
96,7.64E+00,11:00,Yes
97,4.29E+01,11:00,Yes
98,1.67E+01,11:00,Yes
99,1.91E+01,11:00,Yes
100,1.77E+01,11:00,Yes
101,2.99E+00,11:00,Yes
102,2.70E+01,11:00,Yes
103,7.71E+00,11:00,Yes
104,1.04E+02,11:00,Yes
105,1.62E+01,11:00,Yes
106,3.47E+01,11:00,Yes
107,6.51E+00,11:00,Yes
108,1.28E+01,11:00,Yes
109,7.83E+01,11:00,Yes
110,6.33E+00,11:00,Yes
111,1.60E+01,11:00,Yes
112,1.13E+01,11:00,Yes
113,4.12E+01,11:00,Yes
114,8.55E+00,11:00,Yes
115,3.28E+00,11:00,Yes
116,1.93E+01,11:00,Yes
117,3.71E+00,11:00,Yes
118,1.63E+01,11:00,Yes
119,6.35E+00,11:00,Yes
120,3.80E+01,11:00,Yes
121,3.23E+01,11:00,Yes
122,4.04E+01,11:00,Yes
123,7.15E+00,11:00,Yes
124,2.88E+01,11:00,Yes
125,1.51E+01,11:00,Yes
126,3.89E+01,11:00,Yes
127,2.34E+01,11:00,Yes
128,6.62E+00,11:00,Yes
129,7.21E+00,11:00,Yes
130,2.84E-01,11:00,Yes
131,1.26E+00,11:00,Yes
132,2.63E+00,11:00,Yes
133,2.92E+00,11:00,Yes
134,2.50E+01,11:00,Yes
135,1.30E+01,11:00,Yes
136,6.52E+01,11:00,Yes
137,8.22E+00,11:00,Yes
138,6.70E+00,11:00,Yes
139,7.00E+00,11:00,Yes
140,4.90E+00,11:00,Yes
141,9.64E+00,11:00,Yes
142,9.49E+00,11:00,Yes
143,5.22E+01,11:00,Yes
144,3.96E+01,11:00,Yes
145,3.14E+01,11:00,Yes
146,3.86E+01,11:00,Yes
147,2.07E+01,11:00,Yes
148,1.70E+01,11:00,Yes
149,1.99E+01,11:00,Yes
150,2.51E+00,11:00,Yes
151,7.85E+00,11:00,Yes
152,6.77E+00,11:00,Yes
153,1.35E+01,11:00,Yes
154,5.25E+00,11:00,Yes
155,7.73E+00,11:00,Yes
156,2.18E+01,11:00,Yes
157,2.84E+00,11:00,Yes
158,1.59E+01,11:00,Yes
159,1.46E+01,11:00,Yes
160,6.83E+00,11:00,Yes
161,6.54E+01,11:00,Yes
162,3.32E+01,11:00,Yes
163,4.32E+01,11:00,Yes
164,1.24E+01,11:00,Yes
165,1.84E+01,11:00,Yes
166,3.90E+01,11:00,Yes
167,1.30E+02,11:00,Yes
168,2.49E+01,11:00,Yes
169,8.87E+00,11:00,Yes
170,1.48E+01,11:00,Yes
171,7.80E+00,11:00,Yes
172,1.35E+01,11:00,Yes
173,1.03E+01,11:00,Yes
174,5.05E+00,11:00,Yes
175,3.09E+00,11:00,Yes
176,1.34E+01,11:00,Yes
177,2.45E+00,11:00,Yes
178,2.16E+01,11:00,Yes
179,2.16E+01,11:00,Yes
180,8.25E+00,11:00,Yes
181,6.45E+00,11:00,Yes
182,2.84E+00,11:00,Yes
183,1.06E-01,11:00,Yes
184,2.72E+01,11:00,Yes
185,2.25E+01,11:00,Yes
186,3.66E+00,11:00,Yes
187,7.97E+00,11:00,Yes
188,2.51E+01,11:00,Yes
189,1.57E+01,11:00,Yes
190,2.58E+01,11:00,Yes
191,8.52E+00,11:00,Yes
192,1.76E+01,11:00,Yes
193,7.12E+00,11:00,Yes
194,3.39E+00,11:00,Yes
195,1.71E+01,11:00,Yes
196,2.52E+00,11:00,Yes
197,2.22E+01,11:00,Yes
198,1.58E+01,11:00,Yes
199,4.06E+01,11:00,Yes
200,3.15E+01,11:00,Yes
201,1.83E+01,11:00,Yes
202,8.93E+00,11:00,Yes
203,3.99E+01,11:00,Yes
204,1.52E+01,11:00,Yes
205,1.17E+01,11:00,Yes
206,2.81E+01,11:00,Yes
207,7.18E+01,11:00,Yes
208,3.92E+01,11:00,Yes
209,2.87E+01,11:00,Yes
210,7.57E+01,11:00,Yes
211,3.42E+00,11:00,Yes
212,2.60E+01,11:00,Yes
213,7.13E+01,11:00,Yes
214,3.00E+01,11:00,Yes
215,3.28E+01,11:00,Yes
216,1.50E+01,11:00,Yes
217,1.70E+01,11:00,Yes
218,2.51E+01,11:00,Yes
219,1.43E+01,11:00,Yes
220,9.53E+00,11:00,Yes
221,1.19E+00,11:00,Yes
222,1.07E+00,11:00,Yes
223,2.91E+01,11:00,Yes
224,1.19E+01,11:00,Yes
225,5.76E+01,11:00,Yes
226,8.82E+00,11:00,Yes
227,9.02E-01,11:00,Yes
228,3.11E+01,11:00,Yes
229,4.55E+01,11:00,Yes
230,1.14E+01,11:00,Yes
231,3.10E+01,11:00,Yes
232,1.57E+01,11:00,Yes
233,7.27E+00,11:00,Yes
234,6.93E+00,11:00,Yes
235,6.85E+00,11:00,Yes
236,1.93E+01,11:00,Yes
237,2.44E+01,11:00,Yes
238,2.65E+01,11:00,Yes
239,1.43E+01,11:00,Yes
240,7.11E+00,11:00,Yes
241,2.30E+01,11:00,Yes
242,3.48E+01,11:00,Yes
243,6.38E+00,11:00,Yes
244,1.11E+01,11:00,Yes
245,1.58E+01,11:00,Yes
246,7.53E+00,11:00,Yes
247,2.66E+01,11:00,Yes
248,6.04E+01,11:00,Yes
249,6.59E+00,11:00,Yes
250,2.22E+01,11:00,Yes
251,1.19E+01,11:00,Yes
252,2.87E+00,11:00,Yes
253,1.05E+01,11:00,Yes
254,2.12E+01,11:00,Yes
255,9.29E+00,11:00,Yes
256,1.92E+00,11:00,Yes
257,1.08E+01,11:00,Yes
258,1.41E+01,11:00,Yes
259,3.27E+01,11:00,Yes
260,5.10E+00,11:00,Yes
261,9.08E+00,11:00,Yes
262,5.49E+00,11:00,Yes
263,3.93E+01,11:00,Yes
264,1.02E+01,11:00,Yes
265,2.07E+01,11:00,Yes
266,1.94E+01,11:00,Yes
267,4.01E+01,11:00,Yes
268,2.29E+01,11:00,Yes
269,2.79E+00,11:00,Yes
270,1.49E+01,11:00,Yes
271,7.13E+00,11:00,Yes
272,1.21E+01,11:00,Yes
273,8.89E+00,11:00,Yes
274,7.67E+00,11:00,Yes
275,4.29E+00,11:00,Yes
276,5.86E+00,11:00,Yes
277,4.59E+00,11:00,Yes
278,3.39E+01,11:00,Yes
279,3.77E+00,11:00,Yes
280,4.58E+01,11:00,Yes
281,1.37E+01,11:00,Yes
282,6.74E+00,11:00,Yes
283,1.08E+01,11:00,Yes
284,2.25E+01,11:00,Yes
285,1.14E+01,11:00,Yes
286,1.54E+01,11:00,Yes
287,8.84E+00,11:00,Yes
288,5.41E+01,11:00,Yes
289,2.40E+01,11:00,Yes
290,8.73E+00,11:00,Yes
291,8.19E+00,11:00,Yes
292,2.44E+01,11:00,Yes
293,3.89E+01,11:00,Yes
294,2.69E+01,11:00,Yes
295,2.11E+01,11:00,Yes
296,1.86E+01,11:00,Yes
297,4.93E+01,11:00,Yes
298,4.68E+00,11:00,Yes
299,1.07E+01,11:00,Yes
300,1.10E+01,11:00,Yes
301,5.47E+01,11:00,Yes
302,3.33E+00,11:00,Yes
303,2.04E+01,11:00,Yes
304,6.34E+00,11:00,Yes
305,2.14E+01,11:00,Yes
306,1.28E+01,11:00,Yes
307,1.60E+01,11:00,Yes
308,3.25E+01,11:00,Yes
309,1.65E+01,11:00,Yes
310,2.82E+01,11:00,Yes
311,3.36E+01,11:00,Yes
