,Babs,Time,Denuder
1,-4.05E+00,11:00,Yes
2,-7.68E-01,11:00,Yes
3,3.94E+00,11:00,Yes
4,3.42E-01,11:00,Yes
5,2.40E+00,11:00,Yes
6,1.65E+00,11:00,Yes
7,2.54E-01,11:00,Yes
8,1.91E+00,11:00,Yes
9,1.40E+00,11:00,Yes
10,4.42E+00,11:00,Yes
11,-3.03E+00,11:00,Yes
12,4.14E+00,11:00,Yes
13,3.23E+00,11:00,Yes
14,-7.08E-02,11:00,Yes
15,9.69E-02,11:00,Yes
16,-6.16E-01,11:00,Yes
17,-8.50E+00,11:00,Yes
18,-5.24E+00,11:00,Yes
19,-2.16E+00,11:00,Yes
20,-3.09E+00,11:00,Yes
21,-4.72E+00,11:00,Yes
22,1.64E+00,11:00,Yes
23,8.68E-01,11:00,Yes
24,1.66E+00,11:00,Yes
25,6.49E-01,11:00,Yes
26,-5.33E-01,11:00,Yes
27,2.36E+00,11:00,Yes
28,-5.20E+00,11:00,Yes
29,1.23E+00,11:00,Yes
30,4.43E+00,11:00,Yes
31,6.00E+00,11:00,Yes
32,5.69E+00,11:00,Yes
33,-3.15E+00,11:00,Yes
34,-1.60E+00,11:00,Yes
35,5.69E+00,11:00,Yes
36,2.82E+00,11:00,Yes
37,-1.62E+00,11:00,Yes
38,2.40E+00,11:00,Yes
39,-5.98E-01,11:00,Yes
40,3.77E+00,11:00,Yes
41,-8.51E-01,11:00,Yes
42,5.28E+00,11:00,Yes
43,-7.44E-01,11:00,Yes
44,-6.06E-01,11:00,Yes
45,-2.97E+00,11:00,Yes
46,-2.57E-01,11:00,Yes
47,-1.85E-01,11:00,Yes
48,-1.60E+00,11:00,Yes
49,1.63E+00,11:00,Yes
50,8.89E-02,11:00,Yes
51,-6.22E-01,11:00,Yes
52,3.54E+00,11:00,Yes
53,1.78E+00,11:00,Yes
54,-7.61E+00,11:00,Yes
55,-9.66E-01,11:00,Yes
56,6.96E-01,11:00,Yes
57,-3.50E+00,11:00,Yes
58,2.05E+00,11:00,Yes
59,5.50E-01,11:00,Yes
60,-4.84E+00,11:00,Yes
61,1.68E+00,11:00,Yes
62,3.74E-01,11:00,Yes
63,-4.54E+00,11:00,Yes
64,-3.46E+00,11:00,Yes
65,-1.39E+00,11:00,Yes
66,-2.22E+00,11:00,Yes
67,-5.80E+00,11:00,Yes
68,1.23E+00,11:00,Yes
69,-9.07E-01,11:00,Yes
70,-2.43E+00,11:00,Yes
71,2.33E+00,11:00,Yes
72,2.28E+00,11:00,Yes
73,-4.92E+00,11:00,Yes
74,1.53E+00,11:00,Yes
75,-3.19E-01,11:00,Yes
76,-4.34E+00,11:00,Yes
77,-1.36E+00,11:00,Yes
78,-1.42E-01,11:00,Yes
79,1.10E+00,11:00,Yes
80,-1.58E+00,11:00,Yes
81,3.52E+00,11:00,Yes
82,8.68E-01,11:00,Yes
83,8.50E+00,11:00,Yes
84,-1.29E+00,11:00,Yes
85,4.69E+00,11:00,Yes
86,-8.04E-01,11:00,Yes
87,-5.97E+00,11:00,Yes
88,-3.47E+00,11:00,Yes
89,4.27E+00,11:00,Yes
90,-5.09E+00,11:00,Yes
91,1.94E-01,11:00,Yes
92,-4.64E+00,11:00,Yes
93,-1.32E+00,11:00,Yes
94,-1.72E+00,11:00,Yes
95,-1.77E+00,11:00,Yes
96,1.34E+00,11:00,Yes
97,8.10E-01,11:00,Yes
98,-1.76E+00,11:00,Yes
99,-1.32E+00,11:00,Yes
100,-3.68E-01,11:00,Yes
101,1.38E+00,11:00,Yes
102,-2.10E+00,11:00,Yes
103,7.42E-01,11:00,Yes
104,2.24E-02,11:00,Yes
105,-1.71E+00,11:00,Yes
106,-2.65E+00,11:00,Yes
107,-3.12E-01,11:00,Yes
108,-1.95E+00,11:00,Yes
109,-2.02E+00,11:00,Yes
110,3.15E+00,11:00,Yes
111,5.99E+00,11:00,Yes
112,-6.22E-01,11:00,Yes
113,-1.20E+00,11:00,Yes
114,2.68E+00,11:00,Yes
115,-5.49E+00,11:00,Yes
116,-1.54E+00,11:00,Yes
117,3.60E+00,11:00,Yes
118,1.75E-02,11:00,Yes
119,-8.40E-01,11:00,Yes
120,-4.95E+00,11:00,Yes
121,-7.63E-01,11:00,Yes
122,3.58E+00,11:00,Yes
123,1.43E+00,11:00,Yes
124,1.98E+00,11:00,Yes
125,-3.19E+00,11:00,Yes
126,-5.37E-01,11:00,Yes
127,-1.29E+00,11:00,Yes
128,-2.12E+00,11:00,Yes
129,3.07E-02,11:00,Yes
130,-3.15E-01,11:00,Yes
131,3.20E+00,11:00,Yes
132,1.91E+00,11:00,Yes
133,8.33E-01,11:00,Yes
