,Bext,Time,Denuder
1,3.04E+00,11:00,Yes
2,4.29E+00,11:00,Yes
3,6.73E+00,11:00,Yes
4,3.73E+01,11:00,Yes
5,2.45E+01,11:00,Yes
6,9.73E+00,11:00,Yes
7,2.91E+01,11:00,Yes
8,2.88E+01,11:00,Yes
9,6.06E+00,11:00,Yes
10,8.17E+00,11:00,Yes
11,2.11E+01,11:00,Yes
12,1.19E+01,11:00,Yes
13,7.28E+00,11:00,Yes
14,3.28E+00,11:00,Yes
15,2.80E+01,11:00,Yes
16,7.14E+00,11:00,Yes
17,-5.29E+00,11:00,Yes
18,1.44E+01,11:00,Yes
19,-1.25E-02,11:00,Yes
20,6.20E-01,11:00,Yes
21,-5.07E+00,11:00,Yes
22,7.39E+00,11:00,Yes
23,1.41E+01,11:00,Yes
24,6.33E+00,11:00,Yes
25,1.10E+01,11:00,Yes
26,2.83E+01,11:00,Yes
27,1.11E+01,11:00,Yes
28,2.94E+00,11:00,Yes
29,2.59E+01,11:00,Yes
30,3.24E+01,11:00,Yes
31,2.24E+01,11:00,Yes
32,1.35E+01,11:00,Yes
33,2.10E+01,11:00,Yes
34,9.23E+00,11:00,Yes
35,1.31E+01,11:00,Yes
36,1.32E+01,11:00,Yes
37,9.11E+00,11:00,Yes
38,9.14E+00,11:00,Yes
39,1.70E+01,11:00,Yes
40,6.84E+00,11:00,Yes
41,7.53E-01,11:00,Yes
42,9.85E+00,11:00,Yes
43,1.40E+00,11:00,Yes
44,2.28E+01,11:00,Yes
45,6.18E+00,11:00,Yes
46,8.62E+00,11:00,Yes
47,1.83E+01,11:00,Yes
48,4.34E+00,11:00,Yes
49,5.46E+00,11:00,Yes
50,2.39E+01,11:00,Yes
51,9.71E-01,11:00,Yes
52,3.06E+01,11:00,Yes
53,1.72E+01,11:00,Yes
54,1.12E+00,11:00,Yes
55,2.14E+01,11:00,Yes
56,1.48E+01,11:00,Yes
57,3.61E+00,11:00,Yes
58,3.80E+01,11:00,Yes
59,1.85E+01,11:00,Yes
60,-3.89E-01,11:00,Yes
61,6.27E+00,11:00,Yes
62,1.44E+00,11:00,Yes
63,2.93E+01,11:00,Yes
64,9.40E+00,11:00,Yes
65,4.34E+00,11:00,Yes
66,1.19E+00,11:00,Yes
67,-3.20E+00,11:00,Yes
68,9.98E+00,11:00,Yes
69,3.73E+01,11:00,Yes
70,4.64E-01,11:00,Yes
71,7.36E+00,11:00,Yes
