,Bscat,Time,Denuder
1,2.42E+00,11:00,Yes
2,7.43E+00,11:00,Yes
3,5.76E+00,11:00,Yes
4,2.89E+00,11:00,Yes
5,4.64E+00,11:00,Yes
6,2.61E+00,11:00,Yes
7,1.69E+01,11:00,Yes
8,2.40E+01,11:00,Yes
9,3.60E+00,11:00,Yes
10,3.52E+01,11:00,Yes
11,8.72E+00,11:00,Yes
12,6.96E+00,11:00,Yes
13,1.11E+01,11:00,Yes
14,1.29E+01,11:00,Yes
15,6.47E+00,11:00,Yes
16,8.54E+00,11:00,Yes
17,2.10E+01,11:00,Yes
18,1.34E+01,11:00,Yes
19,1.02E+01,11:00,Yes
20,7.38E+00,11:00,Yes
21,6.76E+01,11:00,Yes
22,3.49E+01,11:00,Yes
23,8.54E+00,11:00,Yes
24,1.61E+01,11:00,Yes
25,2.94E+00,11:00,Yes
26,1.26E+01,11:00,Yes
27,6.77E+00,11:00,Yes
28,1.73E+01,11:00,Yes
29,2.87E+00,11:00,Yes
30,6.56E+00,11:00,Yes
31,6.67E+01,11:00,Yes
32,1.68E+01,11:00,Yes
33,3.44E-01,11:00,Yes
34,6.80E+00,11:00,Yes
35,3.83E+00,11:00,Yes
36,2.17E+01,11:00,Yes
37,2.75E+00,11:00,Yes
38,4.13E+00,11:00,Yes
39,6.02E+00,11:00,Yes
40,6.21E+01,11:00,Yes
41,1.07E+01,11:00,Yes
42,6.24E+00,11:00,Yes
43,3.97E+00,11:00,Yes
44,3.58E+00,11:00,Yes
45,2.76E+01,11:00,Yes
46,4.81E+00,11:00,Yes
47,5.03E+00,11:00,Yes
48,4.02E+00,11:00,Yes
49,1.37E+01,11:00,Yes
50,1.07E+01,11:00,Yes
51,1.47E+01,11:00,Yes
52,2.49E+01,11:00,Yes
53,6.25E+00,11:00,Yes
54,1.05E+01,11:00,Yes
55,2.48E+00,11:00,Yes
56,1.77E+01,11:00,Yes
57,1.81E+00,11:00,Yes
58,3.18E+00,11:00,Yes
59,2.81E+00,11:00,Yes
60,3.31E+00,11:00,Yes
61,2.02E+00,11:00,Yes
62,1.35E+01,11:00,Yes
63,7.86E+00,11:00,Yes
64,4.41E+01,11:00,Yes
65,3.26E+01,11:00,Yes
66,3.89E+01,11:00,Yes
67,2.38E+01,11:00,Yes
68,1.29E+01,11:00,Yes
69,6.02E+00,11:00,Yes
70,5.24E+00,11:00,Yes
71,7.06E+00,11:00,Yes
72,3.22E+01,11:00,Yes
73,2.61E+01,11:00,Yes
74,8.88E+00,11:00,Yes
75,4.71E+02,11:00,Yes
76,2.08E+01,11:00,Yes
77,1.08E+01,11:00,Yes
78,9.19E-01,11:00,Yes
79,6.63E+00,11:00,Yes
80,2.70E+01,11:00,Yes
81,3.57E+00,11:00,Yes
82,6.04E+00,11:00,Yes
83,-3.18E-02,11:00,Yes
84,2.32E+01,11:00,Yes
85,1.24E+01,11:00,Yes
86,1.87E+01,11:00,Yes
87,8.03E+00,11:00,Yes
88,1.05E+01,11:00,Yes
89,1.01E+01,11:00,Yes
90,7.00E+00,11:00,Yes
91,6.28E+00,11:00,Yes
92,1.41E+01,11:00,Yes
93,2.80E+00,11:00,Yes
94,1.57E+01,11:00,Yes
95,9.46E+00,11:00,Yes
96,4.65E+00,11:00,Yes
97,2.31E+01,11:00,Yes
98,7.57E+00,11:00,Yes
99,1.48E+01,11:00,Yes
100,1.06E+01,11:00,Yes
101,3.10E+00,11:00,Yes
102,4.60E+01,11:00,Yes
103,2.96E+01,11:00,Yes
