,Babs,Time,Denuder
1,5.09,11:00,Yes
2,6.46,11:00,Yes
3,1.91,11:00,Yes
4,8.25,11:00,Yes
5,-0.05,11:00,Yes
6,6.75,11:00,Yes
7,2.14,11:00,Yes
8,0.09,11:00,Yes
9,1.16,11:00,Yes
10,-2.17,11:00,Yes
11,0.93,11:00,Yes
12,-6.93,11:00,Yes
13,1.65,11:00,Yes
14,-2.75,11:00,Yes
15,3.16,11:00,Yes
16,-5.1,11:00,Yes
17,0.98,11:00,Yes
18,-1.16,11:00,Yes
19,-0.29,11:00,Yes
20,0.46,11:00,Yes
21,-2.82,11:00,Yes
22,-0.42,11:00,Yes
23,-0.61,11:00,Yes
24,3.53,11:00,Yes
25,9.25,11:00,Yes
26,1.39,11:00,Yes
27,-3.48,11:00,Yes
28,-5.07,11:00,Yes
29,1.55,11:00,Yes
30,3.32,11:00,Yes
31,-1.51,11:00,Yes
32,5.43,11:00,Yes
33,3.36,11:00,Yes
34,-0.84,11:00,Yes
35,4.93,11:00,Yes
36,3.8,11:00,Yes
37,4.36,11:00,Yes
38,-0.85,11:00,Yes
39,-1.43,11:00,Yes
40,4.87,11:00,Yes
41,-4.47,11:00,Yes
42,-1,11:00,Yes
43,3.46,11:00,Yes
44,-1.41,11:00,Yes
45,1.97,11:00,Yes
46,0.63,11:00,Yes
47,0.69,11:00,Yes
48,0.98,11:00,Yes
49,-3.35,11:00,Yes
50,-6.65,11:00,Yes
51,-2.33,11:00,Yes
52,2.08,11:00,Yes
53,-5.86,11:00,Yes
54,-3.11,11:00,Yes
55,-2.53,11:00,Yes
56,-9.69,11:00,Yes
57,-4.01,11:00,Yes
58,-6.79,11:00,Yes
59,-4.27,11:00,Yes
60,-2.83,11:00,Yes
61,2.68,11:00,Yes
62,0.54,11:00,Yes
63,-1.07,11:00,Yes
64,-3.61,11:00,Yes
65,-2.33,11:00,Yes
66,5.49,11:00,Yes
67,-1.25,11:00,Yes
68,-0.12,11:00,Yes
69,3.45,11:00,Yes
70,-4.68,11:00,Yes
71,-2.35,11:00,Yes
72,-2.77,11:00,Yes
73,-3.01,11:00,Yes
74,1.13,11:00,Yes
75,0.87,11:00,Yes
76,0.48,11:00,Yes
77,4.57,11:00,Yes
78,-3.05,11:00,Yes
79,-1.16,11:00,Yes
80,-0.53,11:00,Yes
81,-2.2,11:00,Yes
82,1.08,11:00,Yes
83,3.63,11:00,Yes
84,-1.97,11:00,Yes
85,-1.03,11:00,Yes
86,-2.86,11:00,Yes
87,1.44,11:00,Yes
88,-5.14,11:00,Yes
89,-5.78,11:00,Yes
90,4.25,11:00,Yes
91,1.15,11:00,Yes
92,0.8,11:00,Yes
93,6.31,11:00,Yes
94,-2.73,11:00,Yes
95,-2.16,11:00,Yes
96,4.42,11:00,Yes
97,2,11:00,Yes
98,0.38,11:00,Yes
99,2.97,11:00,Yes
100,2.58,11:00,Yes
101,2.5,11:00,Yes
102,2.15,11:00,Yes
103,-3.04,11:00,Yes
104,2.42,11:00,Yes
105,1.37,11:00,Yes
106,-4.01,11:00,Yes
107,4.52,11:00,Yes
108,-3.78,11:00,Yes
109,2.13,11:00,Yes
110,1.21,11:00,Yes
111,7.18,11:00,Yes
112,1.34,11:00,Yes
113,-0.89,11:00,Yes
114,3.32,11:00,Yes
115,-2.91,11:00,Yes
116,0.89,11:00,Yes
117,1.45,11:00,Yes
118,-0.26,11:00,Yes
119,-2.08,11:00,Yes
120,-5.8,11:00,Yes
121,1.91,11:00,Yes
122,3.34,11:00,Yes
123,3.06,11:00,Yes
124,0.24,11:00,Yes
125,-3.38,11:00,Yes
126,-0.86,11:00,Yes
127,-1.51,11:00,Yes
128,-0.39,11:00,Yes
129,3.32,11:00,Yes
130,-1.82,11:00,Yes
131,1.2,11:00,Yes
132,0.26,11:00,Yes
133,2.5,11:00,Yes
134,1.78,11:00,Yes
135,-2.88,11:00,Yes
136,-2.01,11:00,Yes
137,5.12,11:00,Yes
138,4.08,11:00,Yes
139,0.61,11:00,Yes
140,1.96,11:00,Yes
141,-1.64,11:00,Yes
142,0.33,11:00,Yes
143,0.02,11:00,Yes
144,3.08,11:00,Yes
145,0.78,11:00,Yes
146,-2.09,11:00,Yes
147,-0.27,11:00,Yes
148,3.25,11:00,Yes
149,0.51,11:00,Yes
150,3.71,11:00,Yes
151,-4.78,11:00,Yes
152,-3.56,11:00,Yes
153,-3.81,11:00,Yes
154,-4.41,11:00,Yes
155,-3.26,11:00,Yes
156,-4.26,11:00,Yes
157,-1.96,11:00,Yes
158,-1.62,11:00,Yes
159,2.58,11:00,Yes
160,9.03,11:00,Yes
161,7.82,11:00,Yes
162,1.01,11:00,Yes
163,2.07,11:00,Yes
164,4.29,11:00,Yes
165,7.5,11:00,Yes
166,0.19,11:00,Yes
167,2.55,11:00,Yes
168,2.21,11:00,Yes
169,7.42,11:00,Yes
170,0.35,11:00,Yes
171,6.45,11:00,Yes
172,3.84,11:00,Yes
173,5.9,11:00,Yes
174,7.13,11:00,Yes
175,4.28,11:00,Yes
176,-3.15,11:00,Yes
177,5.75,11:00,Yes
178,6.94,11:00,Yes
179,4.02,11:00,Yes
180,4.82,11:00,Yes
181,5.18,11:00,Yes
182,10.23,11:00,Yes
183,7.73,11:00,Yes
184,1.21,11:00,Yes
185,5.84,11:00,Yes
186,8.4,11:00,Yes
187,1.34,11:00,Yes
188,5.09,11:00,Yes
189,4.71,11:00,Yes
190,-2.64,11:00,Yes
191,4.02,11:00,Yes
192,6.05,11:00,Yes
193,3.67,11:00,Yes
194,-0.07,11:00,Yes
195,4.06,11:00,Yes
196,-4.03,11:00,Yes
197,2.55,11:00,Yes
198,8.1,11:00,Yes
199,-2.06,11:00,Yes
200,4.72,11:00,Yes
201,7.56,11:00,Yes
202,1.55,11:00,Yes
203,-0.47,11:00,Yes
204,3.17,11:00,Yes
205,8.31,11:00,Yes
206,5.29,11:00,Yes
207,-0.06,11:00,Yes
208,-0.73,11:00,Yes
209,5.69,11:00,Yes
210,0.25,11:00,Yes
211,4.92,11:00,Yes
212,0.13,11:00,Yes
213,6.8,11:00,Yes
214,6.45,11:00,Yes
215,3.39,11:00,Yes
216,3.89,11:00,Yes
217,4.13,11:00,Yes
218,-4.28,11:00,Yes
219,2.29,11:00,Yes
220,6.57,11:00,Yes
221,3.49,11:00,Yes
222,5.33,11:00,Yes
223,6,11:00,Yes
224,2.83,11:00,Yes
225,3.21,11:00,Yes
226,6.68,11:00,Yes
227,3.41,11:00,Yes
