,Bext,Time,Denuder
1,28.85,11:00,Yes
2,17.27,11:00,Yes
3,13.11,11:00,Yes
4,16.47,11:00,Yes
5,8.1,11:00,Yes
6,10.62,11:00,Yes
7,2.9,11:00,Yes
8,5.99,11:00,Yes
9,9.83,11:00,Yes
10,-0.92,11:00,Yes
11,10,11:00,Yes
12,-5,11:00,Yes
13,8.94,11:00,Yes
14,-0.29,11:00,Yes
15,18.58,11:00,Yes
16,8.05,11:00,Yes
17,4.13,11:00,Yes
18,56.02,11:00,Yes
19,100.61,11:00,Yes
20,34.61,11:00,Yes
21,2.78,11:00,Yes
22,15.7,11:00,Yes
23,26.88,11:00,Yes
24,9.98,11:00,Yes
25,17.75,11:00,Yes
26,13.98,11:00,Yes
27,-1.67,11:00,Yes
28,28.33,11:00,Yes
29,5.48,11:00,Yes
30,2.61,11:00,Yes
31,27.47,11:00,Yes
32,13.59,11:00,Yes
33,25.49,11:00,Yes
34,4.81,11:00,Yes
35,25.34,11:00,Yes
36,8.65,11:00,Yes
37,34.43,11:00,Yes
38,25.39,11:00,Yes
39,14.8,11:00,Yes
40,14.09,11:00,Yes
41,7.71,11:00,Yes
42,5.79,11:00,Yes
43,77.24,11:00,Yes
44,24.21,11:00,Yes
45,4.85,11:00,Yes
46,5.49,11:00,Yes
47,11.58,11:00,Yes
48,14.59,11:00,Yes
49,5.19,11:00,Yes
50,-5.81,11:00,Yes
51,-2.53,11:00,Yes
52,40.31,11:00,Yes
53,18.43,11:00,Yes
54,46.09,11:00,Yes
55,6.53,11:00,Yes
56,2.53,11:00,Yes
57,-5.19,11:00,Yes
58,-4.16,11:00,Yes
59,-1.75,11:00,Yes
60,17.57,11:00,Yes
61,6.09,11:00,Yes
62,14.47,11:00,Yes
63,5.47,11:00,Yes
64,24.45,11:00,Yes
65,36.74,11:00,Yes
66,11.47,11:00,Yes
67,0.12,11:00,Yes
68,7.25,11:00,Yes
69,7.4,11:00,Yes
70,-4.2,11:00,Yes
71,14.2,11:00,Yes
72,4.73,11:00,Yes
73,-2.31,11:00,Yes
74,4.62,11:00,Yes
75,13.66,11:00,Yes
76,-1.41,11:00,Yes
77,11.48,11:00,Yes
78,-1.14,11:00,Yes
79,0.03,11:00,Yes
80,29.34,11:00,Yes
81,1.03,11:00,Yes
82,41.51,11:00,Yes
83,8.3,11:00,Yes
84,28.12,11:00,Yes
85,34.41,11:00,Yes
86,36.07,11:00,Yes
87,12.81,11:00,Yes
88,3.1,11:00,Yes
89,35.04,11:00,Yes
90,20.45,11:00,Yes
91,10.02,11:00,Yes
92,1.98,11:00,Yes
93,9.89,11:00,Yes
94,2.23,11:00,Yes
95,5.01,11:00,Yes
96,14.52,11:00,Yes
97,7.18,11:00,Yes
98,18.06,11:00,Yes
99,16.93,11:00,Yes
100,10.27,11:00,Yes
101,6.83,11:00,Yes
102,5.26,11:00,Yes
103,2.87,11:00,Yes
104,33.45,11:00,Yes
105,14.15,11:00,Yes
106,23.72,11:00,Yes
107,7.66,11:00,Yes
108,10.24,11:00,Yes
109,17.8,11:00,Yes
110,38.8,11:00,Yes
111,12.97,11:00,Yes
112,0.97,11:00,Yes
113,6.61,11:00,Yes
114,8.92,11:00,Yes
115,57.58,11:00,Yes
116,6.83,11:00,Yes
117,35.49,11:00,Yes
118,13.96,11:00,Yes
119,5.98,11:00,Yes
120,-2.04,11:00,Yes
121,7.53,11:00,Yes
122,14.14,11:00,Yes
123,38.76,11:00,Yes
124,36.95,11:00,Yes
125,15.58,11:00,Yes
126,28.55,11:00,Yes
127,12.22,11:00,Yes
128,8.99,11:00,Yes
129,6.27,11:00,Yes
130,0.58,11:00,Yes
131,39.71,11:00,Yes
132,3.91,11:00,Yes
133,12.13,11:00,Yes
134,37.1,11:00,Yes
135,3.22,11:00,Yes
136,0.21,11:00,Yes
137,65.21,11:00,Yes
138,34.83,11:00,Yes
139,1.28,11:00,Yes
140,35.25,11:00,Yes
141,14.45,11:00,Yes
142,5.62,11:00,Yes
143,3.86,11:00,Yes
144,5.25,11:00,Yes
145,17.37,11:00,Yes
146,4.48,11:00,Yes
147,23.79,11:00,Yes
148,78.54,11:00,Yes
149,8.5,11:00,Yes
150,17.27,11:00,Yes
151,-1.55,11:00,Yes
152,2.14,11:00,Yes
153,10.64,11:00,Yes
154,8.81,11:00,Yes
155,1.58,11:00,Yes
156,0.03,11:00,Yes
157,33.48,11:00,Yes
158,17.99,11:00,Yes
159,9.87,11:00,Yes
160,21.93,11:00,Yes
161,35.45,11:00,Yes
162,14.17,11:00,Yes
163,8.03,11:00,Yes
164,17.94,11:00,Yes
165,30.49,11:00,Yes
166,9.64,11:00,Yes
167,16.69,11:00,Yes
168,43.56,11:00,Yes
169,84.39,11:00,Yes
170,9.76,11:00,Yes
171,13.84,11:00,Yes
172,12.05,11:00,Yes
173,13.37,11:00,Yes
174,28.02,11:00,Yes
175,31.79,11:00,Yes
176,3.89,11:00,Yes
177,11.66,11:00,Yes
178,12.73,11:00,Yes
179,19.14,11:00,Yes
180,15.98,11:00,Yes
181,32.1,11:00,Yes
182,11.08,11:00,Yes
183,17.03,11:00,Yes
184,9.22,11:00,Yes
185,12.72,11:00,Yes
186,23.18,11:00,Yes
187,7.02,11:00,Yes
188,7.93,11:00,Yes
189,13.45,11:00,Yes
190,1.32,11:00,Yes
191,6.08,11:00,Yes
192,12.01,11:00,Yes
193,3.95,11:00,Yes
194,1.74,11:00,Yes
195,21.21,11:00,Yes
196,1.71,11:00,Yes
197,12.49,11:00,Yes
198,10.66,11:00,Yes
199,8.33,11:00,Yes
200,16.38,11:00,Yes
201,14.22,11:00,Yes
202,14.12,11:00,Yes
203,5.18,11:00,Yes
204,8.9,11:00,Yes
205,16.39,11:00,Yes
206,8.37,11:00,Yes
207,11.01,11:00,Yes
208,5.29,11:00,Yes
209,14.62,11:00,Yes
210,6.79,11:00,Yes
211,22.19,11:00,Yes
212,57.21,11:00,Yes
213,25.93,11:00,Yes
214,30.18,11:00,Yes
215,23.85,11:00,Yes
216,7.83,11:00,Yes
217,5.64,11:00,Yes
218,38.53,11:00,Yes
219,6.48,11:00,Yes
220,8.29,11:00,Yes
221,13.59,11:00,Yes
222,5.6,11:00,Yes
223,12.93,11:00,Yes
224,12.47,11:00,Yes
225,7.13,11:00,Yes
226,20.12,11:00,Yes
227,16.57,11:00,Yes
228,-0.36,11:00,Yes
229,10.02,11:00,Yes
230,22.52,11:00,Yes
231,15.06,11:00,Yes
232,24.34,11:00,Yes
233,27.2,11:00,Yes
234,33.61,11:00,Yes
235,20.79,11:00,Yes
236,9.76,11:00,Yes
237,8.41,11:00,Yes
238,15.53,11:00,Yes
239,30.77,11:00,Yes
240,21.09,11:00,Yes
241,43.48,11:00,Yes
242,11.05,11:00,Yes
243,12.26,11:00,Yes
244,14.47,11:00,Yes
245,8.81,11:00,Yes
246,88.89,11:00,Yes
247,30,11:00,Yes
248,14.97,11:00,Yes
249,11.16,11:00,Yes
250,13.08,11:00,Yes
251,3.42,11:00,Yes
252,6.69,11:00,Yes
253,18.14,11:00,Yes
254,8.96,11:00,Yes
255,13.15,11:00,Yes
256,0.36,11:00,Yes
257,15.84,11:00,Yes
258,6.56,11:00,Yes
259,17.37,11:00,Yes
260,17.27,11:00,Yes
261,8.68,11:00,Yes
262,36.56,11:00,Yes
263,5.36,11:00,Yes
264,2.21,11:00,Yes
265,17.27,11:00,Yes
266,19.46,11:00,Yes
267,14.75,11:00,Yes
268,14.82,11:00,Yes
269,19.85,11:00,Yes
270,8.75,11:00,Yes
271,32.01,11:00,Yes
272,9.2,11:00,Yes
273,20.39,11:00,Yes
274,38.11,11:00,Yes
275,23.37,11:00,Yes
276,40.09,11:00,Yes
277,9.68,11:00,Yes
278,4.7,11:00,Yes
279,5.71,11:00,Yes
280,25.91,11:00,Yes
281,7.63,11:00,Yes
282,18.58,11:00,Yes
283,22.16,11:00,Yes
284,35.01,11:00,Yes
285,8.2,11:00,Yes
286,24.41,11:00,Yes
287,7.8,11:00,Yes
288,44.5,11:00,Yes
289,5.7,11:00,Yes
290,13.14,11:00,Yes
291,6.24,11:00,Yes
292,11.98,11:00,Yes
293,15.04,11:00,Yes
294,13.08,11:00,Yes
295,15.29,11:00,Yes
296,36.99,11:00,Yes
297,36.13,11:00,Yes
298,46.2,11:00,Yes
299,32.48,11:00,Yes
300,25.38,11:00,Yes
301,13.12,11:00,Yes
302,11.43,11:00,Yes
303,28.38,11:00,Yes
304,13.36,11:00,Yes
305,19.53,11:00,Yes
306,12.66,11:00,Yes
307,28.98,11:00,Yes
308,1.54,11:00,Yes
309,19.71,11:00,Yes
310,36.35,11:00,Yes
311,7.37,11:00,Yes
312,24.43,11:00,Yes
313,20.03,11:00,Yes
314,2.83,11:00,Yes
315,6.46,11:00,Yes
316,11.15,11:00,Yes
317,10.42,11:00,Yes
318,9.88,11:00,Yes
319,13.3,11:00,Yes
320,4.96,11:00,Yes
321,7.12,11:00,Yes
322,34.71,11:00,Yes
323,39.36,11:00,Yes
324,4.13,11:00,Yes
325,4.61,11:00,Yes
326,46.53,11:00,Yes
327,20.54,11:00,Yes
328,2.59,11:00,Yes
329,-0.63,11:00,Yes
330,0.28,11:00,Yes
331,81.33,11:00,Yes
332,28.71,11:00,Yes
333,48.28,11:00,Yes
334,14.53,11:00,Yes
335,4.14,11:00,Yes
336,18.29,11:00,Yes
337,177.03,11:00,Yes
338,73.12,11:00,Yes
339,24.14,11:00,Yes
340,94.01,11:00,Yes
341,9.83,11:00,Yes
342,35.97,11:00,Yes
343,11.88,11:00,Yes
344,13.85,11:00,Yes
345,5.99,11:00,Yes
346,7.48,11:00,Yes
347,5.83,11:00,Yes
348,42.14,11:00,Yes
349,2.77,11:00,Yes
350,8.25,11:00,Yes
351,13.24,11:00,Yes
352,1.05,11:00,Yes
353,6.99,11:00,Yes
354,111.05,11:00,Yes
355,1.87,11:00,Yes
356,36.64,11:00,Yes
357,13.42,11:00,Yes
358,2.88,11:00,Yes
359,11.92,11:00,Yes
360,4.9,11:00,Yes
361,5.57,11:00,Yes
362,39.51,11:00,Yes
363,30.6,11:00,Yes
364,27.19,11:00,Yes
365,1.13,11:00,Yes
366,0.13,11:00,Yes
367,4.11,11:00,Yes
368,12.03,11:00,Yes
369,7.11,11:00,Yes
370,6.13,11:00,Yes
371,0.99,11:00,Yes
372,3.47,11:00,Yes
373,-2.46,11:00,Yes
374,26.9,11:00,Yes
375,18.79,11:00,Yes
376,14.75,11:00,Yes
377,45.49,11:00,Yes
378,9.14,11:00,Yes
379,9.79,11:00,Yes
380,16.8,11:00,Yes
381,101.24,11:00,Yes
382,18.86,11:00,Yes
383,9.99,11:00,Yes
384,1.12,11:00,Yes
385,4.11,11:00,Yes
386,4.7,11:00,Yes
387,19.21,11:00,Yes
388,40.58,11:00,Yes
389,12.57,11:00,Yes
390,-0.63,11:00,Yes
391,25.68,11:00,Yes
392,82.18,11:00,Yes
393,0.64,11:00,Yes
394,4.39,11:00,Yes
395,9.65,11:00,Yes
396,4.36,11:00,Yes
397,-4.12,11:00,Yes
398,10.67,11:00,Yes
399,10.8,11:00,Yes
400,23.39,11:00,Yes
401,2.87,11:00,Yes
402,3.81,11:00,Yes
403,6.1,11:00,Yes
404,35.9,11:00,Yes
405,-5.91,11:00,Yes
406,0.14,11:00,Yes
407,37.58,11:00,Yes
408,5.04,11:00,Yes
409,22.57,11:00,Yes
410,5.6,11:00,Yes
411,3.18,11:00,Yes
412,1.38,11:00,Yes
413,-1.04,11:00,Yes
414,64.59,11:00,Yes
415,8.09,11:00,Yes
416,14.75,11:00,Yes
417,5.82,11:00,Yes
418,61.5,11:00,Yes
419,41.99,11:00,Yes
420,7.6,11:00,Yes
421,22.54,11:00,Yes
422,19.96,11:00,Yes
423,-2.93,11:00,Yes
424,7.84,11:00,Yes
425,-3.2,11:00,Yes
426,9.22,11:00,Yes
427,2.64,11:00,Yes
428,-4.38,11:00,Yes
429,18.08,11:00,Yes
430,0,11:00,Yes
431,12.71,11:00,Yes
432,-1.54,11:00,Yes
433,-3.15,11:00,Yes
434,-6.69,11:00,Yes
435,-10.18,11:00,Yes
436,35.19,11:00,Yes
437,10.94,11:00,Yes
438,-9.11,11:00,Yes
439,-9.42,11:00,Yes
440,-9.07,11:00,Yes
441,-0.49,11:00,Yes
442,-1.24,11:00,Yes
443,-1.19,11:00,Yes
444,-10.97,11:00,Yes
445,-10.39,11:00,Yes
446,-16.23,11:00,Yes
447,-11,11:00,Yes
448,25.3,11:00,Yes
449,-8.18,11:00,Yes
450,6.92,11:00,Yes
451,5.9,11:00,Yes
452,31.48,11:00,Yes
453,3.28,11:00,Yes
454,-8.61,11:00,Yes
455,-2.07,11:00,Yes
456,-1.3,11:00,Yes
457,-12.56,11:00,Yes
458,-5.96,11:00,Yes
459,-10.28,11:00,Yes
460,0.76,11:00,Yes
461,-11.59,11:00,Yes
462,-6.83,11:00,Yes
463,-11.48,11:00,Yes
464,1.59,11:00,Yes
465,-3.19,11:00,Yes
466,8.72,11:00,Yes
467,21.51,11:00,Yes
468,4.2,11:00,Yes
469,16.84,11:00,Yes
470,-2.54,11:00,Yes
471,29.15,11:00,Yes
472,5.02,11:00,Yes
473,14.28,11:00,Yes
474,-6.2,11:00,Yes
475,19.29,11:00,Yes
476,22.53,11:00,Yes
477,17.15,11:00,Yes
478,17.58,11:00,Yes
479,28.19,11:00,Yes
480,41.47,11:00,Yes
481,6.54,11:00,Yes
482,5.44,11:00,Yes
483,-5.65,11:00,Yes
484,23.27,11:00,Yes
485,3.01,11:00,Yes
486,26.37,11:00,Yes
487,8.14,11:00,Yes
488,-2.45,11:00,Yes
489,2.73,11:00,Yes
490,6.17,11:00,Yes
491,-1.45,11:00,Yes
492,3.25,11:00,Yes
493,14.6,11:00,Yes
494,15.31,11:00,Yes
495,0.19,11:00,Yes
496,11.37,11:00,Yes
497,38.52,11:00,Yes
498,13.28,11:00,Yes
499,16.65,11:00,Yes
500,27.12,11:00,Yes
501,4.81,11:00,Yes
502,1.88,11:00,Yes
503,11.29,11:00,Yes
504,16.79,11:00,Yes
505,25.97,11:00,Yes
506,4.68,11:00,Yes
507,15.02,11:00,Yes
508,2.64,11:00,Yes
509,4.92,11:00,Yes
510,18.62,11:00,Yes
511,75.32,11:00,Yes
512,14.96,11:00,Yes
513,13.76,11:00,Yes
514,7.58,11:00,Yes
515,3.4,11:00,Yes
516,12.05,11:00,Yes
517,14.19,11:00,Yes
518,8.73,11:00,Yes
519,21.39,11:00,Yes
520,36.15,11:00,Yes
521,124.15,11:00,Yes
522,5.77,11:00,Yes
523,5.85,11:00,Yes
524,13.56,11:00,Yes
