,Bscat,Time,Denuder
0,23.76,11:00,Yes
1,10.81,11:00,Yes
2,11.21,11:00,Yes
3,8.22,11:00,Yes
4,8.14,11:00,Yes
5,3.87,11:00,Yes
6,0.76,11:00,Yes
7,5.9,11:00,Yes
8,8.67,11:00,Yes
9,1.26,11:00,Yes
10,9.07,11:00,Yes
11,1.93,11:00,Yes
12,7.3,11:00,Yes
13,2.46,11:00,Yes
14,15.42,11:00,Yes
15,13.15,11:00,Yes
16,3.14,11:00,Yes
17,57.18,11:00,Yes
18,100.9,11:00,Yes
19,34.14,11:00,Yes
20,5.59,11:00,Yes
21,16.11,11:00,Yes
22,27.49,11:00,Yes
23,6.45,11:00,Yes
24,8.5,11:00,Yes
25,12.59,11:00,Yes
26,1.8,11:00,Yes
27,33.4,11:00,Yes
28,3.94,11:00,Yes
29,-0.71,11:00,Yes
30,28.98,11:00,Yes
31,8.16,11:00,Yes
32,22.13,11:00,Yes
33,5.65,11:00,Yes
34,20.41,11:00,Yes
35,4.85,11:00,Yes
36,30.07,11:00,Yes
37,26.23,11:00,Yes
38,16.24,11:00,Yes
39,9.21,11:00,Yes
40,12.18,11:00,Yes
41,6.79,11:00,Yes
42,73.78,11:00,Yes
43,25.62,11:00,Yes
44,2.88,11:00,Yes
45,4.86,11:00,Yes
46,10.89,11:00,Yes
47,13.61,11:00,Yes
48,8.54,11:00,Yes
49,0.84,11:00,Yes
50,-0.2,11:00,Yes
51,38.23,11:00,Yes
52,24.29,11:00,Yes
53,49.2,11:00,Yes
54,9.06,11:00,Yes
55,12.21,11:00,Yes
56,-1.17,11:00,Yes
57,2.63,11:00,Yes
58,2.52,11:00,Yes
59,20.41,11:00,Yes
60,3.41,11:00,Yes
61,13.93,11:00,Yes
62,6.54,11:00,Yes
63,28.07,11:00,Yes
64,39.08,11:00,Yes
65,5.98,11:00,Yes
66,1.37,11:00,Yes
67,7.37,11:00,Yes
68,3.95,11:00,Yes
69,0.48,11:00,Yes
70,16.55,11:00,Yes
71,7.5,11:00,Yes
72,0.7,11:00,Yes
73,3.5,11:00,Yes
74,12.79,11:00,Yes
75,-1.89,11:00,Yes
76,6.91,11:00,Yes
77,1.91,11:00,Yes
78,1.2,11:00,Yes
79,29.86,11:00,Yes
80,3.23,11:00,Yes
81,40.43,11:00,Yes
82,4.67,11:00,Yes
83,30.1,11:00,Yes
84,35.44,11:00,Yes
85,38.93,11:00,Yes
86,11.37,11:00,Yes
87,8.24,11:00,Yes
88,40.82,11:00,Yes
89,16.2,11:00,Yes
90,8.88,11:00,Yes
91,1.18,11:00,Yes
92,3.58,11:00,Yes
93,4.97,11:00,Yes
94,7.17,11:00,Yes
95,10.1,11:00,Yes
96,5.18,11:00,Yes
97,17.67,11:00,Yes
98,13.96,11:00,Yes
99,7.7,11:00,Yes
100,4.33,11:00,Yes
101,3.11,11:00,Yes
102,5.91,11:00,Yes
103,31.04,11:00,Yes
104,12.79,11:00,Yes
105,27.74,11:00,Yes
106,3.14,11:00,Yes
107,14.02,11:00,Yes
108,15.67,11:00,Yes
109,37.59,11:00,Yes
110,5.79,11:00,Yes
111,-0.37,11:00,Yes
112,7.49,11:00,Yes
113,5.6,11:00,Yes
114,60.49,11:00,Yes
115,5.95,11:00,Yes
116,34.04,11:00,Yes
117,14.22,11:00,Yes
118,8.06,11:00,Yes
119,3.77,11:00,Yes
120,5.61,11:00,Yes
121,10.8,11:00,Yes
122,35.69,11:00,Yes
123,36.71,11:00,Yes
124,18.96,11:00,Yes
125,29.41,11:00,Yes
126,13.73,11:00,Yes
127,9.38,11:00,Yes
128,2.95,11:00,Yes
129,2.4,11:00,Yes
130,38.51,11:00,Yes
131,3.66,11:00,Yes
132,9.63,11:00,Yes
133,35.32,11:00,Yes
134,6.1,11:00,Yes
135,2.22,11:00,Yes
136,60.09,11:00,Yes
137,30.75,11:00,Yes
138,0.67,11:00,Yes
139,33.3,11:00,Yes
140,16.09,11:00,Yes
141,5.29,11:00,Yes
142,3.85,11:00,Yes
143,2.17,11:00,Yes
144,16.59,11:00,Yes
145,6.56,11:00,Yes
146,24.06,11:00,Yes
147,75.29,11:00,Yes
148,7.99,11:00,Yes
149,13.56,11:00,Yes
150,3.22,11:00,Yes
151,5.71,11:00,Yes
152,14.45,11:00,Yes
153,13.23,11:00,Yes
154,4.84,11:00,Yes
155,4.29,11:00,Yes
156,35.44,11:00,Yes
157,19.61,11:00,Yes
158,7.29,11:00,Yes
159,12.9,11:00,Yes
160,27.62,11:00,Yes
161,13.16,11:00,Yes
162,5.97,11:00,Yes
163,13.65,11:00,Yes
164,22.99,11:00,Yes
165,9.45,11:00,Yes
166,14.14,11:00,Yes
167,41.35,11:00,Yes
168,76.97,11:00,Yes
169,9.4,11:00,Yes
170,7.39,11:00,Yes
171,8.21,11:00,Yes
172,7.48,11:00,Yes
173,20.88,11:00,Yes
174,27.51,11:00,Yes
175,7.04,11:00,Yes
176,5.91,11:00,Yes
177,5.79,11:00,Yes
178,15.12,11:00,Yes
179,11.15,11:00,Yes
180,26.92,11:00,Yes
181,0.85,11:00,Yes
182,9.3,11:00,Yes
183,8.01,11:00,Yes
184,6.88,11:00,Yes
185,14.78,11:00,Yes
186,5.68,11:00,Yes
187,2.83,11:00,Yes
188,8.75,11:00,Yes
189,3.96,11:00,Yes
190,2.06,11:00,Yes
191,5.97,11:00,Yes
192,0.28,11:00,Yes
193,1.81,11:00,Yes
194,17.15,11:00,Yes
195,5.73,11:00,Yes
196,9.93,11:00,Yes
197,2.56,11:00,Yes
198,10.39,11:00,Yes
199,11.67,11:00,Yes
200,6.66,11:00,Yes
201,12.57,11:00,Yes
202,5.65,11:00,Yes
203,5.73,11:00,Yes
204,8.07,11:00,Yes
205,3.09,11:00,Yes
206,11.07,11:00,Yes
207,6.03,11:00,Yes
208,8.93,11:00,Yes
209,6.54,11:00,Yes
210,17.26,11:00,Yes
211,57.08,11:00,Yes
212,19.13,11:00,Yes
213,23.72,11:00,Yes
214,20.46,11:00,Yes
215,3.95,11:00,Yes
216,1.51,11:00,Yes
217,42.8,11:00,Yes
218,4.2,11:00,Yes
219,1.72,11:00,Yes
220,10.09,11:00,Yes
221,0.27,11:00,Yes
222,6.93,11:00,Yes
223,9.64,11:00,Yes
224,3.92,11:00,Yes
225,13.43,11:00,Yes
226,13.16,11:00,Yes
227,1.84,11:00,Yes
228,5.44,11:00,Yes
229,12.88,11:00,Yes
230,6.82,11:00,Yes
231,19.59,11:00,Yes
232,21.2,11:00,Yes
233,22.54,11:00,Yes
234,14.25,11:00,Yes
235,13.43,11:00,Yes
236,5.65,11:00,Yes
237,8.94,11:00,Yes
238,20.98,11:00,Yes
239,16.44,11:00,Yes
240,36.47,11:00,Yes
241,6.14,11:00,Yes
242,11.25,11:00,Yes
243,2.41,11:00,Yes
244,3.82,11:00,Yes
245,83.51,11:00,Yes
246,20.57,11:00,Yes
247,4.17,11:00,Yes
248,7.83,11:00,Yes
249,12.28,11:00,Yes
250,1.63,11:00,Yes
251,6.66,11:00,Yes
252,19.3,11:00,Yes
253,6.94,11:00,Yes
254,7.49,11:00,Yes
255,1.5,11:00,Yes
256,19.22,11:00,Yes
257,2.69,11:00,Yes
258,14.44,11:00,Yes
259,11.59,11:00,Yes
260,4.27,11:00,Yes
261,35.13,11:00,Yes
262,6.3,11:00,Yes
263,4.76,11:00,Yes
264,13.03,11:00,Yes
265,12.86,11:00,Yes
266,9.06,11:00,Yes
267,8.07,11:00,Yes
268,11.78,11:00,Yes
269,2.06,11:00,Yes
270,21.71,11:00,Yes
271,4.97,11:00,Yes
272,16.44,11:00,Yes
273,33.93,11:00,Yes
274,16.9,11:00,Yes
275,33.64,11:00,Yes
276,5.35,11:00,Yes
277,3.64,11:00,Yes
278,0.08,11:00,Yes
279,20.47,11:00,Yes
