J,F,M,A,M,J,J,A,S,O,N,D
3.8,2.8,15.9,6.2,6,18.6,3.7,6.6,6.7,11.1,11.9,33.3
9.4,4.5,15.8,9,7,4.8,1.4,6.5,5.4,5,9.9,20.7
11.2,16.6,18.9,24.9,8.3,5.1,3.8,9.7,4.4,9.3,4,4.2
15.1,20.1,31.8,16.6,8.4,8.5,8.5,8.3,3.4,10.8,5.2,9.2
14.1,18.7,26.1,17,9.1,4.2,3.8,13.8,9.3,12.6,7.4,11
9.1,18.7,7.4,28.8,8.5,12.6,3.4,8.6,6.2,7.3,10.9,15.2
5.2,27.3,7.4,6.4,6.3,14.2,4.9,7.4,4.8,2.2,6.2,7.3
7.9,23.6,11.3,12.4,9.8,10.2,5.2,5.9,7.7,13.8,7.5,12.5
16,17.8,18.1,6.2,14.3,13.5,7.1,6.8,4.8,14.1,10.4,16.4
22.8,27.6,22.8,13.4,11.4,13.4,8.7,7.7,5.5,18.1,10.8,13
20.3,24.5,8,22.6,6.2,5.7,4.1,10.9,9.7,14.7,16.5,9.4
11.9,15.3,6.9,4.3,4.6,12.6,4.1,7.7,13.8,21.1,17.6,16.4
8.3,22.4,9.2,2.1,1.5,11.6,4,10.6,9.8,13.4,25.8,20.9
14.3,25.4,18.4,7.2,3.3,5.4,4.2,6.6,9.1,9.8,4.3,5
19,21.8,13,14.6,1,5.5,-0.1,5.1,15.4,12,8.5,1.4
20.1,18.8,8.7,17.1,10.2,5.1,3.2,6.1,17,14.8,7.6,17
12.5,16.4,1.7,13.7,14.7,0.3,3,7.1,11.9,3.9,15.3,25.9
11.4,7.8,17.5,6.1,5,2.8,5.6,8.6,10.4,17.3,6.9,22.6
23.4,4.4,6.4,6.5,7.2,2.9,4.5,10.1,9.6,20.3,21.9,12.1
33,19.8,5.1,4.3,8.5,4.3,1.4,11.8,5,29.9,10.2,13.6
16,17.7,20.8,5.6,4.5,6.3,9.4,6.8,7.9,16.2,3,15.2
6.4,20,10.4,12.4,11.9,6.8,4.3,4.9,21.5,12.7,10.6,13.8
11.1,25,5.1,6.7,15.4,4.5,4.1,4,17.2,19.2,1.2,14.8
16.2,16.1,12.1,5.9,10.4,4.3,7.8,4.7,7.5,20.6,1.8,16.3
17.2,15.8,5.5,8.2,4.5,2.6,7.9,2.9,9.7,15.1,15.3,12.8
7.4,38.6,4.6,6.9,12.1,8.5,9.1,3.8,15.2,10.2,10.6,9.2
4.4,33.9,8.8,5,6.3,4.9,13.7,7,14.9,9.3,13.8,8.9
9.5,24.8,14.3,4.9,5.1,9.1,10.8,6.5,8.7,2.7,12.3,23.8
4.7,11.7,11.1,15.2,9.8,5.5,10.1,5.6,5.8,3.5,13.6,13.3
7.5,7.5,6.6,26.7,7.5,17.1,5.5,1.3,10.9,8.1,14.1,12.5
7,13.1,16.8,21.4,9.1,20.5,3.4,3.8,19.2,15.8,13,11.3
9.1,32.8,4.1,6.9,6,13.3,3.4,3.9,8.7,6.6,15.1,13.8
28.2,24.2,26,12.2,5.4,4.9,4.6,2.7,4.5,3,21.1,22
14.3,16.2,28.6,4.3,5.1,5.9,4.9,5.3,9.1,10.8,16.2,29.6
14.2,7.5,24.3,11,8.4,7,8.2,19.3,17.8,18.2,19.2,26.1
33.7,22.6,15.1,10.2,3.1,6.3,7.7,7.7,16.4,15.9,21.2,23.2
24.9,18.8,12.7,12,8.5,9.6,6,7,6.7,6.1,13.4,17.5
4.1,8.1,16.4,11.7,9.8,5.9,8.2,10.8,4.2,10.4,27,26.2
3,14.2,11.9,15,8.6,2.7,14.3,11.6,5.4,21,14.5,14.7
15.6,4.1,14.2,10,4.6,6.1,10.3,4.8,4,20,4.5,11.5
4.1,7.9,23.4,12.7,4.8,10.1,9.7,6.6,4.3,9.6,14.2,11.9
7,8.4,12.4,11.8,3.7,5.2,5.5,10.2,6.8,8,16.1,10.8
18.4,3.4,16.1,3.5,9.4,7.8,11.9,3.1,6.6,6.1,14.9,5.7
8.6,3.3,16,2.9,11.1,12.2,4.4,5.8,9,14,13.7,11
13.7,13,6.4,1.8,9,9.9,4.1,11.3,3.3,2.7,9.1,18.2
23.1,7,2.2,5.7,10.9,11.1,5.9,11.6,10.2,20.2,17.8,13.2
14.6,16.6,8.2,4.3,11.4,4.6,6.4,5.3,2.3,11.7,34.8,21.7
7.6,22.3,9.1,2,12.3,8.2,3.4,6.8,2.7,0.5,4.6,26.8
16.8,8.7,7.9,3.6,3.5,7.8,5.3,5.8,3.2,4.8,12.6,22.9
23.6,17.2,5.2,6.4,3.1,2.5,4.9,5.5,3.8,6.5,17.5,15.8
31.5,9.5,11.7,10.6,9.9,9.3,2.7,5.3,5.1,12.5,11.1,6
25.4,18.7,3.9,14.8,11,18,1.5,9.9,3.8,5.9,15.5,22.2
24.2,29.5,17.2,20.5,11.4,4.8,2.6,3.8,7.2,5,8.9,22.9
25.5,20.5,26.9,9.3,10.8,6.6,5.7,6.7,8,6.4,11.7,27.6
24.1,4.3,23.7,6.8,9.9,7.6,12.9,3.7,7,7.2,12.3,36.9
8.2,15.2,15,13.8,12,4.6,3.4,10,6.2,6.4,16.1,15.7
8.8,19.2,10.1,14.6,5.6,6.2,4.4,8.3,7.9,3.3,12.4,16.7
15.9,11,13.9,4.8,8.4,6.2,9.5,1.8,10.6,9.4,4.2,8.7
19.8,7.6,23.8,3.9,6.1,7.3,6.2,6.3,12.4,6.9,11.4,8
19.3,9.2,11.2,9.5,9.8,7.3,6.3,5.1,15.8,18.7,2.7,19.2
18.6,6,4.4,14.1,14.7,3.6,5.8,4.2,12.9,18.7,16.2,22.6
24.1,12.1,13.1,6.9,15.2,7.8,5.4,2.7,4.6,7,34.4,14.7
29.2,11.6,4.4,8.2,7.6,8.9,4.5,3.1,0.9,5.5,30.4,23.4
30,15.7,11.8,4.4,9.9,5.6,4.6,1.9,3.3,1.8,29.8,17.9
13.6,5.5,7.2,6.6,7.7,4,7.8,1,2.6,2.6,19.4,13.2
21.5,25.9,9.4,5.4,11.5,3.6,10.1,3.3,6.1,4.7,24.1,20.1
17.2,25.6,16.6,19.8,8.2,6.8,4.9,6,4.2,3.6,12.9,23.9
25.8,5.7,23.8,24,12.9,4.3,3.4,11.1,6.4,3.2,27.5,6.6
21.8,17.2,16.2,4.6,10.4,4.9,5,11.9,20.8,9.2,22.7,5.6
10.2,9.6,8.6,9.2,14.6,4.1,3.1,3.5,7.5,8.7,8.4,10.3
22.5,10.8,7.6,7.2,8,8.7,10.1,7.3,0.6,14.8,10,1.1
19.6,6.4,7.6,9.1,5,8.4,5.9,2,13.1,20.3,13.5,12.6
10.9,5.3,7.5,3.8,6.3,7.2,5.5,5.1,22.2,18.3,23.3,23.4
5.2,9.4,6.2,14.2,3.9,4.8,5.2,3.8,10.1,16.9,23.7,18.8
8.6,13.4,11.9,19.9,5.5,5.5,5.7,4.4,2.4,7.7,19.4,11.8
16,11.1,17,4.1,6.9,3.8,8.9,2.4,7.1,7.9,10.6,17.9
14.1,9.5,12.4,16,14.8,13.6,8.4,2.8,3.5,5.4,18.5,10.5
3.8,22.8,11.4,17.9,10.2,7.5,11.1,2.8,6.6,5.4,8.4,10.2
13.2,22.9,8.2,7.8,4.4,5.1,11.5,2.6,4.2,3.2,5.3,8.2
18,9.1,7.4,10.3,3.5,4.3,10.1,4.1,4.2,6.7,12.2,21.3
5.6,3.3,9.9,2.3,5.9,2.2,3.5,4.7,6.1,7.1,12.6,25.6
11.2,4.6,12,5,3.8,5.4,6.8,6.7,5.3,6.5,23.3,23.5
17,19,8.2,14.6,19.2,7,6.5,3.2,4.3,3.3,22.8,25.6
4.2,14.1,6.4,7.9,13.6,8.9,7.1,1.6,2.7,10.4,13.9,3.5
12.7,21.2,7.9,18.8,3.4,16.4,8.3,5.6,6.2,5.9,19.9,14.3
18.8,8.8,11.6,4.6,11.8,8,7.4,6.7,4.7,6.2,7.1,17.2
19.5,4.6,2.4,2.5,8.9,4.3,6.3,3.6,4.6,8.6,5.3,
19.7,21.6,1.2,7.8,8,5.1,7.2,6.2,5.1,16.4,7.8,
13.4,15,2.5,12.6,5,10.1,9.1,8,5.4,5.4,7.8,
12.6,16.6,2.3,6.6,12,17.3,12.5,6.2,5,10.9,6,
27.1,11.4,5.4,1.8,7.8,5.1,19,5.3,6,15.9,5.9,
24.6,16.1,17.6,6.5,3.8,6,3.7,1.4,4.9,19.3,16.7,
9.8,5.2,10.8,4.3,8.5,9.2,7.5,4.4,6.2,19.2,29,
10.8,6.1,6.6,6.6,7.9,6.5,10.2,6.1,10.4,8,16.8,
13.7,7.6,7,11.2,7.2,7.7,10,4.5,5.2,16,21.4,
17,9.1,11.4,6.1,5.8,6.1,7.1,8.4,5.7,15.5,9.4,
18.3,10.2,13.6,10.3,7.5,7.8,6.9,10.3,12.4,9.1,6.8,
21.1,14.2,4.5,5.6,9.9,7.5,5.9,8,21.8,6.4,22.8,
11.9,10.5,11.7,7.5,6.7,8.6,8.2,13.4,5.6,19.4,10.5,
5.7,7.6,10.6,5.5,15.7,6.8,9.7,10.7,3.9,18.9,26.3,
14.2,12.6,5.5,10.4,5.9,5.8,7.3,10,18.4,9.9,23.5,
17.7,26.8,3.4,6.4,7.9,4.9,8.6,9.9,4.2,22.3,18.9,
19.7,23.3,12.9,12.4,8.7,10.2,11.7,8.9,4.4,27.5,24.5,
31.8,13.8,7.1,8.7,11.3,8.5,7.7,8.1,4.1,28.3,29.9,
9.6,8.6,8.4,8.5,6.8,7.1,5.7,12.1,8.2,30.7,26.1,
5.7,13.7,16.4,9.2,5.6,3.9,6,9.2,9.8,21.8,19.8,
6.5,8.2,4.9,9.2,9.7,5.4,10.9,9,7.8,12.1,15.9,
4.7,2.6,11.3,8.5,14,4.5,6,7.9,16.7,18.5,19.5,
13.7,12.2,14.1,13,8.7,7.5,6.8,9.7,16.5,30.8,26.1,
10.1,1.3,17.7,8.5,4.5,7.8,10.6,21.2,8.1,21,27.5,
21.1,10.2,7.9,6,3.8,11.9,8.9,14.3,11.8,10.8,26,
33.4,17.3,10.3,8.4,7.3,9.8,6.6,13.9,9.8,10.5,23.2,
24.5,20.9,13.8,9.3,5.2,6.7,8.4,7,18.8,16.2,16.6,
9.3,15.2,18,8,6.3,8.8,12.7,10.3,17.3,15.2,24.3,
15.4,12.5,16,12.5,8,18.3,10.6,11.3,17.4,19.5,21.6,
18.5,22.2,16.9,6.9,6.8,11.2,5.3,11.6,20.1,22.4,27.1,
13.9,12.1,9.5,8.9,5.5,17.4,6.9,24.3,24,13.7,13.5,
14.8,6.8,15.2,8.6,6.3,13.3,6.1,10.5,14.2,9.3,,
23.8,8.2,8.8,8.6,13.3,7.7,,3.9,7.1,13.9,,
32,13.7,15.2,9.3,10.9,4.4,,4.4,9.3,4.6,,
40.2,10.7,13.1,10,7.2,6.7,,6.3,12.5,5.8,,
22.5,13.2,14.7,7.8,12,10.2,,5.1,7.4,22.8,,
17.4,13.3,11.5,10.6,10.9,15.4,,5.5,11.6,26.2,,
19.4,18.8,5.1,9.1,14.1,18.2,,16.1,17.7,13.6,,
13.8,18.1,10.7,4.8,17.9,4.4,,14,15.4,12.5,,
22,13.7,10.3,13.4,15.1,5.6,,6.7,18.4,15.5,,
23.1,14.1,20,,11.5,6.5,,8.6,24.4,12.6,,
22.1,23.6,5.4,,7.3,7,,5,19.7,18.3,,
13.6,9.7,17,,3.8,6.8,,5.8,21.9,16.1,,
16.5,11.5,30.6,,,7.5,,7,22.3,17,,
16.3,18.3,4.4,,,4.1,,4.7,9.3,8.1,,
22.3,19.2,9.5,,,4.3,,9.4,14.5,15.2,,
7.6,17.7,7.2,,,10,,10.4,16.4,4.7,,
6.9,24.1,25.9,,,,,5.4,15.2,15.7,,
15.2,16.3,,,,,,8.3,5.9,13.8,,
15.2,21.2,,,,,,10.8,11.6,5.6,,
25.7,15.8,,,,,,9.3,13.4,12,,
9.8,,,,,,,7.5,13,14.5,,
,,,,,,,10.5,11.6,19.9,,
,,,,,,,12.3,9.4,22.1,,
,,,,,,,5.2,6.4,22.9,,
,,,,,,,7,8.9,10.7,,
,,,,,,,4.3,6.6,23.7,,
,,,,,,,5.7,,4.6,,
,,,,,,,7.7,,8.4,,
,,,,,,,,,21.7,,
,,,,,,,,,25.7,,
,,,,,,,,,22.1,,
