J,F,M,A,M,J,J,A,S,O,N,D
12.3,30.8,22.9,18,44.1,22.4,16.9,33.5,17.8,15.6,29.7,55.7
14.7,19,33.7,14.8,19.8,23.8,16.5,24.8,22.2,24.8,31.5,32.7
17.9,15.7,26.8,20.5,23.4,37,16.5,19.6,22.5,20.6,26.1,15.8
13.7,21,39.4,30.4,21.7,22.1,18.8,19.3,24.7,22.3,22.6,30.2
14.6,23.1,38.5,26.7,26.7,27,32.9,29.2,25.4,23,28,16.2
14.5,21.4,32.2,27.1,79,26.1,37.4,27.2,19.2,25.6,24.9,21.2
15.8,16.7,43.2,42.3,35.4,33.2,41.8,26.4,17,33.6,21.4,30.5
12,31.6,47.3,25.8,32.7,31.9,22.9,33.9,16.2,15.7,23.7,20.1
13.5,35.5,22.4,21.9,25.9,26.1,33.2,19,22.1,16.2,21,19.6
14.9,34.2,23.6,56,23.8,33.8,20.3,20,34.4,29.2,17.9,22.5
20,25.2,38,13,25.2,24,22,16.4,31.1,30.9,19.7,23.2
21.1,38,80.2,20,32.5,21.4,22.4,22.3,25.1,32.5,20.9,23.1
17.2,36.8,20.3,20.2,30.3,30.4,22.9,18.1,24.5,38.6,24.4,20.8
19.2,22.6,24.3,28.8,31.9,25.5,22.2,20.2,30.9,42.1,32.9,28.1
18.5,22,22.5,77.7,34.5,26.8,120,26.8,28.9,28.5,33.5,35.4
20.6,27.9,28.2,31,82.1,25.4,48.4,24.7,23.8,24.2,53.4,54.5
19.3,38.8,26.6,19.5,36.5,24,33.8,25.2,30.6,25.1,26.1,149.9
26.5,41.2,30.8,26.2,18.8,26.9,37.8,34.7,29.2,28.2,23.9,24.8
31.4,31,34.6,22.7,23.3,28.6,29.2,23.3,39.9,30.7,28.6,33.3
22.7,26.8,20.6,23.9,27.3,29.4,29,23.6,30.7,40.4,34.2,57.5
21.8,30.6,29.9,24.9,21.4,31,23.6,16.8,30.1,37.3,21,41.8
31.3,49,93.5,40.8,40.6,44,23.5,21.5,30.7,40.5,38.8,17.5
47.4,26.5,78,20.9,40.4,44.9,26.5,21.6,24.6,44,25.8,19.3
49.2,28.9,28.3,30.3,47.9,60.1,86.1,28,25.6,47.6,23.3,26.3
22.1,26.3,25,94.1,52.1,32.9,82,31.3,35.6,33.4,23.5,13.7
18.8,34.9,25.9,47.5,47.4,21.9,27.9,22.1,18.9,25.3,33,20.3
16,32.4,23.1,31.6,28.5,18.7,21.8,21.9,33.6,33,35.2,18.5
20.5,26.4,28,43.8,36.1,17.5,24.2,17.4,27.6,36.7,18.6,19.5
20,28.3,110.4,29.3,33,18.8,33.4,20.5,18.7,45.1,23.5,19.4
29.2,24,30.6,22.5,27.5,36.4,18.6,16.9,20.9,44,29.7,16.3
25.9,47.8,23.7,48.2,20.3,20.3,22.6,17.1,35,36.6,28.5,16.4
14.4,41.7,22,26.1,20.1,22.2,55.4,16.5,35.1,22.5,24.3,48
12.8,44,21.5,34.8,27.7,18.1,26.3,18.1,38.9,28.6,28.7,53.4
17.2,83.9,22.5,38.6,25.4,22.2,33.4,23.8,29.9,31.2,21.4,38.2
14.7,17.7,30.7,26.7,30.2,26.3,49,26,32.9,21.8,25.7,34.3
15.5,14.2,28.1,25.3,26,29.9,30.7,23.7,43,24.3,26,42.6
20.6,24.7,30.3,28.4,36.8,28.6,20.6,17.5,48.8,24.6,25,20.5
16.2,22.2,30.8,32.8,22,22.2,19.1,27.6,44.6,38.3,23,17.4
32.9,29.8,47.9,32.7,27.7,28,16.1,22.3,31,34.5,35.4,17.6
38.3,94.3,51.5,25.4,25.8,40.4,16.9,20.5,25.1,36.3,25.7,36
19.5,15,45.8,27.2,20.7,51.1,16,25.2,29,23.4,25.4,42.3
15.7,13.3,38.5,23.5,24,36.2,34.9,24,42.4,28.7,39.7,47.1
41.4,17.3,34.6,23.7,21.4,25.6,25,16.6,43,40.2,39.2,42.5
34.1,20.3,36.1,25.3,26.4,31.5,31.3,16.6,28.1,39,28,35.4
23.4,81.8,30.7,33.1,20.1,34.2,19,19.3,31.3,20.6,42.7,36.1
11.6,19.9,31.9,29.7,26.8,29.4,20,18.2,27.4,33.5,30.9,42.8
20.6,22,30.3,25.4,115.3,24.9,18.1,21.6,29.5,24.7,25.4,41.3
19.3,37.7,27.7,24,25.2,34,23.7,35.1,30.6,37.1,26,29.7
18.1,29,45,29,28.6,46.7,25.2,29.6,33.7,46.1,32,16.9
14.9,129.7,30.6,21.1,20.5,32.5,24.4,22.5,30.2,30.3,37.2,17.9
19.8,29,35,45.9,20.9,30.4,21,15.7,27.4,26.5,46.5,18.3
16.2,45.7,28.3,107.9,24,38.5,25.6,28.7,29.9,26.8,36.9,23.2
13.2,31.4,34.5,22.6,26.4,56.1,24,29.7,31.5,26.6,26.8,17.5
21,22.7,21.8,48.3,29.7,43.8,19,24.6,20.3,30,40.3,31.5
27.9,29.9,38.7,53.2,26.1,36.4,20.7,20.2,28.5,35.3,47.9,39.3
27.6,28.3,40.3,16.1,43.1,25.7,26.4,22.5,31,40.5,59.1,18.5
44.5,46.2,29.8,14.3,41,25.6,24.5,20.4,14.4,47.2,34.7,35.3
42,45.2,39.6,23.1,24.9,27.2,32.3,19.6,15.6,58,35.8,39.9
34,35.1,24.7,29.6,27.8,33.3,17.5,24.5,16.2,31.1,39.2,30.4
19.2,65.6,35.2,35,25.5,38.1,18.8,28.3,16.6,32.4,18.8,21.6
