2016,2017,2018,2019,2020,2021
3.8,4.4,7.6,10.9,9.8,23.8
9.4,9.5,16.8,5.2,10.8,32
11.2,4.7,23.6,8.6,13.7,40.2
15.1,7.5,31.5,16,17,22.5
14.1,7,25.4,14.1,18.3,17.4
9.1,9.1,24.2,3.8,21.1,19.4
5.2,28.2,25.5,13.2,11.9,13.8
7.9,14.3,24.1,18,5.7,22
16,14.2,8.2,5.6,14.2,23.1
22.8,33.7,8.8,11.2,17.7,22.1
20.3,24.9,15.9,17,19.7,13.6
11.9,4.1,19.8,4.2,31.8,16.5
8.3,3,19.3,12.7,9.6,16.3
14.3,15.6,18.6,18.8,5.7,22.3
19,4.1,24.1,19.5,6.5,7.6
20.1,7,29.2,19.7,4.7,6.9
12.5,18.4,30,13.4,13.7,15.2
11.4,8.6,13.6,12.6,10.1,15.2
23.4,13.7,21.5,27.1,21.1,25.7
33,23.1,17.2,24.6,33.4,9.8
16,14.6,25.8,17.2,24.5,5.4
6.4,15.8,21.8,9.6,9.3,17
11.1,38.6,10.2,10.8,15.4,30.6
16.2,33.9,22.5,6.4,18.5,4.4
17.2,24.8,19.6,5.3,13.9,9.5
7.4,11.7,16.6,9.4,14.8,7.2
2.8,7.5,22.3,13.4,16.1,25.9
4.5,13.1,8.7,11.1,5.2,12.5
16.6,32.8,17.2,9.5,6.1,22.2
20.1,24.2,9.5,22.8,7.6,12.1
18.7,16.2,18.7,22.9,9.1,6.8
18.7,7.5,29.5,9.1,10.2,8.2
27.3,22.6,20.5,3.3,14.2,13.7
23.6,18.8,4.3,4.6,10.5,10.7
17.8,8.1,15.2,19,7.6,13.2
27.6,14.2,19.2,14.1,12.6,13.3
24.5,4.1,11,21.2,26.8,18.8
15.3,7.9,7.6,8.8,23.3,18.1
22.4,8.4,9.2,4.6,13.8,13.7
25.4,3.4,6,21.6,8.6,14.1
21.8,3.3,12.1,15,13.7,23.6
18.8,13,11.6,16.6,8.2,9.7
16.4,7,15.7,11.4,2.6,11.5
7.8,14.3,5.5,11.4,12.2,18.3
4.4,11.1,25.9,8.2,1.3,19.2
19.8,6.6,25.6,7.4,10.2,17.7
17.7,16.8,5.7,9.9,17.3,24.1
20,4.1,17.2,12,20.9,16.3
25,26,26.9,8.2,15.2,21.2
16.1,28.6,23.7,6.4,12.9,15.8
15.9,24.3,15,7.9,7.1,26.1
15.8,15.1,10.1,11.6,8.4,19.8
18.9,12.7,13.9,2.4,16.4,15.9
31.8,16.4,23.8,1.2,4.9,19.5
26.1,11.9,11.2,2.5,11.3,26.1
7.4,14.2,4.4,2.3,14.1,27.5
7.4,23.4,13.1,5.4,17.7,26
11.3,12.4,4.4,17.6,7.9,23.2
18.1,16.1,11.8,10.8,10.3,16.6
22.8,16,7.2,6.6,13.8,24.3
8,6.4,9.4,7,18,21.6
6.9,2.2,16.6,11.4,16,27.1
