2016,2017,2018,2019,2020,2021
12.3,14.4,21,28.2,12.8,33.9
14.7,12.8,27.9,17.4,15.2,19.8
17.9,17.2,27.6,24.5,10.3,13.8
13.7,14.7,44.5,35.4,14.2,32.6
14.6,15.5,42,29,25.2,29.9
14.5,20.6,34,16.8,26.5,31.5
15.8,16.2,19.2,25.6,17.1,41.6
12,32.9,51,24.6,22.8,55.6
13.5,38.3,51.6,24.7,21,42
14.9,19.5,33,17.3,15.9,12.4
20,15.7,25.7,16.6,27.3,19.4
21.1,41.4,26.3,17.2,25,21.8
17.2,34.1,35.7,20.4,32.5,19.6
19.2,23.4,39.4,41.6,55.5,23.8
18.5,11.6,36.6,26.7,25.8,26.3
20.6,20.6,22.9,27.8,16.5,32.7
19.3,19.3,27.9,49.6,13.7,28.5
26.5,18.1,37.1,19.8,13.9,44.5
31.4,14.9,47.5,29.1,12.9,59.4
22.7,19.8,54.3,59.3,15.1,21.1
21.8,16.2,47.3,20.5,11.1,15.9
31.3,13.2,26.4,21.1,19.4,21.8
47.4,24,37.6,23.6,36.1,24.4
49.2,47.8,26.3,29,24.5,59.1
22.1,41.7,35.1,35.6,17.4,19.5
18.8,44,39,23,21.7,15.7
16,83.9,22.2,30,15.6,12.3
20.5,17.7,28.8,38.2,22.8,18.4
20,14.2,28.4,58.8,19.3,33.2
29.2,24.7,55.9,44.9,20.1,17.1
25.9,22.2,37.8,30.1,17.4,14.9
30.8,29.8,29,17.6,29.7,18.8
19,94.3,45.7,24.3,42.2,27.7
15.7,15,31.4,19.6,12.6,19.9
21,13.3,22.7,22.4,10.2,16.9
23.1,17.3,29.9,49.7,19.6,17.6
21.4,20.3,28.3,20.4,15.9,18.7
16.7,81.8,46.2,28.9,17.9,19.8
31.6,19.9,45.2,30.1,19.6,17.8
35.5,22,35.1,27,16.2,18.3
34.2,37.7,65.6,34.9,12.2,19.5
25.2,29,26.7,28.8,17.7,21.6
38,129.7,32.9,34,48.5,27.9
36.8,22,39.4,25.5,33.5,23.7
22.6,21.5,43.6,24.7,16.7,17.4
22,22.5,23.5,40.7,12.1,20.3
27.9,30.7,15.1,17.4,15.3,24.9
38.8,28.1,17.5,30.2,27.4,13.3
41.2,30.3,22,27.1,29.5,14.2
31,30.8,33.2,24.4,35.1,19.2
26.8,47.9,20,35.2,16.6,39.1
