J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D
5.77,16.49,14.05,10.17,15.93,11.50,11.81,9.99,12.26,9.05,9.54,7.68,9.19,25.21,13.05,33.84,19.70,15.39,65.88,8.06,30.79,15.56,25.63,44.69,10.39,38.77,13.88,24.53,39.00,28.49,15.30,25.73,54.61,23.74,12.50,11.84,22.94,37.90,26.23,77.28,23.55,19.12,44.74,26.00,19.95,4.18,35.59,19.75,15.26,22.94,14.50,31.34,32.44,16.46,24.46,24.29,25.02,42.01,12.26,32.46,30.37,15.73,18.16,33.36,15.69,43.95,11.42,13.49,13.33,12.50,50.99,39.20
9.17,19.23,15.92,10.60,16.10,12.50,12.20,10.59,12.99,10.37,11.41,10.02,7.67,66.15,15.29,8.76,26.90,18.25,21.52,12.26,31.65,23.92,25.66,40.38,18.01,41.37,27.98,30.55,124.30,36.07,23.47,27.93,16.87,16.72,31.00,14.17,13.03,22.58,37.56,46.07,28.48,22.61,29.18,46.75,18.50,15.78,25.47,26.77,10.11,37.04,31.47,22.72,22.29,21.01,18.11,22.11,32.56,35.71,13.88,17.63,28.69,34.96,23.39,23.43,75.58,74.02,14.12,13.76,14.65,9.52,33.70,61.86
9.43,19.53,17.96,11.89,17.35,15.18,15.71,10.67,14.00,17.09,11.89,10.03,18.67,54.49,17.38,22.19,19.43,13.10,32.90,18.70,34.84,22.80,38.60,41.83,20.26,29.80,34.19,28.06,25.85,70.14,27.16,37.86,12.34,22.34,15.11,24.74,16.67,24.59,19.83,55.50,24.99,25.06,24.28,25.52,23.00,11.83,38.63,28.90,14.60,56.49,10.19,22.70,17.71,34.62,20.00,19.02,42.71,33.80,31.64,18.70,15.16,33.59,45.93,32.30,26.53,23.97,20.59,25.92,26.30,12.67,26.70,57.24
11.00,19.64,19.44,15.11,18.37,16.09,17.02,12.60,15.03,19.65,13.58,11.07,12.03,49.66,28.19,73.72,29.41,20.17,54.08,21.96,29.62,15.30,26.45,41.62,51.48,29.14,33.43,49.77,24.35,22.49,36.96,21.46,19.22,25.85,20.34,21.40,34.98,19.04,25.33,29.92,27.05,14.69,29.89,20.35,23.00,13.82,46.59,40.52,28.06,13.62,10.10,28.77,23.41,47.65,33.17,34.05,30.59,47.87,35.67,29.58,33.72,16.63,39.99,23.25,18.37,23.94,31.97,24.09,17.01,21.21,30.61,48.89
11.75,23.06,19.67,15.59,18.60,18.52,19.14,12.69,16.43,21.57,13.79,11.54,18.71,52.08,24.75,18.34,23.17,23.40,29.71,21.02,32.15,15.33,18.85,39.45,48.18,33.31,37.51,37.77,24.20,82.57,36.99,19.27,31.48,22.41,28.88,40.13,37.59,20.22,26.04,46.03,26.27,30.47,78.96,25.69,25.45,15.93,37.88,17.94,36.53,8.61,18.74,20.30,47.62,36.50,25.94,23.03,24.40,64.26,23.26,33.64,38.65,18.63,20.68,29.11,28.45,34.04,20.53,24.35,19.05,20.27,51.04,37.02
14.03,25.98,22.21,16.96,19.86,18.74,19.34,12.94,16.81,23.22,14.22,12.78,14.04,19.73,30.07,28.54,42.10,25.25,17.39,11.92,40.53,16.20,19.96,10.88,47.30,36.44,14.03,28.02,21.40,33.87,25.18,23.45,12.92,20.32,26.27,54.22,30.30,56.61,39.56,23.99,25.72,21.39,32.71,24.31,22.95,20.80,16.89,17.91,33.88,19.17,14.02,21.09,33.17,23.11,20.91,30.32,30.47,63.85,27.95,40.64,30.42,25.06,15.76,42.92,52.17,52.95,14.58,36.16,25.55,30.12,61.77,104.38
14.63,26.70,23.03,18.86,20.80,19.29,19.36,13.32,17.63,23.40,14.61,14.41,9.98,47.58,18.33,42.90,21.49,28.46,17.33,23.43,46.64,21.33,23.86,10.18,16.74,42.26,23.24,34.40,33.25,26.88,20.74,28.11,14.03,28.51,23.48,17.18,17.10,14.20,64.12,17.94,40.86,28.89,18.23,27.06,25.00,17.80,10.25,30.10,19.73,18.22,16.58,19.70,28.94,18.37,50.00,23.74,40.59,57.98,31.42,46.02,57.62,22.86,29.58,26.26,29.59,25.81,11.09,35.05,55.47,26.00,49.47,74.34
15.62,26.92,25.57,19.44,21.61,21.88,19.67,15.15,17.74,23.45,16.47,15.47,25.73,27.66,42.46,19.97,28.75,19.45,12.75,16.19,39.66,27.99,15.82,14.65,47.31,46.37,45.97,61.81,29.75,37.39,12.11,63.44,14.54,9.33,26.20,22.93,22.08,24.75,120.98,28.33,23.27,25.78,19.67,26.53,44.55,20.41,25.23,18.13,27.94,29.28,11.80,21.19,72.64,39.01,23.94,23.30,52.90,62.48,55.78,55.44,63.15,21.09,50.31,25.94,45.96,27.90,17.87,23.02,43.74,41.87,60.79,47.70
15.84,28.59,26.99,21.90,23.70,22.08,20.23,15.19,17.88,23.85,16.93,17.50,39.47,40.57,51.84,16.95,30.83,21.61,13.60,14.59,27.87,29.10,14.81,48.53,64.17,45.57,25.76,24.42,34.00,46.69,15.03,21.51,23.09,10.95,17.21,21.76,20.10,23.85,27.83,43.06,45.62,54.27,23.95,28.56,20.75,17.63,22.42,5.29,29.79,22.79,18.09,19.01,40.32,31.42,28.68,15.68,11.34,52.44,39.62,81.03,42.22,24.15,70.75,22.57,21.81,34.80,23.24,22.66,53.12,27.16,49.75,50.29
16.16,29.26,29.12,22.23,25.08,22.18,20.71,15.65,19.26,26.54,17.08,19.68,28.92,48.23,39.12,19.06,21.16,35.99,13.64,21.22,20.00,13.36,30.94,35.60,32.93,89.76,16.70,39.00,35.00,17.82,19.71,11.03,20.01,31.74,22.45,19.61,21.85,23.10,25.20,257.41,25.92,20.70,31.77,18.95,18.15,20.52,27.13,17.93,21.05,12.57,30.78,19.35,27.39,32.57,31.97,27.63,7.75,39.01,19.67,41.08,8.74,27.40,43.10,41.63,25.73,26.80,18.61,23.92,54.68,31.89,36.01,25.66
