January ,February,March,April,May,June,July,August,September,October,November,December
12,15.7,22.9,18,44.1,22.4,16.9,33.5,17.8,15.6,29.7,55.7
12.3,16.7,33.7,14.8,19.8,23.8,16.5,24.8,22.2,24.8,31.5,32.7
13.5,19,26.8,20.5,23.4,37,16.5,19.6,22.5,20.6,26.1,15.8
13.7,21,39.4,30.4,21.7,22.1,18.8,19.3,24.7,22.3,22.6,30.2
14.5,21.4,38.5,26.7,26.7,27,32.9,29.2,25.4,23,28,16.2
14.6,22,32.2,27.1,79,26.1,37.4,27.2,19.2,25.6,24.9,21.2
14.7,22.6,43.2,42.3,35.4,33.2,41.8,26.4,17,33.6,21.4,30.5
14.9,23.1,47.3,25.8,32.7,31.9,22.9,33.9,16.2,15.7,23.7,20.1
15.8,25.2,22.4,21.9,25.9,26.1,33.2,19,22.1,16.2,21,19.6
16,26.3,23.6,56,23.8,33.8,20.3,20,34.4,29.2,17.9,22.5
17.2,26.4,38,13,25.2,24,22,16.4,31.1,30.9,19.7,23.2
17.9,26.5,80.2,20,32.5,21.4,22.4,22.3,25.1,32.5,20.9,23.1
18.5,26.8,20.3,20.2,30.3,30.4,22.9,18.1,24.5,38.6,24.4,20.8
18.8,27.9,24.3,28.8,31.9,25.5,22.2,20.2,30.9,42.1,32.9,28.1
19.2,28.3,22.5,77.7,34.5,26.8,120,26.8,28.9,28.5,33.5,35.4
19.3,28.9,28.2,31,82.1,25.4,48.4,24.7,23.8,24.2,33.4,54.5
20,30.6,26.6,19.5,36.5,24,33.8,25.2,30.6,25.1,53.4,149.9
20,30.8,30.8,26.2,18.8,26.9,37.8,34.7,29.2,28.2,26.1,24.8
20.5,31,34.6,22.7,23.3,28.6,29.2,23.3,39.9,30.7,23.9,33.3
20.6,31.6,20.6,23.9,27.3,29.4,29,23.6,30.7,40.4,28.6,57.5
21.1,32.4,29.9,24.9,21.4,31,23.6,16.8,30.1,37.3,34.2,41.8
21.8,34.2,93.5,40.8,40.6,44,23.5,21.5,30.7,40.5,21,17.5
22.1,34.9,78,20.9,40.4,44.9,26.5,21.6,24.6,44,38.8,19.3
22.7,35.5,28.3,30.3,47.9,60.1,86.1,28,25.6,47.6,25.8,26.3
25.9,36.8,25,94.1,52.1,32.9,82,31.3,35.6,33.4,23.3,13.7
26.5,38,25.9,47.5,47.4,21.9,27.9,22.1,18.9,25.3,23.5,20.3
29.2,38.8,23.1,31.6,28.5,18.7,21.8,21.9,33.6,33,33,18.5
31.3,41.2,28,43.8,36.1,17.5,24.2,17.4,27.6,36.7,35.2,19.5
31.4,49,110.4,29.3,33,18.8,33.4,20.5,18.7,45.1,18.6,19.4
47.4,24,30.6,22.5,27.5,36.4,18.6,16.9,20.9,44,23.5,16.3
49.2,47.8,23.7,48.2,20.3,20.3,22.6,17.1,35,36.6,29.7,16.4
14.4,41.7,22,26.1,20.1,22.2,55.4,16.5,35.1,22.5,28.5,48
12.8,44,21.5,34.8,27.7,18.1,26.3,18.1,38.9,28.6,24.3,53.4
17.2,83.9,22.5,38.6,25.4,22.2,33.4,23.8,29.9,31.2,28.7,38.2
14.7,17.7,30.7,26.7,30.2,26.3,49,26,32.9,21.8,21.4,34.3
15.5,14.2,28.1,25.3,26,29.9,30.7,23.7,43,24.3,25.7,42.6
20.6,24.7,30.3,28.4,36.8,28.6,20.6,17.5,48.8,24.6,26,20.5
16.2,22.2,30.8,32.8,22,22.2,19.1,27.6,44.6,38.3,25,17.4
32.9,29.8,47.9,32.7,27.7,28,16.1,22.3,31,34.5,23,17.6
38.3,94.3,51.5,25.4,25.8,40.4,16.9,20.5,25.1,36.3,35.4,36
19.5,15,45.8,27.2,20.7,51.1,16,25.2,29,23.4,25.7,42.3
15.7,13.3,38.5,23.5,24,36.2,34.9,24,42.4,28.7,25.4,47.1
41.4,17.3,34.6,23.7,21.4,25.6,25,16.6,43,40.2,39.7,42.5
34.1,20.3,36.1,25.3,26.4,31.5,31.3,16.6,28.1,39,39.2,35.4
23.4,81.8,30.7,33.1,20.1,34.2,19,19.3,31.3,20.6,28,36.1
11.6,19.9,31.9,29.7,26.8,29.4,20,18.2,27.4,33.5,42.7,42.8
20.6,22,30.3,25.4,115.3,24.9,18.1,21.6,29.5,24.7,30.9,41.3
19.3,37.7,27.7,24,25.2,34,23.7,35.1,30.6,37.1,25.4,29.7
18.1,29,45,29,28.6,46.7,25.2,29.6,33.7,46.1,26,16.9
14.9,129.7,30.6,21.1,20.5,32.5,24.4,22.5,30.2,30.3,32,17.9
19.8,29,35,45.9,20.9,30.4,21,15.7,27.4,26.5,37.2,18.3
16.2,45.7,28.3,107.9,24,38.5,25.6,28.7,29.9,26.8,46.5,23.2
13.2,31.4,34.5,22.6,26.4,56.1,24,29.7,31.5,26.6,36.9,22.7
21,22.7,21.8,48.3,29.7,43.8,19,24.6,20.3,30,26.8,17.5
27.9,29.9,38.7,53.2,26.1,36.4,20.7,20.2,28.5,35.3,40.3,31.5
27.6,28.3,40.3,16.1,43.1,25.7,16.6,22.5,31,40.5,47.9,39.3
44.5,46.2,29.8,14.3,41,25.6,26.4,20.4,14.4,47.2,59.1,18.5
42,45.2,39.6,23.1,24.9,27.2,24.5,19.6,15.6,58,34.7,35.3
34,35.1,24.7,29.6,27.8,33.3,32.3,24.5,16.2,31.1,35.8,39.9
19.2,65.6,35.2,35,25.5,38.1,17.5,28.3,16.6,32.4,39.2,30.4
51,26.7,38.5,57,50.4,34.5,18.8,31.7,51.1,36.7,18.8,21.6
51.6,32.9,27.8,35.2,27.1,36,29.1,32.5,19.3,35.4,25.3,27.1
33,39.4,22.9,33.1,33.9,59.7,19.6,28.9,17.1,26.2,18.1,18.3
25.7,43.6,22.7,36.1,114.2,26.9,26.4,29.5,21,22.5,24.9,17.9
26.3,23.5,22.7,47.1,25.5,79.2,31.3,33.4,30.6,37.4,27.9,33.2
35.7,15.1,28.4,33.5,26.9,38.9,35.3,22.9,19.2,26.6,25.1,34.8
39.4,17.5,32,42.2,26.1,32.8,35,21.9,20.1,26.5,28,46.7
36.6,22,91.6,37.1,22.6,41.4,26.7,24.1,22.2,24.5,24,63.3
22.9,33.2,24.3,100.3,35.3,50.2,27.7,26.1,26.3,28.7,24.4,23.2
27.9,20,24.3,128,29.9,24.2,18.9,50.3,28.4,17.6,31.7,30.7
37.1,29,49.1,23.4,29.2,28.8,20.6,22,31.6,17.7,29.3,28.8
47.5,30.2,19.2,30.1,32.1,32.9,25.1,16.6,38.2,40.9,22.3,25.9
54.3,29.5,24.4,33.8,40.9,47.9,39.7,20.1,34.8,38.3,27.7,24
47.3,25.8,37.6,58.1,30.4,36.7,27.4,19.2,26.9,16.6,56.5,24
26.4,18.5,27.3,40.9,22.3,37.8,20.1,27.2,22,14.6,50,33.5
37.6,38.7,36.9,66.8,28.1,19,22.2,30.2,17.5,20.4,43.5,35
26.3,61.9,43.8,42.5,28.8,19.4,19.4,34.7,22.1,18.3,34.4,39.8
35.1,36,48.1,21.1,29,26.8,29.5,25.1,23.2,18.1,44.6,35.4
39,30.1,28.2,29.5,35.9,21.9,33.6,18.6,24.1,18.2,37.5,22.5
22.2,17.6,21.3,29.9,43.9,29.2,35.7,22.7,18.3,14.8,25.9,14.6
28.8,24.3,23,34,29.2,27.3,30.1,25.1,18.1,16.7,49.9,16.7
28.4,19.6,25.4,34,49.1,26.4,27.5,29.8,23.9,17.7,41.5,35.9
55.9,22.4,28,39.4,30.6,26,30.8,27.2,27,16.2,19.3,24.2
37.8,49.7,24,35.7,25.2,46.2,25.6,24.4,36.4,21.2,20.3,17.7
28.2,20.4,22.7,33.7,27,42,31.4,19.1,29,17.2,23.8,18.7
17.4,28.9,35.3,25.9,25,43.2,40.3,17.6,26.2,19,39.5,33.8
24.5,30.1,24.6,30.9,30.1,30.9,30.3,22.5,32.4,22.3,38.9,38.1
35.4,27,28.3,26.7,36.2,45.3,33.2,19.8,42.5,30,34.5,19.5
29,34.9,25.7,39.8,24.4,59.2,23.1,20.5,30.9,26.6,33.9,15.7
16.8,28.8,32.1,30,26.2,22.6,24.3,22.6,26.3,35.5,59,16
25.6,34,47.1,40.6,28.8,28.4,32.1,30,22.8,37.1,33,12.6
24.6,25.5,123.5,23.6,29.7,27.3,29.9,33.3,20.3,22.2,29,15.5
24.7,24.7,24.4,21.6,27.8,32.2,31.5,27,25.6,19.8,30,35.7
17.3,40.7,27.5,24.8,26.4,18.9,42.8,24.5,25,9.3,32,18.8
16.6,17.4,29.4,55.4,29.2,32.5,28.3,32.3,26.8,21,41.1,25
17.2,30.2,43.6,199.7,27.6,28.4,25.4,28.1,25.5,20.8,22.6,19.2
20.4,27.1,89.8,39.3,24.2,33,30.9,21.6,28,20,16.4,24.4
41.6,24.4,44.1,32.4,27.7,32.1,60,28,34.4,18.1,29.2,15.2
26.7,35.2,41.8,23.6,37.5,42.8,29,27.8,22.9,15.9,31.5,24.7
27.8,68.9,19.3,23.8,27.2,27,19.8,28.2,21.5,24.4,25.2,25.3
49.6,15.6,17.4,33.4,35.5,38.5,22.4,28.6,19.6,25.8,37,19.3
19.8,17.5,20,29.4,27.5,40.4,27.7,27.7,20.8,21.1,18.7,11.8
29.1,26.8,30.8,33.5,17.8,34.7,34.1,19.9,26.3,20.6,19.1,17.8
59.3,22.2,38.8,20.1,18.7,23.9,38.5,19.2,18,24.8,27.2,28.7
20.5,22.3,27.9,24.8,20.6,32.2,35.9,19.1,13.2,37.2,29,15.8
21.1,23.3,24.4,35.1,27.9,29.7,22.8,37.7,19,40.8,32.4,12.3
23.6,17.4,33.7,24.6,25.4,30.5,24.4,26.5,15.4,20.8,37.9,15.7
29,29.7,22,30.7,30,28.1,31,27,16.8,13.9,37.5,25.3
35.6,42.2,27.9,19.7,65.6,43.2,31.5,22.5,20.2,27,31,11.8
23,12.6,31.3,17.1,32.9,30.1,24.8,23.2,22.8,42,16.2,12.8
30,10.2,28,23.2,26.8,27.2,26.6,25.8,18.7,27.9,18.8,19
38.2,19.6,26.1,31.9,128.5,29,28.6,32.6,20,23.5,13.8,36
58.8,15.9,40.5,28.5,52.4,42.9,29.1,34.2,16.4,31.2,27.1,31.2
44.9,17.9,31.8,25.6,65,38.5,42.9,23.5,18,29.1,12,30.9
12.8,19.6,27.4,26.7,45.3,30.2,27.3,34.1,16.7,31.9,15.2,28.6
15.2,16.2,16.5,34.9,32,30.9,21.7,24,17.3,27.7,31.9,51.3
10.3,12.2,27.3,23,24.3,24,27,18.6,19.9,39.5,14.8,31.8
14.2,17.7,13.9,19.1,99.5,28.9,31,21,20.7,29.3,11.9,12.2
25.2,48.5,14.1,23.6,48,17,31.3,67.5,19.7,22.9,20.4,14.2
26.5,33.5,21.9,25.2,25.5,19.8,28.5,35.1,29,26.4,13.4,14.6
17.1,16.7,20.6,20.4,25.6,28.2,38.9,26.7,23.5,42.8,13.9,9.8
22.8,12.1,24.7,19.3,38.1,46.6,112.2,18.4,24.6,30.4,17.8,8.3
21,15.3,9.1,17.6,29,39.3,30.6,21.3,40.5,59.7,32.5,12.9
15.9,27.4,20,20.1,27.1,25.3,31.2,25.5,27.2,23.5,42.4,23.9
27.3,29.5,24.2,17.7,24.2,20.5,17.7,19.7,21.1,41.4,22.4,24.3
25,35.1,25.1,18.7,19.5,35.5,21.7,20.6,26,35.1,30.1,17.1
32.5,16.6,11.6,20.4,18.7,22.4,30.3,21.8,39.7,30.8,33.2,19.9
55.5,26.2,13.6,35.3,41.5,35.2,24.3,30.5,43.3,42.8,50.4,30.2
