SO2,CO,NO2,SO4
0.008393619,0.008727538,0.009038124,0.009314222
0.008393712,0.008727573,0.009038094,0.00931412
0.008393853,0.008727622,0.009038038,0.009313949
0.008394032,0.008727675,0.009037952,0.00931371
0.008394236,0.008727726,0.009037832,0.009313402
0.008394454,0.008727767,0.009037674,0.009313026
0.008394676,0.008727788,0.009037472,0.009312581
0.008394888,0.008727782,0.009037224,0.009312067
0.008395081,0.00872774,0.009036923,0.009311485
0.008395243,0.008727656,0.009036567,0.009310834
0.008395362,0.00872752,0.009036151,0.009310114
0.008395427,0.008727324,0.00903567,0.009309325
0.008395427,0.008727061,0.00903512,0.009308468
0.008395351,0.008726722,0.009034497,0.009307542
0.008395186,0.008726299,0.009033797,0.009306547
0.008394922,0.008725784,0.009033015,0.009305484
0.008394548,0.00872517,0.009032147,0.009304352
0.008394052,0.008724448,0.009031189,0.009303151
0.008393423,0.00872361,0.009030137,0.009301883
0.008392649,0.008722649,0.009028987,0.009300546
0.008391721,0.008721556,0.009027734,0.009299141
0.008390626,0.008720323,0.009026374,0.009297667
0.008389353,0.008718943,0.009024903,0.009296126
0.008387892,0.008717408,0.009023317,0.009294516
0.008386231,0.008715709,0.009021612,0.009292839
0.00838436,0.00871384,0.009019783,0.009291093
0.008382267,0.008711792,0.009017826,0.009289279
0.008379942,0.008709557,0.009015738,0.009287397
0.008377374,0.008707128,0.009013514,0.009285446
0.008374551,0.008704497,0.009011149,0.009283427
0.008371464,0.008701656,0.009008639,0.009281338
0.008368101,0.008698596,0.00900598,0.00927918
0.008364452,0.008695312,0.009003167,0.009276953
0.008360506,0.008691793,0.009000197,0.009274654
0.008356252,0.008688034,0.008997064,0.009272285
0.00835168,0.008684025,0.008993763,0.009269844
0.00834678,0.008679759,0.008990291,0.009267329
0.008341541,0.008675228,0.008986642,0.009264741
0.008335952,0.008670424,0.008982812,0.009262077
0.008330003,0.00866534,0.008978794,0.009259337
0.008323684,0.008659966,0.008974585,0.009256518
0.008316985,0.008654296,0.008970179,0.009253619
0.008309895,0.00864832,0.008965571,0.009250638
0.008302404,0.008642031,0.008960754,0.009247572
0.008294502,0.008635421,0.008955724,0.009244419
0.008286178,0.008628481,0.008950475,0.009241177
0.008277423,0.008621202,0.008944999,0.009237841
0.008268227,0.008613577,0.008939292,0.00923441
0.008258579,0.008605597,0.008933347,0.009230879
0.00824847,0.008597253,0.008927157,0.009227245
0.00823789,0.008588536,0.008920715,0.009223503
0.008226829,0.008579439,0.008914014,0.009219649
0.008215277,0.008569951,0.008907047,0.009215677
0.008203224,0.008560064,0.008899806,0.009211583
0.008190662,0.008549768,0.008892284,0.009207361
0.008177579,0.008539056,0.008884472,0.009203005
0.008163967,0.008527916,0.008876362,0.009198508
0.008149816,0.008516341,0.008867945,0.009193864
0.008135117,0.00850432,0.008859214,0.009189064
0.008119861,0.008491844,0.008850157,0.009184102
0.008104038,0.008478903,0.008840766,0.009178969
0.008087639,0.008465487,0.008831032,0.009173656
