Cext,Cscat,Cabs
8240.83198,374.9866866,7865.845293
8513.075616,397.9902338,8115.085382
8791.840816,422.1479026,8369.692913
9077.215433,447.5022561,8629.713177
9369.286804,474.0967391,8895.190065
9668.141688,501.9756705,9166.166017
9973.866205,531.1842347,9442.681971
10286.54578,561.7684719,9724.777309
10606.26507,593.7752664,10012.48981
10933.10792,627.252335,10305.85558
11267.15726,662.2482131,10604.90904
11608.49506,698.8122397,10909.68282
11957.20229,736.9945418,11220.20775
12313.3588,776.8460168,11536.51278
12677.04329,818.4183138,11858.62497
13048.33321,861.7638142,12186.56939
13427.30473,906.9356098,12520.36912
13814.03265,953.9874812,12860.04516
14208.59032,1002.973873,13205.61644
14611.04959,1053.949871,13557.09972
15021.48076,1106.971172,13914.50959
15439.95246,1162.09406,14277.8584
15866.53163,1219.375376,14647.15625
16301.28343,1278.872489,15022.41095
16744.27122,1340.643262,15403.62795
17195.5564,1404.746021,15790.81038
17655.19847,1471.239524,16183.95895
18123.25487,1540.182923,16583.07195
18599.78097,1611.635728,16988.14524
19084.82998,1685.657771,17399.17221
19578.45295,1762.309171,17816.14378
20080.69863,1841.650288,18239.04834
20591.6135,1923.741691,18667.87181
21111.24166,2008.644109,19102.59755
21639.62478,2096.418395,19543.20639
22176.80212,2187.125482,19989.67664
22722.81039,2280.826339,20441.98405
23277.68377,2377.581924,20900.10185
23841.45384,2477.453146,21364.0007
24414.14957,2580.500811,21833.64875
24995.79722,2686.785583,22309.01164
25586.42039,2796.367933,22790.05246
26186.03993,2909.308093,23276.73183
26794.67391,3025.66601,23769.0079
27412.33764,3145.501296,24266.83635
28039.0436,3268.873181,24770.17042
28674.80143,3395.840466,25278.96096
29319.61792,3526.461473,25793.15645
29973.49701,3660.793996,26312.70301
30636.43974,3798.895257,26837.54448
31308.44426,3940.821851,27367.62241
31989.50585,4086.629704,27902.87615
32679.61687,4236.374023,28443.24285
33378.76679,4390.10925,28988.65754
34086.94218,4547.889012,29539.05317
34804.12675,4709.766078,30094.36067
35530.3013,4875.792311,30654.50899
36265.4438,5046.018624,31219.42517
37009.52934,5220.494935,31789.03441
37762.53022,5399.270124,32363.26009
38524.41591,5582.391991,32942.02391
39295.1531,5769.90721,33525.24589
40074.70577,5961.861295,34112.84447
40863.03513,6158.298554,34704.73657
41660.09974,6359.262053,35300.83769
42465.85553,6564.793582,35901.06195
43280.25579,6774.933612,36505.32218
44103.25128,6989.721266,37113.53002
44934.79025,7209.194284,37725.59597
45774.81847,7433.388989,38341.42948
46623.27932,7662.34026,38960.93906
47480.11382,7896.081502,39584.03232
48345.26069,8134.644618,40210.61607
49218.65641,8378.059985,40840.59643
50100.23531,8626.356427,41473.87888
50989.92958,8879.561196,42110.36838
51887.66938,9137.699953,42749.96943
52793.3829,9400.796742,43392.58616
53706.99642,9668.873983,44038.12244
54628.4344,9941.952449,44686.48195
55557.61952,10220.05126,45337.56826
56494.47279,10503.18786,45991.28494
57438.91364,10791.37802,46647.53562
58390.85992,11084.63582,47306.2241
59350.22809,11382.97367,47967.25442
60316.93321,11686.40226,48630.53095
61290.88907,11994.93059,49295.95848
62272.00824,12308.56597,49963.44227
63260.2022,12627.31401,50632.88819
64255.38138,12951.17863,51304.20275
65257.45526,13280.16206,51977.29319
66266.33245,13614.26486,52652.06759
67281.92079,13953.48591,53328.43488
68304.12743,14297.82244,54006.30499
69332.8589,14647.27003,54685.58887
70368.02119,15001.82262,55366.19857
71409.51988,15361.47255,56048.04733
72457.26016,15726.21054,56731.04962
73511.14699,16096.02576,57415.12123
74571.08509,16470.90579,58100.1793
75636.9791,16850.83668,58786.14242
