Qext,Qscat,Qabs
1.028580841,0.046804027,0.981776814
1.041828578,0.048705969,0.993122608
1.055153115,0.050664097,1.004489018
1.068553037,0.052679139,1.015873898
1.08202689,0.054751811,1.027275079
1.095573186,0.056882812,1.038690374
1.109190398,0.059072825,1.050117573
1.12287696,0.061322517,1.061554444
1.13663127,0.063632535,1.072998735
1.150451682,0.066003511,1.084448171
1.164336513,0.068436053,1.09590046
1.178284038,0.070930754,1.107353284
1.19229249,0.073488182,1.118804308
1.206360061,0.076108885,1.130251176
1.220484901,0.078793388,1.141691513
1.234665118,0.081542194,1.153122924
1.248898777,0.084355781,1.164542996
1.263183901,0.087234601,1.1759493
1.277518471,0.090179083,1.187339388
1.291900426,0.093189629,1.198710797
1.306327664,0.096266612,1.210061051
1.320798041,0.099410381,1.22138766
1.335309373,0.102621254,1.232688119
1.349859437,0.10589952,1.243959916
1.364445969,0.109245441,1.255200528
1.379066667,0.112659246,1.266407422
1.393719193,0.116141133,1.27757806
1.408401171,0.119691272,1.288709899
1.423110189,0.123309797,1.299800391
1.437843801,0.126996813,1.310846988
1.452599529,0.130752388,1.321847141
1.467374861,0.13457656,1.332798302
1.482167256,0.138469331,1.343697926
1.496974143,0.14243067,1.354543473
1.511792922,0.14646051,1.365332412
1.526620969,0.150558751,1.376062218
1.541455632,0.154725254,1.386730378
1.556294239,0.158959847,1.397334392
1.571134094,0.163262322,1.407871773
1.585972484,0.167632433,1.418340051
1.600806673,0.172069899,1.428736775
1.615633914,0.176574402,1.439059513
1.630451443,0.181145587,1.449305856
1.645256482,0.185783064,1.459473418
1.660046245,0.190486404,1.469559841
1.674817935,0.195255142,1.479562793
1.68956875,0.200088776,1.489479973
1.704295881,0.20498677,1.499309111
1.718996518,0.209948547,1.509047971
1.733667848,0.214973496,1.518694352
1.748307062,0.220060972,1.52824609
1.762911352,0.22521029,1.537701061
1.777477915,0.230420733,1.547057182
1.792003956,0.235691546,1.55631241
1.806486691,0.241021941,1.56546475
1.820923344,0.246411095,1.574512248
1.835311155,0.251858152,1.583453003
1.849647378,0.25736222,1.592285158
1.863929286,0.262922376,1.60100691
1.878154171,0.268537665,1.609616506
1.892319346,0.2742071,1.618112246
1.906422148,0.279929661,1.626492487
1.920459939,0.285704301,1.634755639
1.93443011,0.291529939,1.642900171
1.94833008,0.29740547,1.65092461
1.9621573,0.303329757,1.658827543
1.975909254,0.309301638,1.666607616
1.98958346,0.315319924,1.674263537
2.003177476,0.321383399,1.681794077
2.016688894,0.327490824,1.68919807
2.03011535,0.333640936,1.696474413
2.043454519,0.339832451,1.703622069
2.056704123,0.346064059,1.710640065
2.069861926,0.352334433,1.717527494
2.08292574,0.358642225,1.724283516
2.095893425,0.364986068,1.730907356
2.108762889,0.37136458,1.737398309
2.121532092,0.377776359,1.743755733
2.134199047,0.38421999,1.749979057
2.146761819,0.390694044,1.756067776
2.159218528,0.397197076,1.762021451
2.171567348,0.403727633,1.767839714
2.183806511,0.41028425,1.773522262
2.195934307,0.41686545,1.779068857
2.207949084,0.423469751,1.784479333
2.219849248,0.430095661,1.789753587
2.231633266,0.436741684,1.794891582
2.243299667,0.443406319,1.799893348
2.254847038,0.450088059,1.80475898
2.266274031,0.456785396,1.809488636
2.27757936,0.46349682,1.814082539
2.288761799,0.470220822,1.818540977
2.299820188,0.476955893,1.822864296
2.310753431,0.483700524,1.827052906
2.321560492,0.490453213,1.831107279
2.332240402,0.497212458,1.835027943
2.342792254,0.503976766,1.838815488
2.353215206,0.510744647,1.842470559
2.36350848,0.517514621,1.845993859
2.373671361,0.524285215,1.849386146
2.383703196,0.531054965,1.852648232
2.393603399,0.537822418,1.855780981
2.403371443,0.544586133,1.85878531
2.413006867,0.551344681,1.861662185
2.422509269,0.558096645,1.864412623
2.431878311,0.564840624,1.867037687
2.441113715,0.57157523,1.869538485
2.450215264,0.578299092,1.871916172
2.459182802,0.585010856,1.874171946
2.46801623,0.591709184,1.876307046
2.47671551,0.598392758,1.878322752
2.485280659,0.605060277,1.880220382
2.493711754,0.611710461,1.882001293
2.502008926,0.618342049,1.883666877
2.510172361,0.624953802,1.885218559
2.518202302,0.631544502,1.886657799
2.526099041,0.638112954,1.887986087
2.533862927,0.644657983,1.889204944
2.541494357,0.65117844,1.890315917
2.54899378,0.657673198,1.891320581
2.556361692,0.664141155,1.892220537
2.563598639,0.670581232,1.893017407
2.570705214,0.676992376,1.893712837
2.577682054,0.68337356,1.894308495
2.584529843,0.689723779,1.894806063
2.591249305,0.696042058,1.895207247
2.59784121,0.702327446,1.895513764
2.604306366,0.708579018,1.895727348
2.610645623,0.714795877,1.895849746
2.616859867,0.720977151,1.895882717
2.622950024,0.727121995,1.895828029
2.628917054,0.733229593,1.895687461
2.634761952,0.739299153,1.895462799
2.640485748,0.745329912,1.895155836
2.646089502,0.751321134,1.894768368
2.651574308,0.757272111,1.894302197
2.656941286,0.763182159,1.893759127
2.662191588,0.769050624,1.893140964
2.667326391,0.774876878,1.892449512
2.672346899,0.780660321,1.891686578
2.677254341,0.786400378,1.890853963
2.682049969,0.792096503,1.889953466
2.686735058,0.797748174,1.888986884
2.691310905,0.803354898,1.887956006
2.695778824,0.808916207,1.886862617
2.700140151,0.814431659,1.885708492
2.70439624,0.819900838,1.884495402
2.708548458,0.825323354,1.883225104
2.712598191,0.830698842,1.881899349
2.716546838,0.836026962,1.880519876
2.720395811,0.841307399,1.879088412
2.724146536,0.846539863,1.877606673
2.727800448,0.851724088,1.876076361
2.731358994,0.856859831,1.874499163
2.734823629,0.861946875,1.872876754
2.738195816,0.866985023,1.871210793
2.741477026,0.871974104,1.869502922
2.744668736,0.876913967,1.867754769
2.74777243,0.881804486,1.865967943
2.750789592,0.886645555,1.864144038
2.753721715,0.891437088,1.862284627
2.756570292,0.896179025,1.860391267
2.759336817,0.900871321,1.858465496
2.762022787,0.905513955,1.856508831
2.764629698,0.910106926,1.854522773
2.767159047,0.914650249,1.852508798
2.769612329,0.919143963,1.850468366
2.771991036,0.923588122,1.848402915
2.77429666,0.927982799,1.846313861
2.776530686,0.932328087,1.844202599
2.778694599,0.936624094,1.842070505
2.780789877,0.940870947,1.83991893
2.782817993,0.945068787,1.837749206
2.784780415,0.949217774,1.83556264
2.786678603,0.953318083,1.83336052
2.788514013,0.957369904,1.831144109
2.790288091,0.961373442,1.82891465
2.792002276,0.965328916,1.82667336
2.793657998,0.969236561,1.824421438
2.795256679,0.973096624,1.822160055
2.796799731,0.976909367,1.819890364
2.798288556,0.980675063,1.817613493
2.799724547,0.984394,1.815330547
2.801109083,0.988066476,1.813042608
2.802443537,0.991692801,1.810750736
2.803729266,0.995273299,1.808455968
2.804967619,0.998808301,1.806159318
2.80615993,1.002298151,1.803861778
2.807307522,1.005743205,1.801564317
2.808411705,1.009143824,1.799267881
2.809473776,1.012500384,1.796973393
2.81049502,1.015813266,1.794681754
2.811476706,1.019082861,1.792393845
2.812420091,1.022309571,1.790110521
2.813326418,1.025493801,1.787832617
2.814196915,1.028635969,1.785560946
2.815032797,1.031736498,1.783296299
2.815835262,1.034795817,1.781039445
2.816605495,1.037814364,1.778791131
2.817344667,1.040792582,1.776552085
2.818053931,1.043730921,1.77432301
2.818734427,1.046629836,1.772104591
2.819387279,1.049489788,1.76989749
2.820013594,1.052311243,1.767702351
2.820614467,1.055094673,1.765519794
2.821190974,1.057840553,1.763350421
2.821744176,1.060549363,1.761194813
2.822275118,1.063221586,1.759053531
2.822784829,1.065857712,1.756927117
2.823274323,1.068458231,1.754816091
2.823744595,1.071023639,1.752720957
2.824196628,1.073554432,1.750642196
2.824631384,1.07605111,1.748580274
2.825049813,1.078514178,1.746535634
2.825452844,1.08094414,1.744508704
2.825841395,1.083341503,1.742499892
2.826216362,1.085706775,1.740509587
2.826578629,1.088040468,1.738538161
2.826929061,1.090343093,1.736585967
2.827268507,1.092615163,1.734653344
2.8275978,1.094857191,1.732740608
2.827917755,1.097069692,1.730848063
2.828229173,1.09925318,1.728975993
2.828532837,1.101408171,1.727124666
2.828829513,1.103535179,1.725294334
2.829119951,1.105634719,1.723485232
2.829404885,1.107707306,1.721697579
2.829685032,1.109753454,1.719931578
2.829961092,1.111773675,1.718187417
2.830233751,1.113768483,1.716465268
2.830503675,1.115738388,1.714765287
2.830771518,1.117683901,1.713087617
2.831037913,1.119605529,1.711432384
2.831303481,1.121503781,1.7097997
2.831568823,1.123379161,1.708189663
2.831834528,1.125232172,1.706602356
2.832101165,1.127063315,1.70503785
2.832369289,1.12887309,1.703496199
2.832639439,1.130661993,1.701977447
2.832912138,1.132430518,1.700481621
2.833187893,1.134179156,1.699008737
2.833467194,1.135908396,1.697558798
2.833750518,1.137618723,1.696131795
2.834038323,1.13931062,1.694727703
2.834331054,1.140984566,1.693346488
2.834629139,1.142641036,1.691988103
2.834932993,1.144280504,1.690652489
2.835243012,1.145903437,1.689339575
2.835559579,1.147510301,1.688049278
2.835883063,1.149101557,1.686781506
2.836213814,1.150677661,1.685536152
2.83655217,1.152239067,1.684313103
2.836898455,1.153786224,1.683112231
