Qext,Qsca,Qabs
0.004191036,1.53E-10,0.004191035
0.008382073,2.44E-09,0.008382071
0.012573119,1.24E-08,0.012573106
0.016764181,3.91E-08,0.016764142
0.020955272,9.54E-08,0.020955177
0.02514641,1.98E-07,0.025146212
0.029337614,3.67E-07,0.029337248
0.033528909,6.25E-07,0.033528283
0.037720321,1.00E-06,0.037719319
0.041911881,1.53E-06,0.041910354
0.046103625,2.24E-06,0.046101389
0.050295591,3.17E-06,0.050292425
0.054487822,4.36E-06,0.05448346
0.058825608,5.87E-06,0.058819736
0.063051653,7.74E-06,0.063043914
0.067282765,1.00E-05,0.067272745
0.071519298,1.28E-05,0.071506525
0.075761605,1.61E-05,0.075745549
0.080010043,1.99E-05,0.079990107
0.08426497,2.45E-05,0.084240489
0.088526746,2.98E-05,0.088496984
0.092795733,3.59E-05,0.092759878
0.097072295,4.28E-05,0.097029453
0.101356798,5.08E-05,0.101305994
0.105649607,5.98E-05,0.105589779
0.109951093,7.00E-05,0.109881086
0.114261627,8.14E-05,0.114180193
0.11858158,9.42E-05,0.118487372
0.122911328,0.000108433,0.122802896
0.127251247,0.000124213,0.127127034
0.131601714,0.000141659,0.131460056
0.13596311,0.000160885,0.135802225
0.140335815,0.000182009,0.140153806
0.144720213,0.000205152,0.144515061
0.149116688,0.000230441,0.148886247
0.153525627,0.000258004,0.153267623
0.157947418,0.000287976,0.157659442
0.16238245,0.000320493,0.162061958
0.166831115,0.000355696,0.166475419
0.171293806,0.000393732,0.170900075
0.175770917,0.000434748,0.175336169
0.180262844,0.000478899,0.179783945
0.184769984,0.00052634,0.184243644
0.189292736,0.000577234,0.188715502
0.193831501,0.000631745,0.193199756
0.198386679,0.000690042,0.197696638
0.202958676,0.000752298,0.202206378
0.207547893,0.00081869,0.206729204
0.212154739,0.000889399,0.21126534
0.216779618,0.00096461,0.215815008
0.22142294,0.001044513,0.220378427
0.226085115,0.0011293,0.224955815
0.230766551,0.001219168,0.229547383
0.235467662,0.001314319,0.234153343
0.240188859,0.001414957,0.238773902
0.244930557,0.001521293,0.243409264
0.249693169,0.001633538,0.248059631
0.254477112,0.001751912,0.2527252
